Strategy,Sample,Time frame,Deposit,margin,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
Linear Regression,IS,D1,10000,1/100,2007-01-01 0:00:00,2019-12-31 0:00:00,4747 days 00:00:00,99.950642,10875.66119,11269.92119,8.756612,138.530025,0.523415,1.804103,0.290125,0.399885,0.068889,-7.597915,-0.353007,3053 days 00:00:00,67 days 00:00:00,1,100,137.002561,137.002561,137.002561,4745 days 00:00:00,4745 days 00:00:00,NaN,137.002561,NaN,Linear_Regression
Linear Regression,OOS,D1,10000,1/100,2020-01-01 0:00:00,2023-03-10 0:00:00,1164 days 00:00:00,99.798184,10302.39425,10540.14425,3.023943,22.776554,0.760434,2.594973,0.293041,0.39972,0.181193,-4.196812,-0.633509,946 days 00:00:00,71 days 00:00:00,1,100,19.77682,19.77682,19.77682,1162 days 00:00:00,1162 days 00:00:00,NaN,19.77682,NaN,Linear_Regression
Linear Regression,IS,H4,10000,1/100,2007-01-01 0:00:00,2019-12-31 20:00:00,4747 days 20:00:00,99.990417,10883.78084,11273.17084,8.837808,138.697429,0.528058,1.803683,0.292767,0.403555,0.069332,-7.616366,-0.185931,3053 days 00:00:00,26 days 19:00:00,1,100,138.979541,138.979541,138.979541,4747 days 12:00:00,4747 days 12:00:00,NaN,138.979541,NaN,Linear_Regression
Linear Regression,OOS,H4,10000,1/100,2020-01-01 20:00:00,2023-03-10 16:00:00,1163 days 20:00:00,99.960823,10342.40595,10548.59895,3.424059,22.776554,0.8598,2.600336,0.330649,0.452323,0.201768,-4.261334,-0.299031,945 days 20:00:00,26 days 20:00:00,1,100,22.518128,22.518128,22.518128,1163 days 12:00:00,1163 days 12:00:00,NaN,22.518128,NaN,Linear_Regression
Linear Regression,IS,H1,10000,1/100,2007-01-01 0:00:00,2019-12-31 21:00:00,4747 days 21:00:00,99.997471,9712.414624,11077.93356,-2.875854,138.649736,-0.181585,1.854643,0,0,0,-15.029781,-0.158801,3038 days 16:00:00,17 days 06:00:00,3305,55.763994,5.240521,-11.391378,-0.004772,53 days 17:00:00,1 days 11:00:00,1.003838,0.001313,-0.374784,Linear_Regression
Linear Regression,OOS,H1,10000,1/100,2020-01-01 23:00:00,2023-03-10 17:00:00,1163 days 18:00:00,99.989397,10395.20382,10624.95823,3.952038,22.776554,0.990481,2.605527,0.380146,0.530732,0.247325,-4.004779,-0.226014,553 days 11:00:00,12 days 21:00:00,655,55.572519,4.230027,-5.988012,0.032884,34 days 17:00:00,1 days 19:00:00,1.115302,0.039447,0.764771,Linear_Regression
Linear Regression,IS,M30,10000,1/100,2007-01-01 0:00:00,2019-12-31 21:30:00,4747 days 21:30:00,99.99873,2953.342617,10049.01198,-70.466574,138.705317,-7.304944,2.706928,0,0,0,-70.876203,-1.535887,4701 days 02:00:00,101 days 00:05:00,41439,54.878255,3.207378,-6.187999,-0.013321,4 days 04:30:00,0 days 02:45:00,0.86892,-0.012839,-9.36686,Linear_Regression
Linear Regression,OOS,M30,10000,1/100,2020-01-01 23:00:00,2023-03-10 17:30:00,1163 days 18:30:00,99.994697,7787.445444,10071.31089,-22.125546,22.670469,-6.161082,2.624543,0,0,0,-23.304907,-1.324281,1157 days 18:30:00,64 days 12:17:00,10524,54.285443,2.847547,-5.182778,-0.011702,3 days 10:30:00,0 days 02:40:00,0.873718,-0.011307,-4.316732,Linear_Regression
Logistic Regression,IS,D1,10000,1/100,2007-01-01 0:00:00,2019-12-31 0:00:00,4747 days 00:00:00,99.950642,10789.7309,11019.57769,7.897309,138.530025,0.473835,1.823458,0.259855,0.359161,0.074256,-6.381123,-0.342157,2644 days 00:00:00,62 days 00:00:00,681,56.681351,8.243991,-13.413145,0.099851,169 days 00:00:00,7 days 00:00:00,1.185638,0.127923,1.060681,Logistic_Regression
Logistic Regression,OOS,D1,10000,1/100,2020-01-01 0:00:00,2023-03-10 0:00:00,1164 days 00:00:00,99.798184,10122.07534,10514.54408,1.220753,22.776554,0.309021,2.596656,0.119007,0.16103,0.045289,-6.823302,-0.69083,945 days 00:00:00,71 days 00:00:00,133,55.639098,6.720071,-7.751037,0.047277,71 days 00:00:00,9 days 00:00:00,1.095098,0.074012,0.254887,Logistic_Regression
