Strategy,Time frame,Deposit,margin,Start Period,End Period,Risk-Free Rate,Time in Market,,Cumulative Return,CAGR﹪,,Sharpe,Prob. Sharpe Ratio,Smart Sharpe,Sortino,Smart Sortino,Sortino/√2,Smart Sortino/√2,Omega,,Max Drawdown,Longest DD Days,Volatility (ann.),Calmar,Skew,Kurtosis,,Expected Daily %,Expected Monthly %,Expected Yearly %,Kelly Criterion,Risk of Ruin,Daily Value-at-Risk,Expected Shortfall (cVaR),,Max Consecutive Wins,Max Consecutive Losses,Gain/Pain Ratio,Gain/Pain (1M),,Payoff Ratio,Profit Factor,Common Sense Ratio,CPC Index,Tail Ratio,Outlier Win Ratio,Outlier Loss Ratio,,MTD,3M,6M,YTD,1Y,3Y (ann.),5Y (ann.),10Y (ann.),All-time (ann.),,Best Day,Worst Day,Best Month,Worst Month,Best Year,Worst Year,,Avg. Drawdown,Avg. Drawdown Days,Recovery Factor,Ulcer Index,Serenity Index,,Avg. Up Month,Avg. Down Month,Win Days %,Win Month %,Win Quarter %,Win Year %
XAUUSD_AUDUSD,D1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-8.45%,-0.38%,,-0.2,18.64%,-0.2,-0.27,-0.27,-0.19,-0.19,0.96,,-14.02%,5706,2.12%,-0.03,-0.71,9.14,,0.00%,-0.05%,-0.52%,-1.94%,0.00%,-0.22%,-0.22%,,10,9,-0.04,-0.17,,0.96,0.96,0.97,0.46,1.01,4.04,4.29,,0.09%,0.74%,1.49%,0.20%,-0.22%,0.51%,0.55%,-0.36%,-0.38%,,0.80%,-1.27%,2.56%,-1.82%,3.55%,-3.66%,,-0.88%,342,0.6,0.09,-0.01,,0.47%,-0.50%,49.96%,47.15%,46.15%,41.18%
XAUUSD_AUDUSD,H4,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-7.22%,-0.32%,,-0.17,22.52%,-0.17,-0.23,-0.23,-0.16,-0.16,0.97,,-12.80%,5706,2.11%,-0.03,-0.71,9.27,,0.00%,-0.04%,-0.44%,-1.64%,0.00%,-0.22%,-0.22%,,10,10,-0.03,-0.14,,0.98,0.97,0.98,0.47,1.01,3.99,4.31,,0.09%,0.73%,1.47%,0.20%,-0.21%,0.51%,0.55%,-0.24%,-0.32%,,0.80%,-1.28%,2.57%,-1.83%,3.50%,-2.90%,,-0.81%,342,0.55,0.08,-0.01,,0.46%,-0.48%,49.81%,47.15%,46.15%,41.18%
XAUUSD_AUDUSD,H1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-7.42%,-0.33%,,-0.17,21.92%,-0.17,-0.23,-0.23,-0.17,-0.16,0.97,,-13.00%,5706,2.12%,-0.03,-0.82,10.84,,0.00%,-0.04%,-0.45%,-1.68%,0.00%,-0.22%,-0.22%,,10,10,-0.03,-0.15,,0.98,0.97,0.97,0.47,1.01,4,4.31,,0.09%,0.73%,1.47%,0.20%,-0.21%,0.51%,0.55%,-0.25%,-0.33%,,0.80%,-1.53%,2.57%,-1.88%,3.51%,-2.99%,,-0.82%,342,0.56,0.08,-0.01,,0.46%,-0.49%,49.80%,47.67%,46.15%,41.18%
XAUUSD_AUDUSD,M30,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-7.58%,-0.34%,,-0.18,21.49%,-0.18,-0.24,-0.24,-0.17,-0.17,0.97,,-13.16%,5706,2.12%,-0.03,-0.95,12.79,,0.00%,-0.04%,-0.46%,-1.72%,0.00%,-0.22%,-0.22%,,10,10,-0.03,-0.15,,0.98,0.97,0.97,0.47,1,3.99,4.32,,0.09%,0.73%,1.48%,0.20%,-0.21%,0.51%,0.55%,-0.26%,-0.34%,,0.80%,-1.73%,2.57%,-2.01%,3.51%,-3.04%,,-0.83%,342,0.56,0.08,-0.01,,0.46%,-0.49%,49.74%,47.67%,46.15%,41.18%
XAUUSD_EURUSD,D1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-7.81%,-0.35%,,-0.18,20.89%,-0.18,-0.25,-0.24,-0.17,-0.17,0.97,,-13.50%,5706,2.13%,-0.03,-0.66,9.4,,0.00%,-0.04%,-0.48%,-1.76%,0.00%,-0.22%,-0.22%,,12,12,-0.03,-0.15,,0.98,0.97,0.98,0.47,1.01,4.1,4.38,,0.02%,0.42%,0.71%,0.18%,-0.16%,0.77%,0.57%,-0.31%,-0.35%,,0.77%,-1.40%,2.21%,-1.99%,3.17%,-3.89%,,-1.30%,529,0.57,0.08,-0.01,,0.47%,-0.51%,49.59%,48.19%,44.62%,41.18%
XAUUSD_EURUSD,H4,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-8.32%,-0.37%,,-0.19,19.35%,-0.19,-0.26,-0.26,-0.19,-0.18,0.96,,-14.01%,5706,2.14%,-0.03,-0.66,9.44,,0.00%,-0.05%,-0.51%,-1.88%,0.00%,-0.22%,-0.22%,,12,11,-0.04,-0.16,,0.98,0.96,0.97,0.47,1.01,4.1,4.35,,0.02%,0.42%,0.71%,0.18%,-0.16%,0.77%,0.54%,-0.29%,-0.37%,,0.77%,-1.41%,2.23%,-2.17%,3.18%,-3.54%,,-1.35%,529,0.59,0.09,-0.01,,0.49%,-0.50%,49.47%,46.63%,43.08%,41.18%
XAUUSD_EURUSD,H1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-8.05%,-0.36%,,-0.19,20.19%,-0.18,-0.25,-0.25,-0.18,-0.18,0.96,,-13.79%,5706,2.14%,-0.03,-0.67,9.69,,0.00%,-0.04%,-0.49%,-1.82%,0.00%,-0.22%,-0.22%,,12,11,-0.04,-0.15,,0.98,0.96,0.98,0.47,1.01,4.11,4.33,,0.02%,0.42%,0.71%,0.18%,-0.16%,0.77%,0.56%,-0.29%,-0.36%,,0.77%,-1.45%,2.23%,-2.32%,3.17%,-3.29%,,-1.33%,529,0.58,0.09,-0.01,,0.49%,-0.50%,49.59%,46.11%,44.62%,41.18%
XAUUSD_EURUSD,M30,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-8.57%,-0.39%,,-0.2,18.67%,-0.2,-0.27,-0.27,-0.19,-0.19,0.96,,-14.31%,5706,2.15%,-0.03,-0.76,10.93,,0.00%,-0.05%,-0.53%,-1.94%,0.00%,-0.22%,-0.22%,,12,11,-0.04,-0.16,,0.98,0.96,0.97,0.47,1.01,4.12,4.31,,0.02%,0.42%,0.71%,0.18%,-0.17%,0.78%,0.58%,-0.33%,-0.39%,,0.77%,-1.62%,2.22%,-2.29%,3.19%,-3.34%,,-1.38%,529,0.59,0.09,-0.01,,0.49%,-0.50%,49.57%,46.11%,43.08%,41.18%
XAUUSD_GBPUSD,D1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-12.91%,-0.59%,,-0.28,10.49%,-0.28,-0.37,-0.37,-0.26,-0.26,0.95,,-19.12%,5697,2.39%,-0.03,-0.78,9.32,,0.00%,-0.07%,-0.81%,-2.71%,0.00%,-0.25%,-0.25%,,11,14,-0.05,-0.21,,0.94,0.95,0.89,0.45,0.93,4.01,4.18,,0.14%,0.79%,0.98%,0.23%,0.81%,0.82%,0.56%,-0.43%,-0.59%,,0.92%,-1.59%,2.49%,-2.53%,4.11%,-5.76%,,-1.28%,363,0.69,0.13,-0.01,,0.53%,-0.62%,50.23%,48.19%,49.23%,41.18%
XAUUSD_GBPUSD,H4,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-13.40%,-0.62%,,-0.29,9.69%,-0.29,-0.39,-0.38,-0.27,-0.27,0.95,,-19.61%,5697,2.40%,-0.03,-0.77,9.33,,0.00%,-0.07%,-0.84%,-2.81%,0.00%,-0.25%,-0.25%,,11,14,-0.05,-0.22,,0.94,0.95,0.88,0.45,0.93,4.01,4.17,,0.14%,0.79%,0.99%,0.23%,0.81%,0.83%,0.52%,-0.37%,-0.62%,,0.93%,-1.60%,2.53%,-2.54%,4.14%,-5.76%,,-1.31%,363,0.7,0.13,-0.01,,0.52%,-0.64%,50.21%,48.70%,47.69%,35.29%
