Strategy,Time frame,Deposit,margin,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
Simple moving average crossover,D1,10000,1/100,2007-01-01 0:00:00,2023-03-10 0:00:00,5912 days 00:00:00,0.694031,19998.06745,20016.35323,-0.009663,193.12344,-0.000483,0.048614,0,0,0,-0.184746,-0.097218,3827 days 00:00:00,1340 days 00:00:00,26,50,1.298639,-1.168618,-0.020749,2 days 00:00:00,1 days 00:00:00,0.935641,-0.018847,-0.043339,SMA_crossover
Simple moving average crossover,H4,10000,1/100,2007-01-01 0:00:00,2023-03-10 16:00:00,5912 days 16:00:00,1.000924,9923.665121,10014.17234,-0.763349,193.329158,-0.038284,0.118214,0,0,0,-1.144166,-0.180308,5281 days 08:00:00,803 days 04:00:00,161,50.931677,0.765704,-1.288562,-0.028091,2 days 12:00:00,0 days 05:00:00,0.816971,-0.027596,-1.459318,SMA_crossover
Simple moving average crossover,H1,10000,1/100,2007-01-01 0:00:00,2023-03-10 17:00:00,5912 days 17:00:00,0.955551,9757.242367,10000.77416,-2.427576,193.27055,-0.122728,0.119247,0,0,0,-2.448227,-1.2252,5861 days 08:00:00,2930 days 17:00:00,570,46.315789,0.498501,-0.513722,-0.030971,2 days 06:00:00,0 days 02:00:00,0.660422,-0.030831,-4.576014,SMA_crossover
Simple moving average crossover,M30,10000,1/100,2007-01-01 0:00:00,2023-03-10 17:30:00,5912 days 17:30:00,1.536594,9555.118201,10001.02322,-4.448818,193.338852,-0.227147,0.145747,0,0,0,-4.468274,-4.468274,5884 days 07:00:00,5884 days 07:00:00,1192,47.063758,0.482738,-0.734314,-0.029608,3 days 05:00:00,0 days 01:51:00,0.624291,-0.029511,-7.187288,SMA_crossover
Short term breakout with RSI,D1,10000,1/100,2007-01-01 0:00:00,2023-03-10 0:00:00,5912 days 00:00:00,3.648622,9808.731901,10004.0813,-1.912681,193.12344,-0.096456,0.262644,0,0,0,-1.952697,-0.84529,3881 days 00:00:00,1946 days 00:00:00,153,42.48366,2.644459,-2.611217,-0.087668,2 days 00:00:00,1 days 00:00:00,0.774207,-0.084921,-1.586304,Breakout_RSI
Short term breakout with RSI,H4,10000,1/100,2007-01-01 0:00:00,2023-03-10 16:00:00,5912 days 16:00:00,4.877579,9487.827439,10004.85582,-5.121726,193.329158,-0.262376,0.267086,0,0,0,-5.705035,-2.86034,5898 days 12:00:00,2949 days 12:00:00,794,44.206549,0.980448,-1.425178,-0.058216,3 days 00:00:00,0 days 04:00:00,0.656965,-0.057748,-4.480931,Breakout_RSI
Short term breakout with RSI,H1,10000,1/100,2007-01-01 0:00:00,2023-03-10 17:00:00,5912 days 17:00:00,5.478082,9020.249482,10001.5382,-9.797505,193.27055,-0.513934,0.272551,0,0,0,-9.811378,-9.811378,5904 days 12:00:00,5904 days 12:00:00,2939,47.533175,0.921731,-0.791587,-0.024955,3 days 01:00:00,0 days 02:00:00,0.704116,-0.024829,-8.51215,Breakout_RSI
Short term breakout with RSI,M30,10000,1/100,2007-01-01 0:00:00,2023-03-10 17:30:00,5912 days 17:30:00,5.958399,7974.441062,10001.59156,-20.255589,193.338852,-1.124672,0.302263,0,0,0,-20.268279,-6.761901,5907 days 21:30:00,1969 days 15:30:00,5973,46.626486,0.52874,-0.58322,-0.025035,3 days 05:00:00,0 days 01:08:00,0.611987,-0.024966,-17.170174,Breakout_RSI
Inside bar,D1,10000,1/100,2007-01-01 0:00:00,2023-03-10 0:00:00,5912 days 00:00:00,1.744993,9877.137592,10017.67649,-1.228624,193.12344,-0.061756,0.158465,0,0,0,-1.451418,-0.568107,4322 days 00:00:00,1704 days 00:00:00,67,44.776119,1.14348,-1.074126,-0.117509,4 days 00:00:00,1 days 00:00:00,0.667051,-0.115705,-1.837531,Inside_Bar
Inside bar,H4,10000,1/100,2007-01-01 0:00:00,2023-03-10 16:00:00,5912 days 16:00:00,2.821836,9819.683965,10014.6598,-1.80316,193.329158,-0.090885,0.190531,0,0,0,-1.991761,-0.7049,5618 days 20:00:00,1936 days 18:00:00,513,50.097466,0.566989,-1.230202,-0.027383,2 days 20:00:00,0 days 02:00:00,0.80983,-0.027007,-2.146625,Inside_Bar
Inside bar,H1,10000,1/100,2007-01-01 0:00:00,2023-03-10 17:00:00,5912 days 17:00:00,1.991751,9612.881206,10000,-3.871188,193.27055,-0.197094,0.161837,0,0,0,-3.949644,-3.949644,5897 days 18:00:00,5897 days 18:00:00,1030,46.31068,0.533469,-0.81975,-0.028331,2 days 22:00:00,0 days 02:00:00,0.681713,-0.028198,-5.646745,Inside_Bar
