,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-1,201,201,622.542,623.006175,-0.4641749999999547,-0.0007456123442273199,2007-01-05 04:30:00,2007-01-05 04:30:00,0 days 00:00:00
1,-1,202,203,622.572,623.3576,-0.7856000000000449,-0.0012618620818154458,2007-01-05 05:00:00,2007-01-05 05:30:00,0 days 00:30:00
2,-1,204,206,623.201,624.01205,-0.8110500000000229,-0.0013014260246695386,2007-01-05 06:00:00,2007-01-05 07:00:00,0 days 01:00:00
3,-1,207,207,622.898,623.4621,-0.5640999999999394,-0.0009056057332017531,2007-01-05 07:30:00,2007-01-05 07:30:00,0 days 00:00:00
4,-1,208,212,623.648,624.1955499999999,-0.5475499999998874,-0.0008779792447020096,2007-01-05 08:00:00,2007-01-05 10:00:00,0 days 02:00:00
5,-1,217,217,623.899,624.46745,-0.5684499999999844,-0.0009111250378666114,2007-01-05 12:30:00,2007-01-05 12:30:00,0 days 00:00:00
6,-1,219,219,621.183,612.8277499999999,8.35525000000007,0.013450545169458983,2007-01-05 13:30:00,2007-01-05 13:30:00,0 days 00:00:00
7,-1,220,220,613.001,614.524975,-1.523975000000064,-0.0024860889297082522,2007-01-05 14:00:00,2007-01-05 14:00:00,0 days 00:00:00
8,-1,221,303,612.226,613.63785,-1.4118499999999585,-0.0023060928480658216,2007-01-05 14:30:00,2007-01-09 07:30:00,3 days 17:00:00
9,-1,313,317,609.177,609.75155,-0.5745499999999311,-0.0009431577357645882,2007-01-09 12:30:00,2007-01-09 14:30:00,0 days 02:00:00
10,-1,318,322,608.974,609.681875,-0.7078749999999445,-0.0011624059483654747,2007-01-09 15:00:00,2007-01-09 17:00:00,0 days 02:00:00
11,-1,338,338,610.783,612.1154499999999,-1.3324499999998807,-0.002181544018088122,2007-01-10 01:00:00,2007-01-10 01:00:00,0 days 00:00:00
12,-1,342,342,611.162,612.0151999999999,-0.8531999999999016,-0.0013960292033861066,2007-01-10 03:00:00,2007-01-10 03:00:00,0 days 00:00:00
13,-1,346,346,611.128,611.8543999999999,-0.7263999999998987,-0.0011886216962728735,2007-01-10 05:00:00,2007-01-10 05:00:00,0 days 00:00:00
14,-1,354,359,609.666,611.090975,-1.424974999999904,-0.0023373043600920518,2007-01-10 09:00:00,2007-01-10 11:30:00,0 days 02:30:00
15,-1,361,361,610.935,611.2280499999999,-0.2930499999999938,-0.0004796745971338279,2007-01-10 12:30:00,2007-01-10 12:30:00,0 days 00:00:00
16,-1,363,363,609.457,610.967675,-1.510674999999992,-0.0024787228631388825,2007-01-10 13:30:00,2007-01-10 13:30:00,0 days 00:00:00
17,-1,364,369,610.555,611.4107750000001,-0.8557750000001079,-0.0014016345783756101,2007-01-10 14:00:00,2007-01-10 16:30:00,0 days 02:30:00
