,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,46,1520.555,1569.465,48.909999999999854,0.032165886797912435,2020-01-02 03:00:00,2020-01-06 01:00:00,3 days 22:00:00
1,-1,46,47,1569.465,1577.678,-8.213000000000193,-0.005232993408581965,2020-01-06 01:00:00,2020-01-06 02:00:00,0 days 01:00:00
2,1,47,48,1577.678,1577.475,-0.2030000000002019,-0.00012867010885631025,2020-01-06 02:00:00,2020-01-06 03:00:00,0 days 01:00:00
3,-1,48,49,1577.475,1578.045,-0.5700000000001637,-0.00036133694670281713,2020-01-06 03:00:00,2020-01-06 04:00:00,0 days 01:00:00
4,1,49,92,1578.045,1598.878,20.832999999999856,0.013201778149545706,2020-01-06 04:00:00,2020-01-08 01:00:00,1 days 21:00:00
5,-1,92,93,1598.878,1593.288,5.589999999999918,0.003496201711450153,2020-01-08 01:00:00,2020-01-08 02:00:00,0 days 01:00:00
6,1,93,387,1593.288,1578.028,-15.259999999999991,-0.009577678360723207,2020-01-08 02:00:00,2020-01-27 01:00:00,18 days 23:00:00
7,-1,387,388,1578.028,1580.975,-2.946999999999889,-0.001867520728402683,2020-01-27 01:00:00,2020-01-27 02:00:00,0 days 01:00:00
8,1,388,767,1580.975,1604.078,23.103000000000065,0.014613134300036412,2020-01-27 02:00:00,2020-02-18 17:00:00,22 days 15:00:00
9,-1,767,768,1604.078,1601.465,2.6130000000000564,0.001628973154672031,2020-02-18 17:00:00,2020-02-18 18:00:00,0 days 01:00:00
10,1,768,843,1601.465,1662.885,61.42000000000007,0.03835238359876736,2020-02-18 18:00:00,2020-02-24 01:00:00,5 days 07:00:00
11,-1,843,844,1662.885,1661.635,1.25,0.0007517056200518901,2020-02-24 01:00:00,2020-02-24 02:00:00,0 days 01:00:00
12,1,844,852,1661.635,1682.555,20.920000000000073,0.012590009237889221,2020-02-24 02:00:00,2020-02-24 10:00:00,0 days 08:00:00
13,-1,852,853,1682.555,1686.815,-4.259999999999991,-0.002531863742938567,2020-02-24 10:00:00,2020-02-24 11:00:00,0 days 01:00:00
14,1,853,868,1686.815,1657.555,-29.25999999999999,-0.017346300572380513,2020-02-24 11:00:00,2020-02-25 03:00:00,0 days 16:00:00
15,-1,868,869,1657.555,1656.568,0.98700000000008,0.0005954553544226249,2020-02-25 03:00:00,2020-02-25 04:00:00,0 days 01:00:00
16,1,869,875,1656.568,1651.105,-5.462999999999965,-0.003297781920210907,2020-02-25 04:00:00,2020-02-25 10:00:00,0 days 06:00:00
17,-1,875,876,1651.105,1652.978,-1.8730000000000473,-0.001134391816389746,2020-02-25 10:00:00,2020-02-25 11:00:00,0 days 01:00:00
18,1,876,934,1652.978,1645.628,-7.350000000000136,-0.00444652015937308,2020-02-25 11:00:00,2020-02-28 00:00:00,2 days 13:00:00
