,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,6049,6063,801.829,800.187,-1.641999999999939,-0.0020478181756957703,2007-12-19 03:00:00,2007-12-19 17:00:00,0 days 14:00:00
1,-1,6063,6064,800.187,800.047,0.13999999999998636,0.00017495910330955766,2007-12-19 17:00:00,2007-12-19 18:00:00,0 days 01:00:00
2,1,6064,6089,800.047,797.016,-3.0310000000000628,-0.003788527424013921,2007-12-19 18:00:00,2007-12-20 19:00:00,1 days 01:00:00
3,-1,6089,6090,797.016,796.735,0.28099999999994907,0.0003525650677024261,2007-12-20 19:00:00,2007-12-20 20:00:00,0 days 01:00:00
4,1,6090,6109,796.735,810.178,13.442999999999984,0.016872611345051913,2007-12-20 20:00:00,2007-12-21 15:00:00,0 days 19:00:00
5,-1,6109,6110,810.178,808.734,1.44399999999996,0.0017823243780995535,2007-12-21 15:00:00,2007-12-21 16:00:00,0 days 01:00:00
6,1,6110,6131,808.734,812.3,3.5659999999999172,0.004409360803428575,2007-12-21 16:00:00,2007-12-24 13:00:00,2 days 21:00:00
7,-1,6131,6132,812.3,809.912,2.38799999999992,0.0029398005662931714,2007-12-24 13:00:00,2007-12-24 14:00:00,0 days 01:00:00
8,1,6132,6134,809.912,811.612,1.6999999999999318,0.0020989934708954827,2007-12-24 14:00:00,2007-12-24 16:00:00,0 days 02:00:00
9,-1,6134,6135,811.612,811.99,-0.37800000000004275,-0.0004657397869918256,2007-12-24 16:00:00,2007-12-24 17:00:00,0 days 01:00:00
10,1,6135,6169,811.99,810.32,-1.669999999999959,-0.002056675574822253,2007-12-24 17:00:00,2007-12-26 03:00:00,1 days 10:00:00
11,-1,6169,6170,810.32,811.321,-1.0009999999999764,-0.0012353144436765273,2007-12-26 03:00:00,2007-12-26 04:00:00,0 days 01:00:00
12,1,6170,6181,811.321,819.451,8.129999999999995,0.01002069464490618,2007-12-26 04:00:00,2007-12-26 15:00:00,0 days 11:00:00
13,-1,6181,6184,819.451,824.758,-5.307000000000016,-0.006476287172753503,2007-12-26 15:00:00,2007-12-26 18:00:00,0 days 03:00:00
14,1,6184,6188,824.758,824.1,-0.6580000000000155,-0.000797809781778458,2007-12-26 18:00:00,2007-12-26 22:00:00,0 days 04:00:00
15,-1,6188,6189,824.1,823.275,0.8250000000000455,0.0010010921004732776,2007-12-26 22:00:00,2007-12-26 23:00:00,0 days 01:00:00
16,1,6189,6205,823.275,826.122,2.84699999999998,0.0034581397467432495,2007-12-26 23:00:00,2007-12-27 15:00:00,0 days 16:00:00
17,-1,6205,6206,826.122,826.636,-0.51400000000001,-0.0006221841326099486,2007-12-27 15:00:00,2007-12-27 16:00:00,0 days 01:00:00
18,1,6206,6208,826.636,827.681,1.0450000000000728,0.001264159799476472,2007-12-27 16:00:00,2007-12-27 18:00:00,0 days 02:00:00
19,-1,6208,6209,827.681,826.777,0.9039999999999964,0.00109220822998235,2007-12-27 18:00:00,2007-12-27 19:00:00,0 days 01:00:00
20,1,6209,6214,826.777,824.993,-1.7839999999999918,-0.0021577765225689882,2007-12-27 19:00:00,2007-12-28 00:00:00,0 days 05:00:00
21,-1,6214,6215,824.993,825.022,-0.028999999999996362,-3.515181340940643e-05,2007-12-28 00:00:00,2007-12-28 01:00:00,0 days 01:00:00
22,1,6215,6217,825.022,827.642,2.6200000000000045,0.0031756728911471743,2007-12-28 01:00:00,2007-12-28 03:00:00,0 days 02:00:00
23,-1,6217,6218,827.642,827.675,-0.032999999999901775,-3.987231194146901e-05,2007-12-28 03:00:00,2007-12-28 04:00:00,0 days 01:00:00
24,1,6218,6226,827.675,832.493,4.818000000000097,0.005821125441749508,2007-12-28 04:00:00,2007-12-28 12:00:00,0 days 08:00:00
25,-1,6226,6228,832.493,833.972,-1.4789999999999281,-0.0017765915148835187,2007-12-28 12:00:00,2007-12-28 14:00:00,0 days 02:00:00
26,1,6228,6229,833.972,833.033,-0.9389999999999645,-0.001125937081820405,2007-12-28 14:00:00,2007-12-28 15:00:00,0 days 01:00:00
27,-1,6229,6230,833.033,835.433,-2.3999999999999773,-0.0028810383262127814,2007-12-28 15:00:00,2007-12-28 16:00:00,0 days 01:00:00
28,1,6230,6231,835.433,838.828,3.394999999999982,0.004063760947915718,2007-12-28 16:00:00,2007-12-28 17:00:00,0 days 01:00:00
29,-1,6231,6233,838.828,838.6,0.2279999999999518,0.0002718078080368169,2007-12-28 17:00:00,2007-12-28 19:00:00,0 days 02:00:00
30,1,6233,6239,838.6,841.271,2.6709999999999354,0.0031850703553539805,2007-12-28 19:00:00,2007-12-31 01:00:00,2 days 06:00:00
31,-1,6239,6240,841.271,841.538,-0.26700000000005275,-0.0003173769213489219,2007-12-31 01:00:00,2007-12-31 02:00:00,0 days 01:00:00
32,1,6240,6252,841.538,836.871,-4.66700000000003,-0.005545798288372095,2007-12-31 02:00:00,2007-12-31 14:00:00,0 days 12:00:00
33,-1,6252,6253,836.871,836.554,0.3170000000000073,0.0003787919524036454,2007-12-31 14:00:00,2007-12-31 15:00:00,0 days 01:00:00
34,1,6253,6256,836.554,832.409,-4.144999999999982,-0.004954850493811502,2007-12-31 15:00:00,2007-12-31 18:00:00,0 days 03:00:00
35,-1,6256,6257,832.409,832.401,0.008000000000038199,9.610660144265815e-06,2007-12-31 18:00:00,2007-12-31 19:00:00,0 days 01:00:00
36,1,6257,6288,832.401,837.926,5.525000000000091,0.006637425952155329,2007-12-31 19:00:00,2008-01-02 02:00:00,1 days 07:00:00
37,-1,6288,6289,837.926,836.621,1.3050000000000637,0.001557416764726316,2008-01-02 02:00:00,2008-01-02 03:00:00,0 days 01:00:00
38,1,6289,6295,836.621,840.781,4.159999999999968,0.004972382954766763,2008-01-02 03:00:00,2008-01-02 09:00:00,0 days 06:00:00
39,-1,6295,6297,840.781,841.849,-1.0680000000000973,-0.0012702475436530136,2008-01-02 09:00:00,2008-01-02 11:00:00,0 days 02:00:00
40,1,6297,6298,841.849,842.623,0.7740000000000009,0.0009194047863689825,2008-01-02 11:00:00,2008-01-02 12:00:00,0 days 01:00:00
41,-1,6298,6299,842.623,843.37,-0.7469999999999573,-0.0008865174579852919,2008-01-02 12:00:00,2008-01-02 13:00:00,0 days 01:00:00
42,1,6299,6301,843.37,844.948,1.5779999999999745,0.0018710648944115782,2008-01-02 13:00:00,2008-01-02 15:00:00,0 days 02:00:00
43,-1,6301,6302,844.948,849.869,-4.921000000000049,-0.005824027040717272,2008-01-02 15:00:00,2008-01-02 16:00:00,0 days 01:00:00
44,1,6302,6303,849.869,857.421,7.552000000000021,0.008886075383382597,2008-01-02 16:00:00,2008-01-02 17:00:00,0 days 01:00:00
45,-1,6303,6305,857.421,855.916,1.5049999999999955,0.001755263750246372,2008-01-02 17:00:00,2008-01-02 19:00:00,0 days 02:00:00
46,1,6305,6308,855.916,857.136,1.2199999999999136,0.0014253735179619031,2008-01-02 19:00:00,2008-01-02 22:00:00,0 days 03:00:00
47,-1,6308,6309,857.136,857.583,-0.44700000000000273,-0.000521504172033449,2008-01-02 22:00:00,2008-01-02 23:00:00,0 days 01:00:00
48,1,6309,6316,857.583,856.477,-1.1059999999999945,-0.0012896710872299932,2008-01-02 23:00:00,2008-01-03 06:00:00,0 days 07:00:00
49,-1,6316,6317,856.477,857.32,-0.8430000000000746,-0.0009842646095576946,2008-01-03 06:00:00,2008-01-03 07:00:00,0 days 01:00:00
50,1,6317,6320,857.32,864.242,6.921999999999912,0.008073998040404984,2008-01-03 07:00:00,2008-01-03 10:00:00,0 days 03:00:00
51,-1,6320,6323,864.242,864.012,0.2300000000000182,0.0002661291628964779,2008-01-03 10:00:00,2008-01-03 13:00:00,0 days 03:00:00
