,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,12097,12098,800.558,801.742,1.183999999999969,0.0014789684195273267,2007-12-19 01:30:00,2007-12-19 02:00:00,0 days 00:30:00
1,-1,12098,12099,801.742,801.879,-0.1370000000000573,-0.0001708779133438032,2007-12-19 02:00:00,2007-12-19 02:30:00,0 days 00:30:00
2,1,12099,12104,801.879,801.622,-0.25700000000006185,-0.0003204972321261268,2007-12-19 02:30:00,2007-12-19 05:00:00,0 days 02:30:00
3,-1,12104,12105,801.622,800.761,0.86099999999999,0.0010740723183745304,2007-12-19 05:00:00,2007-12-19 05:30:00,0 days 00:30:00
4,1,12105,12107,800.761,801.963,1.2019999999999982,0.0015010721051600395,2007-12-19 05:30:00,2007-12-19 06:30:00,0 days 01:00:00
5,-1,12107,12108,801.963,799.671,2.2919999999999163,0.0028579872138738693,2007-12-19 06:30:00,2007-12-19 07:00:00,0 days 00:30:00
6,1,12108,12109,799.671,800.054,0.3829999999999245,0.00047894696693995265,2007-12-19 07:00:00,2007-12-19 07:30:00,0 days 00:30:00
7,-1,12109,12112,800.054,802.521,-2.4669999999999845,-0.0030835418609242993,2007-12-19 07:30:00,2007-12-19 09:00:00,0 days 01:30:00
8,1,12112,12115,802.521,801.394,-1.1269999999999527,-0.0014043246220347694,2007-12-19 09:00:00,2007-12-19 10:30:00,0 days 01:30:00
9,-1,12115,12116,801.394,801.439,-0.04499999999995907,-5.615215487009273e-05,2007-12-19 10:30:00,2007-12-19 11:00:00,0 days 00:30:00
10,1,12116,12121,801.439,800.52,-0.9189999999999827,-0.0011466873960462864,2007-12-19 11:00:00,2007-12-19 13:30:00,0 days 02:30:00
11,-1,12121,12122,800.52,800.383,0.1369999999999436,0.000171138759806011,2007-12-19 13:30:00,2007-12-19 14:00:00,0 days 00:30:00
12,1,12122,12123,800.383,800.936,0.5529999999999973,0.0006909192224222593,2007-12-19 14:00:00,2007-12-19 14:30:00,0 days 00:30:00
13,-1,12123,12124,800.936,800.32,0.6159999999999854,0.0007691001528211672,2007-12-19 14:30:00,2007-12-19 15:00:00,0 days 00:30:00
