,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,5,612.451,625.72,13.269000000000005,0.02166540670192396,2007-01-10,2007-01-14,4 days
1,-1,5,6,625.72,625.367,0.3530000000000655,0.0005641500990859472,2007-01-14,2007-01-15,1 days
2,1,6,11,625.367,634.571,9.204000000000065,0.014717757732659376,2007-01-15,2007-01-21,6 days
3,-1,11,12,634.571,634.922,-0.3509999999999991,-0.0005531295946394899,2007-01-21,2007-01-22,1 days
4,1,12,14,634.922,645.825,10.90300000000002,0.017172188079795703,2007-01-22,2007-01-24,2 days
5,-1,14,15,645.825,646.87,-1.044999999999959,-0.0016180853946501372,2007-01-24,2007-01-25,1 days
6,1,15,28,646.87,659.85,12.980000000000018,0.020065855581492542,2007-01-25,2007-02-09,15 days
7,-1,28,29,659.85,666.027,-6.177000000000021,-0.009361218458740606,2007-02-09,2007-02-11,2 days
8,1,29,39,666.027,677.713,11.685999999999922,0.017545835228901963,2007-02-11,2007-02-22,11 days
9,-1,39,40,677.713,674.937,2.7759999999999536,0.004096129187428854,2007-02-22,2007-02-23,1 days
10,1,40,41,674.937,681.745,6.807999999999993,0.010086867366880137,2007-02-23,2007-02-25,2 days
11,-1,41,42,681.745,682.971,-1.225999999999999,-0.0017983263536953675,2007-02-25,2007-02-26,1 days
12,1,42,45,682.971,673.451,-9.519999999999982,-0.013939098439025965,2007-02-26,2007-03-01,3 days
13,-1,45,46,673.451,657.248,16.202999999999975,0.024059656901541437,2007-03-01,2007-03-02,1 days
14,1,46,52,657.248,651.494,-5.754000000000019,-0.008754686206728701,2007-03-02,2007-03-09,7 days
15,-1,52,53,651.494,648.741,2.7530000000000427,0.004225672070656161,2007-03-09,2007-03-11,2 days
16,1,53,75,648.741,673.62,24.87900000000002,0.038349664966450536,2007-03-11,2007-04-05,25 days
17,-1,75,76,673.62,674.214,-0.5940000000000509,-0.0008818027968291453,2007-04-05,2007-04-06,1 days
18,1,76,83,674.214,684.908,10.69399999999996,0.01586143272017493,2007-04-06,2007-04-15,9 days
