,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-1,2,5,1538.2402904,1548.808,-10.567709599999944,-0.006869999223106937,2020-01-03 04:00:00,2020-01-03 16:00:00,0 days 12:00:00
1,1,5,7,1549.1177616,1559.735,10.617238399999906,0.006853732274707092,2020-01-03 16:00:00,2020-01-05 20:00:00,2 days 04:00:00
2,-1,7,11,1559.423053,1578.765,-19.34194700000012,-0.012403271173136998,2020-01-05 20:00:00,2020-01-06 12:00:00,0 days 16:00:00
3,1,11,16,1579.080753,1569.635,-9.445752999999968,-0.005981804908998245,2020-01-06 12:00:00,2020-01-07 08:00:00,0 days 20:00:00
4,-1,16,17,1569.321073,1567.548,1.7730730000000676,0.001129834442744393,2020-01-07 08:00:00,2020-01-07 12:00:00,0 days 04:00:00
5,1,17,18,1567.8615095999999,1568.498,0.6364904000001843,0.00040596085566413365,2020-01-07 12:00:00,2020-01-07 16:00:00,0 days 04:00:00
6,-1,18,19,1568.1843004,1571.185,-3.0006995999999617,-0.0019134865712113758,2020-01-07 16:00:00,2020-01-07 20:00:00,0 days 04:00:00
7,1,19,20,1571.499237,1594.935,23.43576299999995,0.014912996741085927,2020-01-07 20:00:00,2020-01-08 00:00:00,0 days 04:00:00
8,-1,20,23,1594.616013,1577.175,17.441013000000112,0.010937437513365844,2020-01-08 00:00:00,2020-01-08 12:00:00,0 days 12:00:00
9,1,23,31,1577.490435,1552.635,-24.855434999999943,-0.015756314237176272,2020-01-08 12:00:00,2020-01-09 20:00:00,1 days 08:00:00
10,-1,31,33,1552.3244730000001,1546.285,6.039473000000044,0.0038905996169269486,2020-01-09 20:00:00,2020-01-10 04:00:00,0 days 08:00:00
11,1,33,36,1546.594257,1558.615,12.020743000000039,0.00777239598918289,2020-01-10 04:00:00,2020-01-10 16:00:00,0 days 12:00:00
12,-1,36,38,1558.303277,1561.318,-3.0147230000000036,-0.001934618918214559,2020-01-10 16:00:00,2020-01-12 20:00:00,2 days 04:00:00
13,1,38,49,1561.6302636,1542.925,-18.70526360000008,-0.011978036053732155,2020-01-12 20:00:00,2020-01-14 16:00:00,1 days 20:00:00
14,-1,49,50,1542.616415,1546.008,-3.3915850000000773,-0.002198592577533409,2020-01-14 16:00:00,2020-01-14 20:00:00,0 days 04:00:00
15,1,50,52,1546.3172016,1551.898,5.580798399999821,0.003609090291581296,2020-01-14 20:00:00,2020-01-15 04:00:00,0 days 08:00:00
16,-1,52,54,1551.5876203999999,1551.985,-0.39737960000002204,-0.0002561116077335335,2020-01-15 04:00:00,2020-01-15 12:00:00,0 days 08:00:00
17,1,54,56,1552.2953969999999,1555.338,3.042603000000099,0.001960067011652633,2020-01-15 12:00:00,2020-01-15 20:00:00,0 days 08:00:00
18,-1,56,59,1555.0269324,1553.445,1.5819324000001416,0.0010173022518386032,2020-01-15 20:00:00,2020-01-16 08:00:00,0 days 12:00:00
19,1,59,65,1553.7556889999998,1555.535,1.7793110000002343,0.0011451678102272211,2020-01-16 08:00:00,2020-01-17 08:00:00,1 days 00:00:00
20,-1,65,66,1555.223893,1556.455,-1.231106999999838,-0.0007915947057790529,2020-01-17 08:00:00,2020-01-17 12:00:00,0 days 04:00:00
21,1,66,72,1556.766291,1561.468,4.7017090000001645,0.0030201765205102316,2020-01-17 12:00:00,2020-01-20 08:00:00,2 days 20:00:00
22,-1,72,74,1561.1557064,1560.835,0.3207064000000628,0.00020542883626872843,2020-01-20 08:00:00,2020-01-20 16:00:00,0 days 08:00:00
23,1,74,77,1561.147167,1566.775,5.62783300000001,0.0036049343194304306,2020-01-20 16:00:00,2020-01-21 04:00:00,0 days 12:00:00
24,-1,77,78,1566.461645,1559.375,7.08664500000009,0.004523982456014819,2020-01-21 04:00:00,2020-01-21 08:00:00,0 days 04:00:00
25,1,78,82,1559.6868749999999,1556.545,-3.1418749999998,-0.0020144267739636845,2020-01-21 08:00:00,2020-01-22 00:00:00,0 days 16:00:00
26,-1,82,83,1556.2336910000001,1551.985,4.248691000000235,0.00273011118096933,2020-01-22 00:00:00,2020-01-22 04:00:00,0 days 04:00:00
27,1,83,86,1552.2953969999999,1557.005,4.709603000000243,0.00303396055229066,2020-01-22 04:00:00,2020-01-22 16:00:00,0 days 12:00:00
28,-1,86,87,1556.6935990000002,1557.548,-0.8544009999998252,-0.0005488562428397348,2020-01-22 16:00:00,2020-01-22 20:00:00,0 days 04:00:00
29,1,87,92,1557.8595096,1562.628,4.768490400000019,0.003060924538198284,2020-01-22 20:00:00,2020-01-23 16:00:00,0 days 20:00:00
30,-1,92,94,1562.3154743999999,1560.865,1.4504743999998482,0.0009284132582485505,2020-01-23 16:00:00,2020-01-24 00:00:00,0 days 08:00:00
31,1,94,97,1561.177173,1559.095,-2.0821730000000116,-0.0013337198596100608,2020-01-24 00:00:00,2020-01-24 12:00:00,0 days 12:00:00
32,-1,97,104,1558.783181,1584.338,-25.554818999999952,-0.016394081814255834,2020-01-24 12:00:00,2020-01-27 12:00:00,3 days 00:00:00
