,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,1261,1696,1375.6060662,1619.349,243.74293379999995,0.17718948744775465,2011-01-11,2012-06-05,511 days
1,-1,1696,1697,1619.0251302,1617.698,1.3271301999998286,0.000819709450609829,2012-06-05,2012-06-06,1 days
2,1,1697,1831,1618.0215396,1732.152,114.13046039999995,0.07053704639075131,2012-06-06,2012-11-09,156 days
3,-1,1831,1832,1731.8055696000001,1731.683,0.1225696000001335,7.077561254664744e-05,2012-11-09,2012-11-11,2 days
4,1,1832,1878,1732.0293365999999,1687.252,-44.7773365999999,-0.02585252781451064,2012-11-11,2013-01-03,53 days
5,-1,1878,1879,1686.9145496,1661.052,25.862549600000193,0.01533127425223324,2013-01-03,2013-01-04,1 days
6,1,1879,1960,1661.3842103999998,1585.264,-76.1202103999999,-0.04581734310672969,2013-01-04,2013-04-10,96 days
7,-1,1960,1961,1584.9469471999998,1555.452,29.494947199999842,0.018609422386097085,2013-04-10,2013-04-11,1 days
8,1,1961,1966,1555.7630904,1371.076,-184.6870904,-0.1187115773215287,2013-04-11,2013-04-17,6 days
9,-1,1966,1967,1370.8017848,1373.173,-2.3712152000000515,-0.0017298016579005981,2013-04-17,2013-04-18,1 days
10,1,1967,1971,1373.4476346,1423.952,50.5043654000001,0.03677196285296236,2013-04-18,2013-04-23,5 days
11,-1,1971,1972,1423.6672096,1414.163,9.504209599999967,0.006675864651451979,2013-04-23,2013-04-24,1 days
12,1,1972,1973,1414.4458326,1429.923,15.477167400000098,0.010942212874670787,2013-04-24,2013-04-25,1 days
13,-1,1973,1975,1429.6370154,1466.333,-36.695984599999974,-0.025668043149913,2013-04-25,2013-04-28,3 days
14,1,1975,1976,1466.6262666,1465.052,-1.5742666000001009,-0.0010733931580604317,2013-04-28,2013-04-29,1 days
15,-1,1976,1978,1464.7589896,1476.352,-11.59301040000014,-0.007914619730830852,2013-04-29,2013-05-01,2 days
16,1,1978,1985,1476.6472704,1471.896,-4.751270400000067,-0.0032176068687771453,2013-05-01,2013-05-09,8 days
17,-1,1985,1986,1471.6016208,1455.622,15.97962080000002,0.010858659418513716,2013-05-09,2013-05-10,1 days
18,1,1986,1998,1455.9131244,1388.152,-67.76112439999997,-0.046542010827689495,2013-05-10,2013-05-24,14 days
19,-1,1998,1999,1387.8743696000001,1387.245,0.6293696000002456,0.0004534773562981931,2013-05-24,2013-05-26,2 days
20,1,1999,2006,1387.5224489999998,1394.208,6.68555100000026,0.004818337177044274,2013-05-26,2013-06-03,8 days
21,-1,2006,2007,1393.9291584,1412.602,-18.672841600000083,-0.013395832555388454,2013-06-03,2013-06-04,1 days
22,1,2007,2023,1412.8845204000002,1297.013,-115.87152040000024,-0.08201060930810966,2013-06-04,2013-06-23,19 days
23,-1,2023,2024,1296.7535974,1300.302,-3.5484025999999176,-0.002736373823920335,2013-06-23,2013-06-24,1 days
24,1,2024,2032,1300.5620603999998,1244.688,-55.874060399999735,-0.04296147189071098,2013-06-24,2013-07-03,9 days
25,-1,2032,2033,1244.4390624000002,1255.063,-10.623937599999863,-0.008537129636151608,2013-07-03,2013-07-04,1 days
26,1,2033,2039,1255.3140126,1282.993,27.67898739999987,0.02204945306288053,2013-07-04,2013-07-11,7 days
27,-1,2039,2040,1282.7364014,1285.639,-2.9025985999999193,-0.0022628176738666017,2013-07-11,2013-07-12,1 days
28,1,2040,2041,1285.8961278,1284.703,-1.1931277999999566,-0.0009278570595288027,2013-07-12,2013-07-14,2 days
29,-1,2041,2043,1284.4460594,1282.329,2.1170594000000165,0.0016482275643314725,2013-07-14,2013-07-16,2 days
30,1,2043,2049,1282.5854657999998,1334.469,51.88353420000021,0.0404523016855165,2013-07-16,2013-07-23,7 days
31,-1,2049,2050,1334.2021062000001,1343.043,-8.840893799999776,-0.006626352753392073,2013-07-23,2013-07-24,1 days
