,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-1,2,3,1552.665,1561.318,-8.65300000000002,-0.005572998682909613,2020-01-10,2020-01-12,2 days
1,1,3,5,1561.318,1545.175,-16.14300000000003,-0.010339341505061772,2020-01-12,2020-01-14,2 days
2,-1,5,6,1545.175,1549.475,-4.2999999999999545,-0.002782856310773907,2020-01-14,2020-01-15,1 days
3,1,6,18,1549.475,1568.365,18.8900000000001,0.012191226060439986,2020-01-15,2020-01-29,14 days
4,-1,18,19,1568.365,1576.995,-8.629999999999882,-0.005502545644668011,2020-01-29,2020-01-30,1 days
5,1,19,28,1576.995,1574.745,-2.25,-0.0014267641939258446,2020-01-30,2020-02-10,11 days
6,-1,28,29,1574.745,1571.898,2.84699999999998,0.001807911757141567,2020-02-10,2020-02-11,1 days
7,1,29,42,1571.898,1639.755,67.8570000000002,0.04316883156540707,2020-02-11,2020-02-26,15 days
8,-1,42,43,1639.755,1643.508,-3.752999999999929,-0.0022887565520457454,2020-02-26,2020-02-27,1 days
9,1,43,46,1643.508,1584.805,-58.702999999999975,-0.035718110286046656,2020-02-27,2020-03-02,4 days
10,-1,46,47,1584.805,1591.895,-7.089999999999918,-0.004473736516479976,2020-03-02,2020-03-03,1 days
11,1,47,50,1591.895,1674.518,82.62300000000005,0.05190229255070222,2020-03-03,2020-03-06,3 days
12,-1,50,51,1674.518,1694.895,-20.376999999999953,-0.012168874864289192,2020-03-06,2020-03-08,2 days
13,1,51,52,1694.895,1700.048,5.15300000000002,0.003040306331660636,2020-03-08,2020-03-09,1 days
14,-1,52,53,1700.048,1666.415,33.63300000000004,0.019783559052450328,2020-03-09,2020-03-10,1 days
15,1,53,54,1666.415,1652.245,-14.170000000000073,-0.008503283995883404,2020-03-10,2020-03-11,1 days
16,-1,54,55,1652.245,1643.645,8.599999999999909,0.0052050392042342075,2020-03-11,2020-03-12,1 days
17,1,55,57,1643.645,1567.348,-76.29700000000003,-0.04641939104855364,2020-03-12,2020-03-15,3 days
18,-1,57,58,1567.348,1557.908,9.440000000000055,0.006022912588652951,2020-03-15,2020-03-16,1 days
19,1,58,60,1557.908,1537.558,-20.34999999999991,-0.01306238879317645,2020-03-16,2020-03-18,2 days
20,-1,60,61,1537.558,1498.058,39.5,0.02569008778855819,2020-03-18,2020-03-19,1 days
21,1,61,62,1498.058,1471.228,-26.829999999999927,-0.01790985395759037,2020-03-19,2020-03-20,1 days
22,-1,62,63,1471.228,1503.768,-32.539999999999964,-0.022117577968880475,2020-03-20,2020-03-22,2 days
23,1,63,65,1503.768,1566.815,63.047000000000025,0.04192601518319328,2020-03-22,2020-03-24,2 days
24,-1,65,66,1566.815,1630.105,-63.289999999999964,-0.04039404779760214,2020-03-24,2020-03-25,1 days
25,1,66,67,1630.105,1610.098,-20.007000000000062,-0.012273442508304755,2020-03-25,2020-03-26,1 days
26,-1,67,69,1610.098,1639.458,-29.360000000000127,-0.01823491489337914,2020-03-26,2020-03-29,3 days
27,1,69,76,1639.458,1619.228,-20.230000000000018,-0.012339443889383017,2020-03-29,2020-04-06,8 days
28,-1,76,77,1619.228,1661.0,-41.771999999999935,-0.025797478798538442,2020-04-06,2020-04-07,1 days
29,1,77,79,1661.0,1647.008,-13.991999999999962,-0.008423841059602588,2020-04-07,2020-04-09,2 days
