,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,9,638.689,633.655,-5.033999999999992,-0.007881770313877268,2007-01-02 08:00:00,2007-01-03 12:00:00,1 days 04:00:00
1,-1,9,10,633.655,637.683,-4.02800000000002,-0.006356771429247843,2007-01-03 12:00:00,2007-01-03 16:00:00,0 days 04:00:00
2,1,10,12,637.683,626.699,-10.984000000000037,-0.01722485937370144,2007-01-03 16:00:00,2007-01-04 00:00:00,0 days 08:00:00
3,-1,12,14,626.699,628.916,-2.2170000000000982,-0.0035375834331954348,2007-01-04 00:00:00,2007-01-04 08:00:00,0 days 08:00:00
4,1,14,15,628.916,626.772,-2.1440000000000055,-0.003409040316989853,2007-01-04 08:00:00,2007-01-04 12:00:00,0 days 04:00:00
5,-1,15,16,626.772,627.9,-1.127999999999929,-0.0017996974976546287,2007-01-04 12:00:00,2007-01-04 16:00:00,0 days 04:00:00
6,1,16,18,627.9,622.268,-5.631999999999948,-0.00896958114349411,2007-01-04 16:00:00,2007-01-05 00:00:00,0 days 08:00:00
7,-1,18,19,622.268,623.242,-0.9739999999999327,-0.0015652419857681288,2007-01-05 00:00:00,2007-01-05 04:00:00,0 days 04:00:00
8,1,19,20,623.242,623.648,0.40600000000006276,0.000651432348911074,2007-01-05 04:00:00,2007-01-05 08:00:00,0 days 04:00:00
9,-1,20,22,623.648,602.892,20.755999999999972,0.033281594745753984,2007-01-05 08:00:00,2007-01-05 16:00:00,0 days 08:00:00
10,1,22,25,602.892,607.808,4.91599999999994,0.008154030904374165,2007-01-05 16:00:00,2007-01-08 00:00:00,2 days 08:00:00
11,-1,25,27,607.808,606.907,0.9009999999999536,0.001482376013477893,2007-01-08 00:00:00,2007-01-08 08:00:00,0 days 08:00:00
12,1,27,28,606.907,607.994,1.086999999999989,0.0017910487109227269,2007-01-08 08:00:00,2007-01-08 12:00:00,0 days 04:00:00
13,-1,28,29,607.994,608.661,-0.6669999999999163,-0.0010970502998384202,2007-01-08 12:00:00,2007-01-08 16:00:00,0 days 04:00:00
