,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,4,1538.548,1549.318,10.769999999999982,0.007000106594009514,2020-01-03 04:00:00,2020-01-03 12:00:00,0 days 08:00:00
1,-1,4,5,1549.318,1548.808,0.5099999999999909,0.0003291770959867879,2020-01-03 12:00:00,2020-01-03 16:00:00,0 days 04:00:00
2,1,5,9,1548.808,1578.045,29.23700000000008,0.01887709774226387,2020-01-03 16:00:00,2020-01-06 04:00:00,2 days 12:00:00
3,-1,9,11,1578.045,1578.765,-0.7200000000000273,-0.0004562607530202989,2020-01-06 04:00:00,2020-01-06 12:00:00,0 days 08:00:00
4,1,11,14,1578.765,1563.695,-15.070000000000164,-0.009545435831171956,2020-01-06 12:00:00,2020-01-07 00:00:00,0 days 12:00:00
5,-1,14,17,1563.695,1567.548,-3.8530000000000655,-0.0024640355056453345,2020-01-07 00:00:00,2020-01-07 12:00:00,0 days 12:00:00
6,1,17,18,1567.548,1568.498,0.9500000000000455,0.0006060420478353201,2020-01-07 12:00:00,2020-01-07 16:00:00,0 days 04:00:00
7,-1,18,19,1568.498,1571.185,-2.686999999999898,-0.001713103873897115,2020-01-07 16:00:00,2020-01-07 20:00:00,0 days 04:00:00
8,1,19,21,1571.185,1590.668,19.482999999999947,0.012400194757460126,2020-01-07 20:00:00,2020-01-08 04:00:00,0 days 08:00:00
9,-1,21,22,1590.668,1588.515,2.1529999999997926,0.0013535194019115293,2020-01-08 04:00:00,2020-01-08 08:00:00,0 days 04:00:00
10,1,22,25,1588.515,1554.055,-34.460000000000036,-0.021693216620554456,2020-01-08 08:00:00,2020-01-08 20:00:00,0 days 12:00:00
11,-1,25,26,1554.055,1557.958,-3.90300000000002,-0.002511494123438318,2020-01-08 20:00:00,2020-01-09 00:00:00,0 days 04:00:00
12,1,26,27,1557.958,1558.695,0.7369999999998527,0.0004730551144509487,2020-01-09 00:00:00,2020-01-09 04:00:00,0 days 04:00:00
13,-1,27,30,1558.695,1546.635,12.059999999999945,0.007737241731063493,2020-01-09 04:00:00,2020-01-09 16:00:00,0 days 12:00:00
14,1,30,31,1546.635,1552.635,6.0,0.0038793897719888726,2020-01-09 16:00:00,2020-01-09 20:00:00,0 days 04:00:00
15,-1,31,33,1552.635,1546.285,6.349999999999909,0.004089821497003432,2020-01-09 20:00:00,2020-01-10 04:00:00,0 days 08:00:00
16,1,33,36,1546.285,1558.615,12.329999999999927,0.007973950468380675,2020-01-10 04:00:00,2020-01-10 16:00:00,0 days 12:00:00
17,-1,36,38,1558.615,1561.318,-2.7029999999999745,-0.0017342319944309015,2020-01-10 16:00:00,2020-01-12 20:00:00,2 days 04:00:00
18,1,38,43,1561.318,1551.365,-9.952999999999975,-0.00637474236510438,2020-01-12 20:00:00,2020-01-13 16:00:00,0 days 20:00:00
19,-1,43,45,1551.365,1545.175,6.190000000000055,0.0039900345824483985,2020-01-13 16:00:00,2020-01-14 00:00:00,0 days 08:00:00
20,1,45,48,1545.175,1543.065,-2.1099999999999,-0.0013655411199378076,2020-01-14 00:00:00,2020-01-14 12:00:00,0 days 12:00:00
21,-1,48,50,1543.065,1546.008,-2.9429999999999836,-0.0019072430519777583,2020-01-14 12:00:00,2020-01-14 20:00:00,0 days 08:00:00
22,1,50,52,1546.008,1551.898,5.889999999999873,0.0038098121096397097,2020-01-14 20:00:00,2020-01-15 04:00:00,0 days 08:00:00
23,-1,52,53,1551.898,1552.725,-0.8269999999999982,-0.0005328958475363521,2020-01-15 04:00:00,2020-01-15 08:00:00,0 days 04:00:00
24,1,53,57,1552.725,1556.245,3.519999999999982,0.0022669822408991624,2020-01-15 08:00:00,2020-01-16 00:00:00,0 days 16:00:00
25,-1,57,59,1556.245,1553.445,2.7999999999999545,0.0017992025677190382,2020-01-16 00:00:00,2020-01-16 08:00:00,0 days 08:00:00
26,1,59,61,1553.445,1550.695,-2.75,-0.0017702590049857303,2020-01-16 08:00:00,2020-01-16 16:00:00,0 days 08:00:00
27,-1,61,62,1550.695,1551.645,-0.9500000000000455,-0.0006126285310781299,2020-01-16 16:00:00,2020-01-16 20:00:00,0 days 04:00:00
28,1,62,65,1551.645,1555.535,3.8900000000001,0.0025070167467431403,2020-01-16 20:00:00,2020-01-17 08:00:00,0 days 12:00:00
29,-1,65,66,1555.535,1556.455,-0.9199999999998454,-0.0005914363868377848,2020-01-17 08:00:00,2020-01-17 12:00:00,0 days 04:00:00
