,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-1,2,3,1520.555,1520.295,0.2599999999999909,0.0001709901976580941,2020-01-02 03:00:00,2020-01-02 03:30:00,0 days 00:30:00
1,1,3,4,1520.295,1520.275,-0.01999999999998181,-1.3155341561987832e-05,2020-01-02 03:30:00,2020-01-02 04:00:00,0 days 00:30:00
2,-1,4,5,1520.275,1519.795,0.4800000000000182,0.00031573235105486486,2020-01-02 04:00:00,2020-01-02 04:30:00,0 days 00:30:00
3,1,5,18,1519.795,1521.188,1.393000000000029,0.0009165709849026094,2020-01-02 04:30:00,2020-01-02 11:00:00,0 days 06:30:00
4,-1,18,20,1521.188,1521.955,-0.7669999999998254,-0.0005042111823125861,2020-01-02 11:00:00,2020-01-02 12:00:00,0 days 01:00:00
5,1,20,23,1521.955,1524.205,2.25,0.001478361712402787,2020-01-02 12:00:00,2020-01-02 13:30:00,0 days 01:30:00
6,-1,23,25,1524.205,1527.608,-3.40300000000002,-0.00223263931032891,2020-01-02 13:30:00,2020-01-02 14:30:00,0 days 01:00:00
7,1,25,26,1527.608,1526.245,-1.3630000000000564,-0.0008922446072553436,2020-01-02 14:30:00,2020-01-02 15:00:00,0 days 00:30:00
8,-1,26,28,1526.245,1529.115,-2.8700000000001182,-0.00188043204072752,2020-01-02 15:00:00,2020-01-02 16:00:00,0 days 01:00:00
9,1,28,29,1529.115,1526.895,-2.2200000000000273,-0.0014518201704908362,2020-01-02 16:00:00,2020-01-02 16:30:00,0 days 00:30:00
10,-1,29,30,1526.895,1525.468,1.4269999999999072,0.0009345763788602968,2020-01-02 16:30:00,2020-01-02 17:00:00,0 days 00:30:00
11,1,30,32,1525.468,1525.205,-0.26300000000014734,-0.00017240610750279828,2020-01-02 17:00:00,2020-01-02 18:00:00,0 days 01:00:00
12,-1,32,33,1525.205,1525.505,-0.3000000000001819,-0.00019669487052564882,2020-01-02 18:00:00,2020-01-02 18:30:00,0 days 00:30:00
13,1,33,38,1525.505,1528.308,2.8029999999998836,0.0018374243283370006,2020-01-02 18:30:00,2020-01-02 21:00:00,0 days 02:30:00
14,-1,38,40,1528.308,1528.568,-0.2599999999999909,-0.00017012277629890882,2020-01-02 21:00:00,2020-01-02 23:00:00,0 days 02:00:00
15,1,40,42,1528.568,1528.728,0.16000000000008185,0.000104673131977151,2020-01-02 23:00:00,2020-01-03 00:00:00,0 days 01:00:00
16,-1,42,44,1528.728,1530.475,-1.7469999999998436,-0.0011427801413985694,2020-01-03 00:00:00,2020-01-03 01:00:00,0 days 01:00:00
17,1,44,46,1530.475,1534.928,4.453000000000202,0.002909554223362143,2020-01-03 01:00:00,2020-01-03 02:00:00,0 days 01:00:00
18,-1,46,48,1534.928,1538.255,-3.326999999999998,-0.002167528379181327,2020-01-03 02:00:00,2020-01-03 03:00:00,0 days 01:00:00
19,1,48,49,1538.255,1539.855,1.599999999999909,0.0010401396387464956,2020-01-03 03:00:00,2020-01-03 03:30:00,0 days 00:30:00
20,-1,49,50,1539.855,1538.548,1.3070000000000164,0.0008487812164132968,2020-01-03 03:30:00,2020-01-03 04:00:00,0 days 00:30:00
21,1,50,51,1538.548,1538.408,-0.14000000000010004,-9.099488608743656e-05,2020-01-03 04:00:00,2020-01-03 04:30:00,0 days 00:30:00
22,-1,51,53,1538.408,1540.328,-1.9200000000000728,-0.0012480434319115385,2020-01-03 04:30:00,2020-01-03 05:30:00,0 days 01:00:00
23,1,53,54,1540.328,1541.398,1.0699999999999363,0.0006946572418342623,2020-01-03 05:30:00,2020-01-03 06:00:00,0 days 00:30:00
24,-1,54,55,1541.398,1542.175,-0.7770000000000437,-0.0005040878475255361,2020-01-03 06:00:00,2020-01-03 06:30:00,0 days 00:30:00
25,1,55,58,1542.175,1543.455,1.2799999999999727,0.0008299965957170308,2020-01-03 06:30:00,2020-01-03 08:00:00,0 days 01:30:00
26,-1,58,59,1543.455,1543.328,0.1269999999999527,8.228293017931154e-05,2020-01-03 08:00:00,2020-01-03 08:30:00,0 days 00:30:00
27,1,59,60,1543.328,1544.285,0.9570000000001073,0.0006200885359430863,2020-01-03 08:30:00,2020-01-03 09:00:00,0 days 00:30:00
28,-1,60,61,1544.285,1547.205,-2.9199999999998454,-0.001890842687716221,2020-01-03 09:00:00,2020-01-03 09:30:00,0 days 00:30:00
29,1,61,63,1547.205,1547.305,0.10000000000013642,6.463267634226888e-05,2020-01-03 09:30:00,2020-01-03 10:30:00,0 days 01:00:00
30,-1,63,64,1547.305,1548.495,-1.1899999999998272,-0.0007690791408285769,2020-01-03 10:30:00,2020-01-03 11:00:00,0 days 00:30:00
31,1,64,65,1548.495,1549.358,0.8630000000000564,0.0005573153287548038,2020-01-03 11:00:00,2020-01-03 11:30:00,0 days 00:30:00
32,-1,65,67,1549.358,1546.795,2.5629999999998745,0.0016542335599647462,2020-01-03 11:30:00,2020-01-03 12:30:00,0 days 01:00:00
33,1,67,70,1546.795,1546.288,-0.5070000000000618,-0.0003277745273291277,2020-01-03 12:30:00,2020-01-03 14:00:00,0 days 01:30:00
34,-1,70,71,1546.288,1547.898,-1.6099999999999,-0.0010412031911259945,2020-01-03 14:00:00,2020-01-03 14:30:00,0 days 00:30:00
35,1,71,73,1547.898,1549.618,1.7200000000000273,0.001111184328683068,2020-01-03 14:30:00,2020-01-03 15:30:00,0 days 01:00:00
36,-1,73,74,1549.618,1548.808,0.8099999999999454,0.00052270946775268,2020-01-03 15:30:00,2020-01-03 16:00:00,0 days 00:30:00
37,1,74,75,1548.808,1549.405,0.59699999999998,0.0003854577197430764,2020-01-03 16:00:00,2020-01-03 16:30:00,0 days 00:30:00
38,-1,75,76,1549.405,1548.148,1.2570000000000618,0.0008112791684550258,2020-01-03 16:30:00,2020-01-03 17:00:00,0 days 00:30:00
39,1,76,78,1548.148,1548.738,0.5900000000001455,0.0003811005149378932,2020-01-03 17:00:00,2020-01-03 18:00:00,0 days 01:00:00
40,-1,78,79,1548.738,1549.768,-1.0299999999999727,-0.0006650576146514098,2020-01-03 18:00:00,2020-01-03 18:30:00,0 days 00:30:00
41,1,79,84,1549.768,1548.978,-0.7899999999999636,-0.0005097537179757916,2020-01-03 18:30:00,2020-01-03 21:00:00,0 days 02:30:00
42,-1,84,85,1548.978,1550.108,-1.1299999999998818,-0.0007295132661664372,2020-01-03 21:00:00,2020-01-03 21:30:00,0 days 00:30:00
43,1,85,87,1550.108,1574.265,24.157000000000153,0.015584075432163447,2020-01-03 21:30:00,2020-01-05 23:30:00,2 days 02:00:00
44,-1,87,88,1574.265,1569.145,5.120000000000118,0.0032523113961119288,2020-01-05 23:30:00,2020-01-06 00:00:00,0 days 00:30:00
