,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,4,645.314,647.068,1.754000000000019,0.002718056635994337,2007-01-26,2007-01-29,3 days
1,-1,4,5,647.068,642.294,4.774000000000001,0.007377895368029352,2007-01-29,2007-01-30,1 days
2,1,5,8,642.294,656.273,13.979000000000042,0.021764176529751156,2007-01-30,2007-02-02,3 days
3,-1,8,9,656.273,646.846,9.427000000000021,0.014364448941218133,2007-02-02,2007-02-04,2 days
4,1,9,12,646.846,652.472,5.625999999999976,0.008697587988485633,2007-02-04,2007-02-07,3 days
5,-1,12,13,652.472,651.633,0.8389999999999418,0.0012858789342683474,2007-02-07,2007-02-08,1 days
6,1,13,16,651.633,666.52,14.886999999999944,0.022845681541603824,2007-02-08,2007-02-12,4 days
7,-1,16,17,666.52,660.511,6.0090000000000146,0.00901548340634939,2007-02-12,2007-02-13,1 days
8,1,17,19,660.511,668.441,7.930000000000064,0.012005856072041299,2007-02-13,2007-02-15,2 days
9,-1,19,20,668.441,668.023,0.41800000000000637,0.0006253356691166001,2007-02-15,2007-02-16,1 days
10,1,20,21,668.023,668.315,0.29200000000003,0.0004371106982843376,2007-02-16,2007-02-18,2 days
11,-1,21,22,668.315,667.912,0.40300000000002,0.0006030090600989135,2007-02-18,2007-02-19,1 days
12,1,22,23,667.912,670.913,3.0009999999999764,0.0044931068763549575,2007-02-19,2007-02-20,1 days
13,-1,23,24,670.913,659.27,11.643000000000029,0.017353963926768468,2007-02-20,2007-02-21,1 days
14,1,24,25,659.27,677.713,18.442999999999984,0.02797488130811354,2007-02-21,2007-02-22,1 days
15,-1,25,26,677.713,674.937,2.7759999999999536,0.004096129187428854,2007-02-22,2007-02-23,1 days
16,1,26,29,674.937,685.991,11.053999999999974,0.016377824893286208,2007-02-23,2007-02-27,4 days
17,-1,29,30,685.991,664.848,21.14300000000003,0.030821104066963034,2007-02-27,2007-02-28,1 days
18,1,30,31,664.848,673.451,8.603000000000065,0.012939799773783012,2007-02-28,2007-03-01,1 days
19,-1,31,33,673.451,641.983,31.468000000000075,0.04672648789592726,2007-03-01,2007-03-04,3 days
20,1,33,34,641.983,642.409,0.42600000000004457,0.0006635689730103422,2007-03-04,2007-03-05,1 days
21,-1,34,35,642.409,632.283,10.125999999999976,0.01576254379997788,2007-03-05,2007-03-06,1 days
22,1,35,38,632.283,651.494,19.211000000000013,0.030383546608085288,2007-03-06,2007-03-09,3 days
23,-1,38,39,651.494,648.741,2.7530000000000427,0.004225672070656161,2007-03-09,2007-03-11,2 days
24,1,39,40,648.741,648.658,-0.08299999999996999,-0.0001279401178589934,2007-03-11,2007-03-12,1 days
25,-1,40,42,648.658,642.475,6.182999999999993,0.009531987580512324,2007-03-12,2007-03-14,2 days
26,1,42,49,642.475,663.033,20.557999999999993,0.031998132223043596,2007-03-14,2007-03-22,8 days
27,-1,49,51,663.033,656.378,6.654999999999973,0.01003720780111994,2007-03-22,2007-03-25,3 days
28,1,51,55,656.378,665.298,8.919999999999959,0.013589730307840941,2007-03-25,2007-03-29,4 days
29,-1,55,56,665.298,660.897,4.400999999999954,0.006615080760801861,2007-03-29,2007-03-30,1 days
30,1,56,58,660.897,665.504,4.606999999999971,0.006970829039925963,2007-03-30,2007-04-02,3 days
31,-1,58,59,665.504,663.097,2.407000000000039,0.003616807712650938,2007-04-02,2007-04-03,1 days
32,1,59,62,663.097,674.214,11.117000000000075,0.016765269636267455,2007-04-03,2007-04-06,3 days
33,-1,62,65,674.214,671.794,2.4200000000000728,0.0035893648010869583,2007-04-06,2007-04-10,4 days
34,1,65,67,671.794,677.247,5.4529999999999745,0.00811707160230668,2007-04-10,2007-04-12,2 days
35,-1,67,68,677.247,676.87,0.3769999999999527,0.000556665441116655,2007-04-12,2007-04-13,1 days
36,1,68,71,676.87,690.22,13.350000000000023,0.019723137382362976,2007-04-13,2007-04-17,4 days
37,-1,71,72,690.22,687.047,3.173000000000002,0.004597084987395306,2007-04-17,2007-04-18,1 days
38,1,72,73,687.047,689.348,2.300999999999931,0.0033491158537914956,2007-04-18,2007-04-19,1 days
39,-1,73,74,689.348,683.673,5.6749999999999545,0.008232416718406355,2007-04-19,2007-04-20,1 days
40,1,74,75,683.673,691.159,7.48599999999999,0.010949679159481196,2007-04-20,2007-04-22,2 days
41,-1,75,78,691.159,683.344,7.814999999999941,0.011307094315490263,2007-04-22,2007-04-25,3 days
42,1,78,79,683.344,684.295,0.9509999999999081,0.0013916855932003536,2007-04-25,2007-04-26,1 days
43,-1,79,80,684.295,674.294,10.000999999999976,0.014615041758305969,2007-04-26,2007-04-27,1 days
44,1,80,81,674.294,680.526,6.231999999999971,0.009242259311220247,2007-04-27,2007-04-29,2 days
45,-1,81,85,680.526,672.119,8.406999999999925,0.01235367935978926,2007-04-29,2007-05-03,4 days
46,1,85,87,672.119,687.786,15.666999999999916,0.023309860307475283,2007-05-03,2007-05-06,3 days
47,-1,87,88,687.786,687.601,0.18499999999994543,0.00026897901382105793,2007-05-06,2007-05-07,1 days
48,1,88,89,687.601,687.538,-0.06299999999998818,-9.162290339892465e-05,2007-05-07,2007-05-08,1 days
49,-1,89,92,687.538,664.548,22.99000000000001,0.033438151782156034,2007-05-08,2007-05-11,3 days
50,1,92,94,664.548,671.532,6.984000000000037,0.010509398869607667,2007-05-11,2007-05-14,3 days
51,-1,94,95,671.532,668.846,2.6860000000000355,0.003999809391064035,2007-05-14,2007-05-15,1 days
52,1,95,96,668.846,671.67,2.8239999999999554,0.0042221976359280156,2007-05-15,2007-05-16,1 days
53,-1,96,98,671.67,657.174,14.495999999999981,0.021582026888203987,2007-05-16,2007-05-18,2 days
54,1,98,101,657.174,662.719,5.545000000000073,0.008437643607324796,2007-05-18,2007-05-22,4 days
55,-1,101,102,662.719,658.71,4.0090000000000146,0.006049321054624968,2007-05-22,2007-05-23,1 days
56,1,102,103,658.71,662.269,3.558999999999969,0.005402984621456941,2007-05-23,2007-05-24,1 days
57,-1,103,104,662.269,653.997,8.272000000000048,0.01249039287661069,2007-05-24,2007-05-25,1 days
58,1,104,105,653.997,655.27,1.2730000000000246,0.001946492109291098,2007-05-25,2007-05-27,2 days
59,-1,105,107,655.27,655.067,0.20299999999997453,0.0003097959619697832,2007-05-27,2007-05-29,2 days
60,1,107,108,655.067,656.894,1.8269999999999982,0.0027890276872442055,2007-05-29,2007-05-30,1 days
61,-1,108,109,656.894,654.407,2.4869999999999663,0.003785998958736103,2007-05-30,2007-05-31,1 days
62,1,109,111,654.407,670.443,16.035999999999945,0.024504627853919603,2007-05-31,2007-06-03,3 days
63,-1,111,112,670.443,670.117,0.32600000000002183,0.0004862456614507238,2007-06-03,2007-06-04,1 days
64,1,112,113,670.117,671.047,0.9300000000000637,0.0013878173512984482,2007-06-04,2007-06-05,1 days
65,-1,113,118,671.047,649.252,21.795000000000073,0.03247909609908106,2007-06-05,2007-06-11,6 days
66,1,118,119,649.252,652.87,3.618000000000052,0.005572566584315597,2007-06-11,2007-06-12,1 days
67,-1,119,120,652.87,647.298,5.572000000000003,0.008534624044603034,2007-06-12,2007-06-13,1 days
68,1,120,126,647.298,660.47,13.172000000000025,0.02034920546641583,2007-06-13,2007-06-20,7 days
69,-1,126,128,660.47,651.145,9.325000000000045,0.014118733629082336,2007-06-20,2007-06-22,2 days
70,1,128,129,651.145,653.848,2.7029999999999745,0.00415114912961001,2007-06-22,2007-06-24,2 days
71,-1,129,132,653.848,641.72,12.127999999999929,0.018548653509684154,2007-06-24,2007-06-27,3 days
72,1,132,137,641.72,656.248,14.52800000000002,0.022639157264850773,2007-06-27,2007-07-03,6 days
73,-1,137,138,656.248,653.388,2.8600000000000136,0.004358108519949777,2007-07-03,2007-07-04,1 days
74,1,138,139,653.388,653.738,0.35000000000002274,0.0005356694643918747,2007-07-04,2007-07-05,1 days
75,-1,139,140,653.738,649.048,4.690000000000055,0.007174127861620527,2007-07-05,2007-07-06,1 days
76,1,140,141,649.048,655.457,6.408999999999992,0.009874462289383823,2007-07-06,2007-07-08,2 days
77,-1,141,142,655.457,654.801,0.6559999999999491,0.0010008284296298964,2007-07-08,2007-07-09,1 days
78,1,142,144,654.801,663.097,8.295999999999935,0.012669498061242956,2007-07-09,2007-07-11,2 days
79,-1,144,145,663.097,661.098,1.9990000000000236,0.0030146419000538494,2007-07-11,2007-07-12,1 days
80,1,145,148,661.098,666.637,5.538999999999987,0.008378485489292098,2007-07-12,2007-07-16,4 days
81,-1,148,150,666.637,664.37,2.266999999999939,0.003400651328984039,2007-07-16,2007-07-18,2 days
82,1,150,153,664.37,683.048,18.677999999999997,0.028113852220901014,2007-07-18,2007-07-22,4 days
83,-1,153,159,683.048,660.723,22.325000000000045,0.03268437942867852,2007-07-22,2007-07-29,7 days
84,1,159,161,660.723,665.045,4.322000000000003,0.006541319130709766,2007-07-29,2007-07-31,2 days
85,-1,161,162,665.045,663.438,1.606999999999971,0.002416377839093542,2007-07-31,2007-08-01,1 days
86,1,162,165,663.438,672.648,9.210000000000036,0.013882231647870613,2007-08-01,2007-08-05,4 days
87,-1,165,168,672.648,671.145,1.5030000000000427,0.002234452492239636,2007-08-05,2007-08-08,3 days
88,1,168,169,671.145,673.048,1.90300000000002,0.0028354528455103445,2007-08-08,2007-08-09,1 days
89,-1,169,170,673.048,661.47,11.577999999999975,0.017202339209090534,2007-08-09,2007-08-10,1 days
90,1,170,171,661.47,672.17,10.699999999999932,0.01617609264214548,2007-08-10,2007-08-12,2 days
91,-1,171,173,672.17,668.67,3.5,0.005207016082241056,2007-08-12,2007-08-14,2 days
92,1,173,174,668.67,669.42,0.75,0.0011216295033424917,2007-08-14,2007-08-15,1 days
93,-1,174,176,669.42,648.647,20.77299999999991,0.031031340563472676,2007-08-15,2007-08-17,2 days
94,1,176,177,648.647,657.17,8.52299999999991,0.01313965839663167,2007-08-17,2007-08-19,2 days
95,-1,177,178,657.17,653.795,3.375,0.005135657440236141,2007-08-19,2007-08-20,1 days
96,1,178,181,653.795,660.225,6.430000000000064,0.00983488708234237,2007-08-20,2007-08-23,3 days
97,-1,181,182,660.225,659.221,1.004000000000019,0.0015206937029043077,2007-08-23,2007-08-24,1 days
98,1,182,183,659.221,667.648,8.427000000000021,0.012783269950441545,2007-08-24,2007-08-26,2 days
99,-1,183,186,667.648,662.122,5.526000000000067,0.008276816526073705,2007-08-26,2007-08-29,3 days
100,1,186,187,662.122,666.046,3.924000000000092,0.005926400270645171,2007-08-29,2007-08-30,1 days
101,-1,187,188,666.046,665.204,0.8420000000000982,0.0012641769487393706,2007-08-30,2007-08-31,1 days
102,1,188,189,665.204,672.348,7.1440000000000055,0.010739562600345254,2007-08-31,2007-09-02,2 days
103,-1,189,191,672.348,671.546,0.8019999999999072,0.001192834663001796,2007-09-02,2007-09-04,2 days
104,1,191,195,671.546,700.248,28.701999999999998,0.0427401845889932,2007-09-04,2007-09-09,5 days
105,-1,195,196,700.248,700.3,-0.05199999999990723,-7.42594052391965e-05,2007-09-09,2007-09-10,1 days
106,1,196,199,700.3,711.026,10.725999999999999,0.015316293017278326,2007-09-10,2007-09-13,3 days
107,-1,199,200,711.026,706.036,4.990000000000009,0.007018027470162891,2007-09-13,2007-09-14,1 days
108,1,200,204,706.036,723.303,17.267000000000053,0.024456260020735643,2007-09-14,2007-09-19,5 days
