,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,4,1528.728,1569.145,40.416999999999916,0.026438319962740264,2020-01-03,2020-01-06,3 days
1,-1,4,5,1569.145,1563.695,5.4500000000000455,0.0034732290514898345,2020-01-06,2020-01-07,1 days
2,1,5,6,1563.695,1594.935,31.24000000000001,0.01997832058042004,2020-01-07,2020-01-08,1 days
3,-1,6,8,1594.935,1552.665,42.26999999999998,0.026502647443312766,2020-01-08,2020-01-10,2 days
4,1,8,9,1552.665,1561.318,8.65300000000002,0.005572998682909613,2020-01-10,2020-01-12,2 days
5,-1,9,11,1561.318,1545.175,16.14300000000003,0.010339341505061772,2020-01-12,2020-01-14,2 days
6,1,11,13,1545.175,1556.245,11.069999999999936,0.007164237060527157,2020-01-14,2020-01-16,2 days
7,-1,13,14,1556.245,1552.185,4.059999999999945,0.0026088437231926997,2020-01-16,2020-01-17,1 days
8,1,14,17,1552.185,1561.185,9.0,0.005798277911460259,2020-01-17,2020-01-21,4 days
9,-1,17,18,1561.185,1556.545,4.639999999999873,0.00297210132047121,2020-01-21,2020-01-22,1 days
10,1,18,19,1556.545,1561.365,4.819999999999936,0.0030966017686606673,2020-01-22,2020-01-23,1 days
11,-1,19,20,1561.365,1560.865,0.5,0.0003202326169730041,2020-01-23,2020-01-24,1 days
12,1,20,22,1560.865,1582.655,21.789999999999964,0.013960207961611015,2020-01-24,2020-01-27,3 days
13,-1,22,24,1582.655,1568.365,14.289999999999964,0.009029131427885417,2020-01-27,2020-01-29,2 days
14,1,24,25,1568.365,1576.995,8.629999999999882,0.005502545644668011,2020-01-29,2020-01-30,1 days
15,-1,25,26,1576.995,1575.105,1.8899999999998727,0.0011984819228976207,2020-01-30,2020-01-31,1 days
16,1,26,28,1575.105,1589.395,14.289999999999964,0.00907241104561285,2020-01-31,2020-02-03,3 days
17,-1,28,30,1589.395,1554.028,35.36699999999996,0.02225186313031058,2020-02-03,2020-02-05,2 days
18,1,30,34,1554.028,1574.745,20.71699999999987,0.01333116263027434,2020-02-05,2020-02-10,5 days
19,-1,34,36,1574.745,1566.988,7.7569999999998345,0.004925876888003944,2020-02-10,2020-02-12,2 days
20,1,36,39,1566.988,1581.858,14.86999999999989,0.009489542995862132,2020-02-12,2020-02-16,4 days
21,-1,39,40,1581.858,1582.968,-1.1100000000001273,-0.0007017064742853574,2020-02-16,2020-02-17,1 days
22,1,40,46,1582.968,1665.475,82.50699999999983,0.05212171060943738,2020-02-17,2020-02-24,7 days
23,-1,46,48,1665.475,1639.755,25.7199999999998,0.015443041774868882,2020-02-24,2020-02-26,2 days
24,1,48,50,1639.755,1645.628,5.87299999999982,0.00358163262194644,2020-02-26,2020-02-28,2 days
25,-1,50,52,1645.628,1584.805,60.822999999999865,0.03696035799099184,2020-02-28,2020-03-02,3 days
26,1,52,54,1584.805,1645.798,60.99299999999994,0.03848612289840081,2020-03-02,2020-03-04,2 days
27,-1,54,55,1645.798,1636.508,9.289999999999964,0.005644678143976289,2020-03-04,2020-03-05,1 days
28,1,55,56,1636.508,1674.518,38.00999999999999,0.023226284258922147,2020-03-05,2020-03-06,1 days
29,-1,56,57,1674.518,1694.895,-20.376999999999953,-0.012168874864289192,2020-03-06,2020-03-08,2 days
30,1,57,58,1694.895,1700.048,5.15300000000002,0.003040306331660636,2020-03-08,2020-03-09,1 days
31,-1,58,63,1700.048,1567.348,132.70000000000005,0.07805661957780019,2020-03-09,2020-03-15,6 days
32,1,63,64,1567.348,1557.908,-9.440000000000055,-0.006022912588652951,2020-03-15,2020-03-16,1 days
33,-1,64,65,1557.908,1507.155,50.75299999999993,0.03257766183882482,2020-03-16,2020-03-17,1 days
34,1,65,66,1507.155,1537.558,30.40300000000002,0.020172444108270238,2020-03-17,2020-03-18,1 days
35,-1,66,68,1537.558,1471.228,66.32999999999993,0.04313983602569782,2020-03-18,2020-03-20,2 days
36,1,68,69,1471.228,1503.768,32.539999999999964,0.022117577968880475,2020-03-20,2020-03-22,2 days
