,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,4,1518.605,1520.555,1.9500000000000455,0.0012840732119281384,2020-01-02 01:00:00,2020-01-02 03:00:00,0 days 02:00:00
1,-1,4,6,1520.555,1519.425,1.1300000000001091,0.0007431497052063918,2020-01-02 03:00:00,2020-01-02 05:00:00,0 days 02:00:00
2,1,6,8,1519.425,1520.945,1.5199999999999818,0.0010003784326306775,2020-01-02 05:00:00,2020-01-02 07:00:00,0 days 02:00:00
3,-1,8,9,1520.945,1519.135,1.8099999999999454,0.0011900496073165012,2020-01-02 07:00:00,2020-01-02 08:00:00,0 days 01:00:00
4,1,9,10,1519.135,1520.758,1.6230000000000473,0.001068371145421576,2020-01-02 08:00:00,2020-01-02 09:00:00,0 days 01:00:00
5,-1,10,11,1520.758,1520.655,0.10300000000006548,6.772938232124659e-05,2020-01-02 09:00:00,2020-01-02 10:00:00,0 days 01:00:00
6,1,11,15,1520.655,1528.008,7.3530000000000655,0.00483541631731077,2020-01-02 10:00:00,2020-01-02 14:00:00,0 days 04:00:00
7,-1,15,16,1528.008,1526.245,1.7630000000001473,0.0011537897707343259,2020-01-02 14:00:00,2020-01-02 15:00:00,0 days 01:00:00
8,1,16,17,1526.245,1529.115,2.8700000000001182,0.00188043204072752,2020-01-02 15:00:00,2020-01-02 16:00:00,0 days 01:00:00
9,-1,17,19,1529.115,1525.205,3.910000000000082,0.002557034624603216,2020-01-02 16:00:00,2020-01-02 18:00:00,0 days 02:00:00
10,1,19,23,1525.205,1528.568,3.3630000000000564,0.002204949498592068,2020-01-02 18:00:00,2020-01-02 23:00:00,0 days 05:00:00
11,-1,23,24,1528.568,1528.728,-0.16000000000008185,-0.000104673131977151,2020-01-02 23:00:00,2020-01-03 00:00:00,0 days 01:00:00
12,1,24,30,1528.728,1541.398,12.669999999999845,0.008287936114207195,2020-01-03 00:00:00,2020-01-03 06:00:00,0 days 06:00:00
13,-1,30,31,1541.398,1541.218,0.1799999999998363,0.00011677710753477122,2020-01-03 06:00:00,2020-01-03 07:00:00,0 days 01:00:00
14,1,31,36,1541.218,1549.318,8.099999999999909,0.005255583570915823,2020-01-03 07:00:00,2020-01-03 12:00:00,0 days 05:00:00
15,-1,36,39,1549.318,1545.948,3.369999999999891,0.0021751506146574506,2020-01-03 12:00:00,2020-01-03 15:00:00,0 days 03:00:00
16,1,39,40,1545.948,1548.808,2.8599999999999,0.0018499975419612458,2020-01-03 15:00:00,2020-01-03 16:00:00,0 days 01:00:00
17,-1,40,41,1548.808,1548.148,0.6600000000000819,0.00042613416253023395,2020-01-03 16:00:00,2020-01-03 17:00:00,0 days 01:00:00
18,1,41,43,1548.148,1549.445,1.2970000000000255,0.0008377751997872274,2020-01-03 17:00:00,2020-01-03 19:00:00,0 days 02:00:00
19,-1,43,44,1549.445,1547.775,1.6699999999998454,0.00107780527866419,2020-01-03 19:00:00,2020-01-03 20:00:00,0 days 01:00:00
20,1,44,49,1547.775,1577.678,29.90300000000002,0.01931999160084641,2020-01-03 20:00:00,2020-01-06 02:00:00,2 days 06:00:00
21,-1,49,50,1577.678,1577.475,0.2030000000002019,0.00012867010885631025,2020-01-06 02:00:00,2020-01-06 03:00:00,0 days 01:00:00
22,1,50,51,1577.475,1578.045,0.5700000000001637,0.00036133694670281713,2020-01-06 03:00:00,2020-01-06 04:00:00,0 days 01:00:00
23,-1,51,55,1578.045,1574.165,3.880000000000109,0.0024587385023875363,2020-01-06 04:00:00,2020-01-06 08:00:00,0 days 04:00:00
24,1,55,59,1574.165,1578.765,4.600000000000136,0.0029221841420690176,2020-01-06 08:00:00,2020-01-06 12:00:00,0 days 04:00:00
25,-1,59,63,1578.765,1564.258,14.507000000000062,0.009188827976297942,2020-01-06 12:00:00,2020-01-06 16:00:00,0 days 04:00:00
26,1,63,64,1564.258,1564.688,0.43000000000006366,0.0002748907149587865,2020-01-06 16:00:00,2020-01-06 17:00:00,0 days 01:00:00
27,-1,64,65,1564.688,1564.475,0.2130000000001928,0.0001361293753132653,2020-01-06 17:00:00,2020-01-06 18:00:00,0 days 01:00:00
28,1,65,66,1564.475,1566.478,2.0030000000001564,0.001280301698652897,2020-01-06 18:00:00,2020-01-06 19:00:00,0 days 01:00:00
29,-1,66,67,1566.478,1564.795,1.6829999999999927,0.00107438470249821,2020-01-06 19:00:00,2020-01-06 20:00:00,0 days 01:00:00
30,1,67,68,1564.795,1565.508,0.7129999999999654,0.00045565074019271457,2020-01-06 20:00:00,2020-01-06 21:00:00,0 days 01:00:00
31,-1,68,70,1565.508,1563.695,1.8130000000001019,0.0011580905367459815,2020-01-06 21:00:00,2020-01-07 00:00:00,0 days 03:00:00
32,1,70,71,1563.695,1564.235,0.5399999999999636,0.00034533588711349594,2020-01-07 00:00:00,2020-01-07 01:00:00,0 days 01:00:00
33,-1,71,72,1564.235,1557.825,6.4099999999998545,0.004097849747640159,2020-01-07 01:00:00,2020-01-07 02:00:00,0 days 01:00:00
34,1,72,78,1557.825,1569.635,11.809999999999945,0.007581082599136479,2020-01-07 02:00:00,2020-01-07 08:00:00,0 days 06:00:00
35,-1,78,79,1569.635,1564.845,4.789999999999964,0.0030516648775033017,2020-01-07 08:00:00,2020-01-07 09:00:00,0 days 01:00:00
36,1,79,80,1564.845,1566.095,1.25,0.0007988011592201527,2020-01-07 09:00:00,2020-01-07 10:00:00,0 days 01:00:00
37,-1,80,81,1566.095,1565.585,0.5099999999999909,0.000325650742771022,2020-01-07 10:00:00,2020-01-07 11:00:00,0 days 01:00:00
38,1,81,82,1565.585,1567.548,1.9629999999999654,0.0012538444095977486,2020-01-07 11:00:00,2020-01-07 12:00:00,0 days 01:00:00
39,-1,82,83,1567.548,1565.135,2.413000000000011,0.0015393468015014733,2020-01-07 12:00:00,2020-01-07 13:00:00,0 days 01:00:00
40,1,83,85,1565.135,1568.885,3.75,0.002395959453976859,2020-01-07 13:00:00,2020-01-07 15:00:00,0 days 02:00:00
41,-1,85,86,1568.885,1568.498,0.3869999999999436,0.00024667199954109265,2020-01-07 15:00:00,2020-01-07 16:00:00,0 days 01:00:00
42,1,86,89,1568.498,1572.298,3.7999999999999545,0.0024226999333119004,2020-01-07 16:00:00,2020-01-07 19:00:00,0 days 03:00:00
43,-1,89,90,1572.298,1571.185,1.1130000000000564,0.0007078810759792997,2020-01-07 19:00:00,2020-01-07 20:00:00,0 days 01:00:00
