,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-1,2,3,1519.588,1519.328,0.2599999999999909,0.0001710990084153874,2020-01-01 23:30:00,2020-01-01 23:45:00,0 days 00:15:00
1,1,3,5,1519.328,1519.025,-0.3029999999998836,-0.0001994302744370291,2020-01-01 23:45:00,2020-01-02 00:15:00,0 days 00:30:00
2,-1,5,7,1519.025,1518.408,0.6170000000001892,0.0004061815967479898,2020-01-02 00:15:00,2020-01-02 00:45:00,0 days 00:30:00
3,1,7,9,1518.408,1519.125,0.7170000000000982,0.0004722050990249027,2020-01-02 00:45:00,2020-01-02 01:15:00,0 days 00:30:00
4,-1,9,11,1519.125,1519.608,-0.48299999999994725,-0.00031794618612690506,2020-01-02 01:15:00,2020-01-02 01:45:00,0 days 00:30:00
5,1,11,15,1519.608,1520.685,1.0769999999999982,0.0007087354107111477,2020-01-02 01:45:00,2020-01-02 02:45:00,0 days 01:00:00
6,-1,15,20,1520.685,1520.275,0.4099999999998545,0.00026961533782465796,2020-01-02 02:45:00,2020-01-02 04:00:00,0 days 01:15:00
7,1,20,22,1520.275,1519.795,-0.4800000000000182,-0.00031573235105486486,2020-01-02 04:00:00,2020-01-02 04:30:00,0 days 00:30:00
8,-1,22,24,1519.795,1519.425,0.37000000000011823,0.00024345388687296854,2020-01-02 04:30:00,2020-01-02 05:00:00,0 days 00:30:00
9,1,24,25,1519.425,1519.308,-0.1169999999999618,-7.70028135642642e-05,2020-01-02 05:00:00,2020-01-02 05:15:00,0 days 00:15:00
10,-1,25,26,1519.308,1519.508,-0.20000000000004547,-0.00013163887769951366,2020-01-02 05:15:00,2020-01-02 05:30:00,0 days 00:15:00
11,1,26,27,1519.508,1519.535,0.027000000000043656,1.776890941007636e-05,2020-01-02 05:30:00,2020-01-02 05:45:00,0 days 00:15:00
12,-1,27,32,1519.535,1520.945,-1.4099999999998545,-0.0009279154478178953,2020-01-02 05:45:00,2020-01-02 07:00:00,0 days 01:15:00
13,1,32,39,1520.945,1520.425,-0.5199999999999818,-0.0003418927048643994,2020-01-02 07:00:00,2020-01-02 08:45:00,0 days 01:45:00
14,-1,39,41,1520.425,1519.995,0.43000000000006366,0.000282815660095026,2020-01-02 08:45:00,2020-01-02 09:15:00,0 days 00:30:00
