,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,16,635.502075,635.902,0.39992500000005293,0.0006293055770116851,2007-01-01 02:00:00,2007-01-01 16:00:00,0 days 14:00:00
1,-1,16,18,635.7748196000001,635.963,-0.18818039999985103,-0.00029598592803381507,2007-01-01 16:00:00,2007-01-01 18:00:00,0 days 02:00:00
2,1,18,20,636.0901925999999,635.891,-0.19919259999994665,-0.0003131515032258614,2007-01-01 18:00:00,2007-01-01 20:00:00,0 days 02:00:00
3,-1,20,21,635.7638218,635.43,0.3338218000000097,0.0005250720291929412,2007-01-01 20:00:00,2007-01-01 21:00:00,0 days 01:00:00
4,1,21,25,635.5570859999999,636.093,0.535914000000048,0.0008432192981639997,2007-01-01 21:00:00,2007-01-02 01:00:00,0 days 04:00:00
5,-1,25,26,635.9657814,636.376,-0.4102186000000074,-0.0006450325033164894,2007-01-02 01:00:00,2007-01-02 02:00:00,0 days 01:00:00
6,1,26,27,636.5032752,636.868,0.36472480000009,0.0005730132337269378,2007-01-02 02:00:00,2007-01-02 03:00:00,0 days 01:00:00
7,-1,27,29,636.7406264000001,636.981,-0.2403735999998844,-0.00037750630324762113,2007-01-02 03:00:00,2007-01-02 05:00:00,0 days 02:00:00
8,1,29,31,637.1083962,637.212,0.10360379999997349,0.00016261565632769148,2007-01-02 05:00:00,2007-01-02 07:00:00,0 days 02:00:00
9,-1,31,36,637.0845576,639.261,-2.176442399999928,-0.0034162535789581394,2007-01-02 07:00:00,2007-01-02 12:00:00,0 days 05:00:00
10,1,36,39,639.3888522,639.74,0.3511478000000352,0.0005491928718992511,2007-01-02 12:00:00,2007-01-02 15:00:00,0 days 03:00:00
11,-1,39,43,639.6120520000001,639.421,0.19105200000001332,0.00029869981249197597,2007-01-02 15:00:00,2007-01-02 19:00:00,0 days 04:00:00
12,1,43,46,639.5488842000001,639.405,-0.14388420000011592,-0.00022497764213924576,2007-01-02 19:00:00,2007-01-02 22:00:00,0 days 03:00:00
13,-1,46,47,639.277119,639.909,-0.6318810000000212,-0.0009884304962899382,2007-01-02 22:00:00,2007-01-02 23:00:00,0 days 01:00:00
14,1,47,49,640.0369817999999,639.379,-0.6579817999999023,-0.0010280371583364367,2007-01-02 23:00:00,2007-01-03 01:00:00,0 days 02:00:00
15,-1,49,50,639.2511242,639.258,-0.006875799999988885,-1.0756023321123465e-05,2007-01-03 01:00:00,2007-01-03 02:00:00,0 days 01:00:00
16,1,50,52,639.3858516,639.739,0.35314840000000913,0.0005523243892811003,2007-01-03 02:00:00,2007-01-03 04:00:00,0 days 02:00:00
17,-1,52,53,639.6110522,639.196,0.415052199999991,0.000648913427265474,2007-01-03 04:00:00,2007-01-03 05:00:00,0 days 01:00:00
18,1,53,55,639.3238392000001,640.421,1.0971607999999833,0.001716126840151766,2007-01-03 05:00:00,2007-01-03 07:00:00,0 days 02:00:00
19,-1,55,56,640.2929158000001,639.569,0.7239158000000998,0.0011306009829823438,2007-01-03 07:00:00,2007-01-03 08:00:00,0 days 01:00:00
20,1,56,62,639.6969138,636.493,-3.2039137999998957,-0.005008487192735722,2007-01-03 08:00:00,2007-01-03 14:00:00,0 days 06:00:00
21,-1,62,64,636.3657014,637.683,-1.3172985999999582,-0.0020700339397643486,2007-01-03 14:00:00,2007-01-03 16:00:00,0 days 02:00:00
22,1,64,79,637.8105366,627.936,-9.874536599999942,-0.015481927678144825,2007-01-03 16:00:00,2007-01-04 07:00:00,0 days 15:00:00
23,-1,79,80,627.8104128,628.916,-1.105587200000059,-0.001761020807331315,2007-01-04 07:00:00,2007-01-04 08:00:00,0 days 01:00:00
24,1,80,84,629.0417832,626.772,-2.269783200000006,-0.0036083186532592793,2007-01-04 08:00:00,2007-01-04 12:00:00,0 days 04:00:00
25,-1,84,86,626.6466456,626.951,-0.3043543999999656,-0.0004856874318837079,2007-01-04 12:00:00,2007-01-04 14:00:00,0 days 02:00:00
26,1,86,103,627.0763902,623.288,-3.7883901999999807,-0.0060413535881835845,2007-01-04 14:00:00,2007-01-05 07:00:00,0 days 17:00:00
27,-1,103,104,623.1633424,623.648,-0.48465759999999136,-0.0007777376604558572,2007-01-05 07:00:00,2007-01-05 08:00:00,0 days 01:00:00
28,1,104,106,623.7727296,623.087,-0.6857296000000588,-0.0010993260324794196,2007-01-05 08:00:00,2007-01-05 10:00:00,0 days 02:00:00
29,-1,106,109,622.9623826,624.129,-1.1666174000000638,-0.001872693171505846,2007-01-05 10:00:00,2007-01-05 13:00:00,0 days 03:00:00
30,1,109,124,624.2538258,608.366,-15.887825799999973,-0.02545090657576543,2007-01-05 13:00:00,2007-01-08 04:00:00,2 days 15:00:00
31,-1,124,128,608.2443268,606.907,1.3373267999999143,0.002198667116281472,2007-01-08 04:00:00,2007-01-08 08:00:00,0 days 04:00:00
32,1,128,135,607.0283814000001,608.737,1.7086185999999088,0.002814726052938976,2007-01-08 08:00:00,2007-01-08 15:00:00,0 days 07:00:00
33,-1,135,136,608.6152526,608.661,-0.04574739999998201,-7.516637120841274e-05,2007-01-08 15:00:00,2007-01-08 16:00:00,0 days 01:00:00
34,1,136,140,608.7827321999999,608.21,-0.5727321999999049,-0.0009407825973154482,2007-01-08 16:00:00,2007-01-08 20:00:00,0 days 04:00:00
35,-1,140,154,608.0883580000001,611.088,-2.9996419999998807,-0.004932904832885887,2007-01-08 20:00:00,2007-01-09 10:00:00,0 days 14:00:00
36,1,154,159,611.2102176,608.974,-2.236217599999918,-0.003658671821261006,2007-01-09 10:00:00,2007-01-09 15:00:00,0 days 05:00:00
37,-1,159,160,608.8522052000001,607.805,1.0472052000001213,0.0017199661774339736,2007-01-09 15:00:00,2007-01-09 16:00:00,0 days 01:00:00
38,1,160,162,607.926561,611.361,3.4344389999999976,0.005649430737736827,2007-01-09 16:00:00,2007-01-09 18:00:00,0 days 02:00:00
39,-1,162,164,611.2387278,611.681,-0.44227220000004763,-0.0007235670448957343,2007-01-09 18:00:00,2007-01-09 20:00:00,0 days 02:00:00
40,1,164,165,611.8033362,612.678,0.8746638000000075,0.001429648627666369,2007-01-09 20:00:00,2007-01-09 21:00:00,0 days 01:00:00
41,-1,165,169,612.5554644,610.783,1.7724643999999898,0.002893557405019842,2007-01-09 21:00:00,2007-01-10 01:00:00,0 days 04:00:00
42,1,169,172,610.9051566,612.057,1.1518433999999615,0.0018854700890242881,2007-01-10 01:00:00,2007-01-10 04:00:00,0 days 03:00:00
43,-1,172,173,611.9345886,611.128,0.8065885999999409,0.0013180961086792786,2007-01-10 04:00:00,2007-01-10 05:00:00,0 days 01:00:00
44,1,173,180,611.2502256,611.1,-0.15022559999999885,-0.0002457677620528731,2007-01-10 05:00:00,2007-01-10 12:00:00,0 days 07:00:00
45,-1,180,182,610.97778,610.555,0.4227800000001025,0.0006919727915475349,2007-01-10 12:00:00,2007-01-10 14:00:00,0 days 02:00:00
46,1,182,185,610.677111,611.599,0.9218890000000783,0.001509617739709368,2007-01-10 14:00:00,2007-01-10 17:00:00,0 days 03:00:00
47,-1,185,189,611.4766802,609.462,2.0146802000000434,0.0032947784686426784,2007-01-10 17:00:00,2007-01-10 21:00:00,0 days 04:00:00
48,1,189,192,609.5838924,610.73,1.1461076000000503,0.001880147448594327,2007-01-10 21:00:00,2007-01-11 00:00:00,0 days 03:00:00
49,-1,192,193,610.607854,609.387,1.2208540000000312,0.0019994076263553096,2007-01-11 00:00:00,2007-01-11 01:00:00,0 days 01:00:00
50,1,193,199,609.5088774,610.777,1.2681226000000834,0.0020805646103294606,2007-01-11 01:00:00,2007-01-11 07:00:00,0 days 06:00:00
51,-1,199,203,610.6548446,611.971,-1.316155399999957,-0.002155318035447884,2007-01-11 07:00:00,2007-01-11 11:00:00,0 days 04:00:00
52,1,203,205,612.0933942,613.013,0.9196057999999994,0.0015023945834309327,2007-01-11 11:00:00,2007-01-11 13:00:00,0 days 02:00:00
53,-1,205,206,612.8903974000001,612.068,0.8223974000001135,0.001341834369552708,2007-01-11 13:00:00,2007-01-11 14:00:00,0 days 01:00:00
54,1,206,208,612.1904135999999,612.752,0.5615864000000101,0.0009173394217292241,2007-01-11 14:00:00,2007-01-11 16:00:00,0 days 02:00:00
55,-1,208,210,612.6294495999999,611.302,1.327449599999909,0.0021668067065118146,2007-01-11 16:00:00,2007-01-11 18:00:00,0 days 02:00:00
56,1,210,220,611.4242604,610.704,-0.7202604000000292,-0.0011780042871194496,2007-01-11 18:00:00,2007-01-12 04:00:00,0 days 10:00:00
