,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,4,1520.5790550000002,1521.955,1.3759449999997742,0.0009048822522415012,2020-01-02 04:00:00,2020-01-02 12:00:00,0 days 08:00:00
1,-1,4,6,1521.650609,1526.708,-5.057391000000052,-0.003323621710586755,2020-01-02 12:00:00,2020-01-02 20:00:00,0 days 08:00:00
2,1,6,7,1527.0133416,1528.728,1.714658399999962,0.001122883705916733,2020-01-02 20:00:00,2020-01-03 00:00:00,0 days 04:00:00
3,-1,7,18,1528.4222544000002,1564.258,-35.83574559999988,-0.023446233851173393,2020-01-03 00:00:00,2020-01-06 16:00:00,3 days 16:00:00
4,1,18,22,1564.5708516,1569.635,5.064148400000022,0.003236765145420595,2020-01-06 16:00:00,2020-01-07 08:00:00,0 days 16:00:00
5,-1,22,23,1569.321073,1567.548,1.7730730000000676,0.001129834442744393,2020-01-07 08:00:00,2020-01-07 12:00:00,0 days 04:00:00
6,1,23,25,1567.8615095999999,1571.185,3.3234904000000824,0.0021197601826759005,2020-01-07 12:00:00,2020-01-07 20:00:00,0 days 08:00:00
7,-1,25,27,1570.870763,1590.668,-19.797236999999996,-0.012602715300520151,2020-01-07 20:00:00,2020-01-08 04:00:00,0 days 08:00:00
8,1,27,44,1590.9861336,1561.318,-29.66813359999992,-0.018647638073921113,2020-01-08 04:00:00,2020-01-12 20:00:00,4 days 16:00:00
9,-1,44,46,1561.0057364,1556.705,4.300736400000005,0.002755106083029757,2020-01-12 20:00:00,2020-01-13 04:00:00,0 days 08:00:00
10,1,46,62,1557.0163409999998,1555.338,-1.6783409999998185,-0.0010779212496394575,2020-01-13 04:00:00,2020-01-15 20:00:00,2 days 16:00:00
11,-1,62,65,1555.0269324,1553.445,1.5819324000001416,0.0010173022518386032,2020-01-15 20:00:00,2020-01-16 08:00:00,0 days 12:00:00
12,1,65,66,1553.7556889999998,1556.208,2.452311000000236,0.0015783118397323381,2020-01-16 08:00:00,2020-01-16 12:00:00,0 days 04:00:00
13,-1,66,67,1555.8967584000002,1550.695,5.201758400000244,0.0033432542178116753,2020-01-16 12:00:00,2020-01-16 16:00:00,0 days 04:00:00
14,1,67,72,1551.0051389999999,1556.455,5.449861000000055,0.0035137607625941314,2020-01-16 16:00:00,2020-01-17 12:00:00,0 days 20:00:00
15,-1,72,73,1556.143709,1556.195,-0.05129099999999198,-3.296032346078448e-05,2020-01-17 12:00:00,2020-01-17 16:00:00,0 days 04:00:00
16,1,73,74,1556.5062389999998,1559.618,3.111761000000115,0.001999195969814682,2020-01-17 16:00:00,2020-01-17 20:00:00,0 days 04:00:00
17,-1,74,75,1559.3060764,1557.128,2.178076400000009,0.0013968241597753783,2020-01-17 20:00:00,2020-01-19 20:00:00,2 days 00:00:00
18,1,75,78,1557.4394255999998,1561.468,4.028574400000252,0.00258666522355977,2020-01-19 20:00:00,2020-01-20 08:00:00,0 days 12:00:00
19,-1,78,79,1561.1557064,1560.055,1.1007064000000355,0.0007050586917677348,2020-01-20 08:00:00,2020-01-20 12:00:00,0 days 04:00:00
20,1,79,80,1560.367011,1560.835,0.46798899999998866,0.0002999223879387447,2020-01-20 12:00:00,2020-01-20 16:00:00,0 days 04:00:00
21,-1,80,81,1560.522833,1560.708,-0.18516700000009223,-0.00011865702704527692,2020-01-20 16:00:00,2020-01-20 20:00:00,0 days 04:00:00
22,1,81,82,1561.0201416,1561.185,0.16485839999995733,0.00010560939965253979,2020-01-20 20:00:00,2020-01-21 00:00:00,0 days 04:00:00
23,-1,82,84,1560.872763,1559.375,1.4977630000000772,0.0009595676441437329,2020-01-21 00:00:00,2020-01-21 08:00:00,0 days 08:00:00
24,1,84,98,1559.6868749999999,1562.628,2.9411250000000564,0.0018857150413604806,2020-01-21 08:00:00,2020-01-23 16:00:00,2 days 08:00:00
25,-1,98,99,1562.3154743999999,1562.775,-0.4595256000002337,-0.00029413111982190543,2020-01-23 16:00:00,2020-01-23 20:00:00,0 days 04:00:00
26,1,99,104,1563.087555,1569.978,6.890445,0.004408227151421418,2020-01-23 20:00:00,2020-01-24 16:00:00,0 days 20:00:00
27,-1,104,108,1569.6640044,1579.345,-9.68099559999996,-0.006167559154610647,2020-01-24 16:00:00,2020-01-27 04:00:00,2 days 12:00:00
28,1,108,110,1579.660869,1584.338,4.6771309999999175,0.002960845009068791,2020-01-27 04:00:00,2020-01-27 12:00:00,0 days 08:00:00
29,-1,110,112,1584.0211324,1580.848,3.173132399999986,0.0020032134263210377,2020-01-27 12:00:00,2020-01-27 20:00:00,0 days 08:00:00
30,1,112,126,1581.1641696,1580.088,-1.0761695999999574,-0.0006806185092546047,2020-01-27 20:00:00,2020-01-30 04:00:00,2 days 08:00:00
31,-1,126,130,1579.7719824,1579.715,0.056982400000151756,3.6070015568712144e-05,2020-01-30 04:00:00,2020-01-30 20:00:00,0 days 16:00:00
32,1,130,134,1580.030943,1580.575,0.5440570000000662,0.000344333129936647,2020-01-30 20:00:00,2020-01-31 12:00:00,0 days 16:00:00
33,-1,134,138,1580.2588850000002,1589.395,-9.13611499999979,-0.0057814039754631175,2020-01-31 12:00:00,2020-02-03 00:00:00,2 days 12:00:00
34,1,138,161,1589.712879,1566.948,-22.764878999999837,-0.014320119878704074,2020-02-03 00:00:00,2020-02-06 20:00:00,3 days 20:00:00
35,-1,161,166,1566.6346104000002,1566.215,0.41961040000023786,0.0002678419059649606,2020-02-06 20:00:00,2020-02-07 16:00:00,0 days 20:00:00
36,1,166,167,1566.528243,1572.048,5.519757000000027,0.0035235604749961347,2020-02-07 16:00:00,2020-02-07 20:00:00,0 days 04:00:00
37,-1,167,168,1571.7335904000001,1571.248,0.4855904000000919,0.0003089521042026755,2020-02-07 20:00:00,2020-02-09 20:00:00,2 days 00:00:00
38,1,168,169,1571.5622496,1574.745,3.1827503999998044,0.0020252143373957754,2020-02-09 20:00:00,2020-02-10 00:00:00,0 days 04:00:00
39,-1,169,170,1574.4300509999998,1570.725,3.705050999999912,0.0023532649149110574,2020-02-10 00:00:00,2020-02-10 04:00:00,0 days 04:00:00
40,1,170,173,1571.039145,1574.115,3.075855000000047,0.001957847460255291,2020-02-10 04:00:00,2020-02-10 16:00:00,0 days 12:00:00
41,-1,173,175,1573.800177,1571.898,1.9021770000001652,0.0012086521705862996,2020-02-10 16:00:00,2020-02-11 00:00:00,0 days 08:00:00
42,1,175,188,1572.2123795999998,1573.995,1.7826204000000416,0.0011338292606839495,2020-02-11 00:00:00,2020-02-13 04:00:00,2 days 04:00:00
43,-1,188,190,1573.680201,1573.955,-0.27479900000003,-0.00017462188303918325,2020-02-13 04:00:00,2020-02-13 12:00:00,0 days 08:00:00
44,1,190,191,1574.269791,1575.885,1.6152090000000499,0.0010260052052284419,2020-02-13 12:00:00,2020-02-13 16:00:00,0 days 04:00:00
45,-1,191,194,1575.569823,1574.198,1.3718229999999494,0.0008706837234213616,2020-02-13 16:00:00,2020-02-14 04:00:00,0 days 12:00:00
46,1,194,196,1574.5128396,1576.285,1.7721604000000752,0.0011255293417933299,2020-02-14 04:00:00,2020-02-14 12:00:00,0 days 08:00:00
47,-1,196,202,1575.969743,1580.075,-4.105256999999938,-0.00260490851314521,2020-02-14 12:00:00,2020-02-17 08:00:00,2 days 20:00:00
48,1,202,206,1580.391015,1584.165,3.773985000000039,0.002388007122401836,2020-02-17 08:00:00,2020-02-18 00:00:00,0 days 16:00:00
49,-1,206,236,1583.848167,1653.635,-69.78683299999989,-0.04406156755049606,2020-02-18 00:00:00,2020-02-24 20:00:00,6 days 20:00:00
50,1,236,238,1653.965727,1656.568,2.6022729999999683,0.00157335364180744,2020-02-24 20:00:00,2020-02-25 04:00:00,0 days 08:00:00
51,-1,238,239,1656.2366864,1640.655,15.58168640000008,0.0094078862809569,2020-02-25 04:00:00,2020-02-25 08:00:00,0 days 04:00:00
52,1,239,241,1640.983131,1654.595,13.61186900000007,0.008294947548732612,2020-02-25 08:00:00,2020-02-25 16:00:00,0 days 08:00:00
53,-1,241,242,1654.264081,1650.045,4.21908099999996,0.002550427739112515,2020-02-25 16:00:00,2020-02-25 20:00:00,0 days 04:00:00
54,1,242,250,1650.375009,1650.748,0.37299099999995633,0.00022600378578552238,2020-02-25 20:00:00,2020-02-27 04:00:00,1 days 08:00:00
55,-1,250,251,1650.4178504000001,1648.065,2.3528504000000794,0.001425608914390919,2020-02-27 04:00:00,2020-02-27 08:00:00,0 days 04:00:00
56,1,251,272,1648.394613,1633.865,-14.529612999999927,-0.008814402137335753,2020-02-27 08:00:00,2020-03-03 16:00:00,5 days 08:00:00
57,-1,272,273,1633.538227,1626.498,7.040226999999959,0.004309802417620356,2020-03-03 16:00:00,2020-03-03 20:00:00,0 days 04:00:00
58,1,273,274,1626.8232996,1645.798,18.974700400000074,0.011663651734435732,2020-03-03 20:00:00,2020-03-04 00:00:00,0 days 04:00:00
59,-1,274,276,1645.4688404,1636.058,9.410840400000097,0.005719245584566934,2020-03-04 00:00:00,2020-03-04 08:00:00,0 days 08:00:00
60,1,276,277,1636.3852116,1643.908,7.522788399999854,0.004597198964322313,2020-03-04 08:00:00,2020-03-04 12:00:00,0 days 04:00:00
61,-1,277,279,1643.5792184,1640.228,3.3512183999998797,0.0020389758902294997,2020-03-04 12:00:00,2020-03-04 20:00:00,0 days 08:00:00
62,1,279,283,1640.5560456,1647.788,7.23195439999995,0.004408233671379991,2020-03-04 20:00:00,2020-03-05 12:00:00,0 days 16:00:00
63,-1,283,290,1647.4584424,1663.898,-16.439557599999944,-0.009978738872496784,2020-03-05 12:00:00,2020-03-06 16:00:00,1 days 04:00:00
64,1,290,291,1664.2307795999998,1686.658,22.427220400000124,0.013476027889227415,2020-03-06 16:00:00,2020-03-06 20:00:00,0 days 04:00:00
65,-1,291,292,1686.3206684,1694.895,-8.57433160000005,-0.005084638859426116,2020-03-06 20:00:00,2020-03-08 20:00:00,2 days 00:00:00
66,1,292,293,1695.2339789999999,1700.048,4.814021000000139,0.002839738383983992,2020-03-08 20:00:00,2020-03-09 00:00:00,0 days 04:00:00
67,-1,293,294,1699.7079904,1681.345,18.362990399999944,0.01080361479955061,2020-03-09 00:00:00,2020-03-09 04:00:00,0 days 04:00:00
68,1,294,334,1681.681269,1532.365,-149.31626899999992,-0.08878987460494803,2020-03-09 04:00:00,2020-03-17 16:00:00,8 days 12:00:00
69,-1,334,342,1532.0585270000001,1498.058,34.00052700000015,0.022192707654960286,2020-03-17 16:00:00,2020-03-19 00:00:00,1 days 08:00:00
70,1,342,359,1498.3576116,1542.748,44.39038840000012,0.029626030565959693,2020-03-19 00:00:00,2020-03-23 16:00:00,4 days 16:00:00
71,-1,359,374,1542.4394504000002,1605.065,-62.625549599999886,-0.04060162593984429,2020-03-23 16:00:00,2020-03-26 04:00:00,2 days 12:00:00
72,1,374,376,1605.386013,1619.568,14.181986999999936,0.008834004336127244,2020-03-26 04:00:00,2020-03-26 12:00:00,0 days 08:00:00
73,-1,376,379,1619.2440864,1625.748,-6.503913600000033,-0.004016635697253079,2020-03-26 12:00:00,2020-03-27 00:00:00,0 days 12:00:00
74,1,379,380,1626.0731496,1625.048,-1.025149600000077,-0.0006304449466201234,2020-03-27 00:00:00,2020-03-27 04:00:00,0 days 04:00:00
75,-1,380,381,1624.7229904,1621.538,3.1849904000000606,0.0019603282644605757,2020-03-27 04:00:00,2020-03-27 08:00:00,0 days 04:00:00
76,1,381,383,1621.8623076,1624.048,2.1856924000001072,0.0013476436253299084,2020-03-27 08:00:00,2020-03-27 16:00:00,0 days 08:00:00
77,-1,383,387,1623.7231904,1617.078,6.645190400000047,0.004092563584291109,2020-03-27 16:00:00,2020-03-30 04:00:00,2 days 12:00:00
78,1,387,389,1617.4014155999998,1620.138,2.7365844000000834,0.0016919636483592182,2020-03-30 04:00:00,2020-03-30 12:00:00,0 days 08:00:00
79,-1,389,390,1619.8139724,1619.988,-0.1740276000000449,-0.00010743678160896053,2020-03-30 12:00:00,2020-03-30 16:00:00,0 days 04:00:00
80,1,390,391,1620.3119976,1622.448,2.136002400000052,0.001318266113664368,2020-03-30 16:00:00,2020-03-30 20:00:00,0 days 04:00:00
