,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,3,635.437,636.047,0.6100000000000136,0.0009599692809829641,2007-01-01 11:00:00,2007-01-01 11:30:00,0 days 00:30:00
1,-1,3,5,636.047,635.99,0.05700000000001637,8.961601894197369e-05,2007-01-01 11:30:00,2007-01-01 12:30:00,0 days 01:00:00
2,1,5,8,635.99,635.745,-0.24500000000000455,-0.000385226182801679,2007-01-01 12:30:00,2007-01-01 14:00:00,0 days 01:30:00
3,-1,8,9,635.745,635.601,0.14400000000000546,0.00022650591038864132,2007-01-01 14:00:00,2007-01-01 14:30:00,0 days 00:30:00
4,1,9,10,635.601,636.058,0.45699999999999363,0.0007190045327178929,2007-01-01 14:30:00,2007-01-01 15:00:00,0 days 00:30:00
5,-1,10,11,636.058,635.8,0.2580000000000382,0.00040562338654659413,2007-01-01 15:00:00,2007-01-01 15:30:00,0 days 00:30:00
6,1,11,12,635.8,635.902,0.10200000000008913,0.00016042780748670715,2007-01-01 15:30:00,2007-01-01 16:00:00,0 days 00:30:00
7,-1,12,13,635.902,635.976,-0.07399999999995543,-0.00011637013250465067,2007-01-01 16:00:00,2007-01-01 16:30:00,0 days 00:30:00
8,1,13,14,635.976,636.082,0.10599999999999454,0.00016667295621219935,2007-01-01 16:30:00,2007-01-01 17:00:00,0 days 00:30:00
9,-1,14,16,636.082,635.963,0.1190000000000282,0.00018708279750101475,2007-01-01 17:00:00,2007-01-01 18:00:00,0 days 01:00:00
10,1,16,20,635.963,635.891,-0.07200000000000273,-0.00011321413352660681,2007-01-01 18:00:00,2007-01-01 20:00:00,0 days 02:00:00
11,-1,20,21,635.891,635.846,0.04499999999995907,7.076684526119426e-05,2007-01-01 20:00:00,2007-01-01 20:30:00,0 days 00:30:00
12,1,21,24,635.846,635.784,-0.06200000000001182,-9.750788712992176e-05,2007-01-01 20:30:00,2007-01-01 22:00:00,0 days 01:30:00
13,-1,24,25,635.784,635.504,0.2799999999999727,0.00044040114252630325,2007-01-01 22:00:00,2007-01-01 22:30:00,0 days 00:30:00
14,1,25,28,635.504,635.791,0.28700000000003456,0.00045161006067639953,2007-01-01 22:30:00,2007-01-02 00:00:00,0 days 01:30:00
15,-1,28,32,635.791,636.376,-0.5849999999999227,-0.00092011368515732,2007-01-02 00:00:00,2007-01-02 02:00:00,0 days 02:00:00
16,1,32,34,636.376,636.868,0.4920000000000755,0.0007731278363736216,2007-01-02 02:00:00,2007-01-02 03:00:00,0 days 01:00:00
17,-1,34,37,636.868,636.758,0.11000000000001364,0.00017272024972214695,2007-01-02 03:00:00,2007-01-02 04:30:00,0 days 01:30:00
18,1,37,40,636.758,636.761,0.0029999999999290594,4.711366013321339e-06,2007-01-02 04:30:00,2007-01-02 06:00:00,0 days 01:30:00
19,-1,40,45,636.761,637.932,-1.1710000000000491,-0.0018389945364116755,2007-01-02 06:00:00,2007-01-02 08:30:00,0 days 02:30:00
20,1,45,46,637.932,638.748,0.8160000000000309,0.00127913319914974,2007-01-02 08:30:00,2007-01-02 09:00:00,0 days 00:30:00
21,-1,46,52,638.748,639.261,-0.51299999999992,-0.0008031336301639325,2007-01-02 09:00:00,2007-01-02 12:00:00,0 days 03:00:00
22,1,52,54,639.261,639.273,0.012000000000057298,1.8771675418971512e-05,2007-01-02 12:00:00,2007-01-02 13:00:00,0 days 01:00:00
