,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,3,1518.305,1519.185,0.8799999999998818,0.0005795936916495048,2020-01-02 00:00:00,2020-01-02 00:30:00,0 days 00:30:00
1,-1,3,4,1519.185,1518.605,0.5799999999999272,0.00038178365373531253,2020-01-02 00:30:00,2020-01-02 01:00:00,0 days 00:30:00
2,1,4,5,1518.605,1519.935,1.3299999999999272,0.0008758037804432739,2020-01-02 01:00:00,2020-01-02 01:30:00,0 days 00:30:00
3,-1,5,11,1519.935,1519.795,0.13999999999987267,9.210920203817086e-05,2020-01-02 01:30:00,2020-01-02 04:30:00,0 days 03:00:00
4,1,11,14,1519.795,1520.185,0.38999999999987267,0.0002566135564334715,2020-01-02 04:30:00,2020-01-02 06:00:00,0 days 01:30:00
5,-1,14,17,1520.185,1519.548,0.6369999999999436,0.0004190279472563452,2020-01-02 06:00:00,2020-01-02 07:30:00,0 days 01:30:00
6,1,17,20,1519.548,1520.758,1.2100000000000364,0.0007962894229074369,2020-01-02 07:30:00,2020-01-02 09:00:00,0 days 01:30:00
7,-1,20,23,1520.758,1520.395,0.3630000000000564,0.00023869675517085298,2020-01-02 09:00:00,2020-01-02 10:30:00,0 days 01:30:00
8,1,23,24,1520.395,1521.188,0.79300000000012,0.0005215749854479146,2020-01-02 10:30:00,2020-01-02 11:00:00,0 days 00:30:00
9,-1,24,32,1521.188,1526.245,-5.056999999999789,-0.0033243754223670763,2020-01-02 11:00:00,2020-01-02 15:00:00,0 days 04:00:00
10,1,32,33,1526.245,1529.748,3.5030000000001564,0.0022951754141702363,2020-01-02 15:00:00,2020-01-02 15:30:00,0 days 00:30:00
11,-1,33,35,1529.748,1526.895,2.8530000000000655,0.0018650130609747517,2020-01-02 15:30:00,2020-01-02 16:30:00,0 days 01:00:00
12,1,35,38,1526.895,1525.205,-1.6900000000000546,-0.0011068213596875376,2020-01-02 16:30:00,2020-01-02 18:00:00,0 days 01:30:00
13,-1,38,73,1525.205,1546.795,-21.590000000000146,-0.014155474182159233,2020-01-02 18:00:00,2020-01-03 12:30:00,0 days 18:30:00
14,1,73,74,1546.795,1546.358,-0.4370000000001255,-0.0002825196616229597,2020-01-03 12:30:00,2020-01-03 13:00:00,0 days 00:30:00
15,-1,74,75,1546.358,1542.595,3.76299999999992,0.0024334597809820835,2020-01-03 13:00:00,2020-01-03 13:30:00,0 days 00:30:00
16,1,75,76,1542.595,1546.288,3.6929999999999836,0.002394017872481058,2020-01-03 13:30:00,2020-01-03 14:00:00,0 days 00:30:00
17,-1,76,78,1546.288,1545.948,0.33999999999991815,0.00021988141924400573,2020-01-03 14:00:00,2020-01-03 15:00:00,0 days 01:00:00
18,1,78,79,1545.948,1549.618,3.6699999999998454,0.0023739478947544246,2020-01-03 15:00:00,2020-01-03 15:30:00,0 days 00:30:00
19,-1,79,87,1549.618,1547.928,1.6899999999998272,0.0010905913586444216,2020-01-03 15:30:00,2020-01-03 19:30:00,0 days 04:00:00
20,1,87,89,1547.928,1547.628,-0.3000000000001819,-0.00019380746391317594,2020-01-03 19:30:00,2020-01-03 20:30:00,0 days 01:00:00
21,-1,89,109,1547.628,1571.445,-23.817000000000007,-0.015389357132334025,2020-01-03 20:30:00,2020-01-06 07:30:00,2 days 11:00:00
22,1,109,110,1571.445,1574.165,2.7200000000000273,0.001730890995230494,2020-01-06 07:30:00,2020-01-06 08:00:00,0 days 00:30:00
23,-1,110,119,1574.165,1576.535,-2.3700000000001182,-0.0015055600905877764,2020-01-06 08:00:00,2020-01-06 12:30:00,0 days 04:30:00
24,1,119,123,1576.535,1576.058,-0.47700000000008913,-0.0003025622647134796,2020-01-06 12:30:00,2020-01-06 14:30:00,0 days 02:00:00
25,-1,123,124,1576.058,1572.885,3.173000000000002,0.002013250781379927,2020-01-06 14:30:00,2020-01-06 15:00:00,0 days 00:30:00
26,1,124,141,1572.885,1565.365,-7.519999999999982,-0.004781023406034146,2020-01-06 15:00:00,2020-01-07 00:30:00,0 days 09:30:00
27,-1,141,142,1565.365,1564.235,1.1300000000001091,0.0007218763674926576,2020-01-07 00:30:00,2020-01-07 01:00:00,0 days 00:30:00
28,1,142,151,1564.235,1561.078,-3.1569999999999254,-0.0020182389474726614,2020-01-07 01:00:00,2020-01-07 05:30:00,0 days 04:30:00
29,-1,151,154,1561.078,1564.668,-3.589999999999918,-0.00229969290451848,2020-01-07 05:30:00,2020-01-07 07:00:00,0 days 01:30:00
30,1,154,155,1564.668,1567.585,2.9170000000001437,0.001864293255821714,2020-01-07 07:00:00,2020-01-07 07:30:00,0 days 00:30:00
31,-1,155,157,1567.585,1565.648,1.9370000000001255,0.0012356586724165952,2020-01-07 07:30:00,2020-01-07 08:30:00,0 days 01:00:00
32,1,157,160,1565.648,1566.095,0.4470000000001164,0.0002855047877940997,2020-01-07 08:30:00,2020-01-07 10:00:00,0 days 01:30:00
33,-1,160,162,1566.095,1565.585,0.5099999999999909,0.000325650742771022,2020-01-07 10:00:00,2020-01-07 11:00:00,0 days 01:00:00
34,1,162,163,1565.585,1566.515,0.9300000000000637,0.0005940271527895558,2020-01-07 11:00:00,2020-01-07 11:30:00,0 days 00:30:00
35,-1,163,166,1566.515,1565.135,1.3800000000001091,0.0008809363459654218,2020-01-07 11:30:00,2020-01-07 13:00:00,0 days 01:30:00
36,1,166,168,1565.135,1568.085,2.9500000000000455,0.0018848214371285366,2020-01-07 13:00:00,2020-01-07 14:00:00,0 days 01:00:00
37,-1,168,172,1568.085,1568.498,-0.4130000000000109,-0.00026337857960512245,2020-01-07 14:00:00,2020-01-07 16:00:00,0 days 02:00:00
38,1,172,173,1568.498,1569.148,0.6499999999998636,0.00041440919911917007,2020-01-07 16:00:00,2020-01-07 16:30:00,0 days 00:30:00
39,-1,173,179,1569.148,1570.355,-1.2070000000001073,-0.0007692072385778737,2020-01-07 16:30:00,2020-01-07 19:30:00,0 days 03:00:00
40,1,179,180,1570.355,1571.185,0.8299999999999272,0.0005285429090873262,2020-01-07 19:30:00,2020-01-07 20:00:00,0 days 00:30:00
41,-1,180,181,1571.185,1569.888,1.2970000000000255,0.0008254915875597346,2020-01-07 20:00:00,2020-01-07 20:30:00,0 days 00:30:00
42,1,181,182,1569.888,1571.735,1.84699999999998,0.0011765170508979406,2020-01-07 20:30:00,2020-01-07 21:00:00,0 days 00:30:00
43,-1,182,184,1571.735,1575.238,-3.5030000000001564,-0.002228747212475568,2020-01-07 21:00:00,2020-01-07 23:00:00,0 days 02:00:00
44,1,184,185,1575.238,1584.398,9.159999999999854,0.0058149943056222675,2020-01-07 23:00:00,2020-01-07 23:30:00,0 days 00:30:00
45,-1,185,190,1584.398,1593.288,-8.8900000000001,-0.005610963911845346,2020-01-07 23:30:00,2020-01-08 02:00:00,0 days 02:30:00
46,1,190,193,1593.288,1590.125,-3.163000000000011,-0.0019852029262756865,2020-01-08 02:00:00,2020-01-08 03:30:00,0 days 01:30:00
47,-1,193,199,1590.125,1593.155,-3.0299999999999727,-0.0019055105730680921,2020-01-08 03:30:00,2020-01-08 06:30:00,0 days 03:00:00
48,1,199,200,1593.155,1593.085,-0.06999999999993634,-4.393797213697592e-05,2020-01-08 06:30:00,2020-01-08 07:00:00,0 days 00:30:00
49,-1,200,201,1593.085,1587.895,5.190000000000055,0.0032578299337449046,2020-01-08 07:00:00,2020-01-08 07:30:00,0 days 00:30:00
50,1,201,214,1587.895,1576.668,-11.22700000000009,-0.007070366743393008,2020-01-08 07:30:00,2020-01-08 14:00:00,0 days 06:30:00
51,-1,214,216,1576.668,1573.465,3.2029999999999745,0.002031499339112619,2020-01-08 14:00:00,2020-01-08 15:00:00,0 days 01:00:00
52,1,216,234,1573.465,1556.635,-16.829999999999927,-0.010696138776521869,2020-01-08 15:00:00,2020-01-09 01:00:00,0 days 10:00:00
53,-1,234,237,1556.635,1559.365,-2.730000000000018,-0.0017537829998683918,2020-01-09 01:00:00,2020-01-09 02:30:00,0 days 01:30:00
54,1,237,238,1559.365,1560.495,1.1299999999998818,0.0007246539456764456,2020-01-09 02:30:00,2020-01-09 03:00:00,0 days 00:30:00
55,-1,238,239,1560.495,1557.285,3.209999999999809,0.0020570395932059116,2020-01-09 03:00:00,2020-01-09 03:30:00,0 days 00:30:00
56,1,239,257,1557.285,1550.798,-6.48700000000008,-0.004165583049987709,2020-01-09 03:30:00,2020-01-09 12:30:00,0 days 09:00:00
57,-1,257,260,1550.798,1549.765,1.0329999999999018,0.0006661086743727784,2020-01-09 12:30:00,2020-01-09 14:00:00,0 days 01:30:00
58,1,260,262,1549.765,1551.648,1.8829999999998108,0.0012150229228300446,2020-01-09 14:00:00,2020-01-09 15:00:00,0 days 01:00:00
59,-1,262,263,1551.648,1548.625,3.022999999999911,0.0019482511497452837,2020-01-09 15:00:00,2020-01-09 15:30:00,0 days 00:30:00
60,1,263,265,1548.625,1549.625,1.0,0.0006457341189765042,2020-01-09 15:30:00,2020-01-09 16:30:00,0 days 01:00:00
61,-1,265,268,1549.625,1549.188,0.43699999999989814,0.0002820037105750739,2020-01-09 16:30:00,2020-01-09 18:00:00,0 days 01:30:00
62,1,268,269,1549.188,1552.758,3.5699999999999363,0.002304433032014108,2020-01-09 18:00:00,2020-01-09 18:30:00,0 days 00:30:00
63,-1,269,273,1552.758,1551.935,0.8230000000000928,0.0005300246400277153,2020-01-09 18:30:00,2020-01-09 20:30:00,0 days 02:00:00
64,1,273,276,1551.935,1552.198,0.26300000000014734,0.00016946586036148403,2020-01-09 20:30:00,2020-01-09 23:00:00,0 days 02:30:00
65,-1,276,279,1552.198,1550.955,1.2430000000001655,0.0008007998979512321,2020-01-09 23:00:00,2020-01-10 00:30:00,0 days 01:30:00
66,1,279,290,1550.955,1548.325,-2.6299999999998818,-0.0016957294054307237,2020-01-10 00:30:00,2020-01-10 06:00:00,0 days 05:30:00
67,-1,290,291,1548.325,1547.095,1.2300000000000182,0.0007944068590250986,2020-01-10 06:00:00,2020-01-10 06:30:00,0 days 00:30:00
68,1,291,293,1547.095,1550.075,2.980000000000018,0.0019261906993430777,2020-01-10 06:30:00,2020-01-10 07:30:00,0 days 01:00:00
