,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,88,1529.0337456,1717.028,187.99425440000005,0.12294970921405679,2020-01-03,2020-04-14,102 days
1,-1,88,92,1716.6845944000002,1679.878,36.80659440000022,0.02144051069140307,2020-04-14,2020-04-19,5 days
2,1,92,96,1680.2139756,1711.638,31.424024400000008,0.01870239437139465,2020-04-19,2020-04-23,4 days
3,-1,96,103,1711.2956724,1687.865,23.43067240000005,0.013691773302470733,2020-04-23,2020-05-01,8 days
4,1,103,106,1688.202573,1703.505,15.30242700000008,0.009064331049328356,2020-05-01,2020-05-05,4 days
5,-1,106,108,1703.1642990000003,1689.645,13.519299000000274,0.00793775386669271,2020-05-05,2020-05-07,2 days
6,1,108,109,1689.982929,1714.198,24.21507100000008,0.014328589114405155,2020-05-07,2020-05-08,1 days
7,-1,109,110,1713.8551604000002,1701.558,12.297160400000166,0.007175145650657022,2020-05-08,2020-05-10,2 days
8,1,110,111,1701.8983116,1706.205,4.3066883999999845,0.0025305204022154637,2020-05-10,2020-05-11,1 days
9,-1,111,112,1705.863759,1697.558,8.30575900000008,0.004868946277907349,2020-05-11,2020-05-12,1 days
10,1,112,114,1697.8975116,1718.315,20.41748840000014,0.01202515950492189,2020-05-12,2020-05-14,2 days
11,-1,114,132,1717.9713370000002,1700.448,17.523337000000083,0.010200017091437696,2020-05-14,2020-06-04,21 days
12,1,132,133,1700.7880896000001,1712.258,11.46991039999989,0.006743879775579442,2020-06-04,2020-06-05,1 days
13,-1,133,134,1711.9155484,1674.868,37.047548400000096,0.021640990663719162,2020-06-05,2020-06-07,2 days
14,1,134,137,1675.2029736,1713.185,37.982026399999995,0.022673089171025618,2020-06-07,2020-06-10,3 days
15,-1,137,365,1712.842363,1694.105,18.73736299999996,0.010939338846793767,2020-06-10,2021-03-05,268 days
16,1,365,367,1694.443821,1707.685,13.241178999999875,0.007814469170294158,2021-03-05,2021-03-08,3 days
17,-1,367,368,1707.343463,1684.554,22.78946299999984,0.013347907725582142,2021-03-08,2021-03-09,1 days
18,1,368,369,1684.8909108,1715.744,30.853089199999886,0.01831162421390875,2021-03-09,2021-03-10,1 days
19,-1,369,387,1715.4008512,1685.398,30.002851200000123,0.017490285829700802,2021-03-10,2021-03-31,21 days
20,1,387,388,1685.7350795999998,1707.338,21.60292040000013,0.012815133683476532,2021-03-31,2021-04-01,1 days
21,-1,388,793,1706.9965324,1695.298,11.698532399999976,0.006853284220532108,2021-04-01,2022-07-21,476 days
22,1,793,794,1695.6370596,1718.036,22.39894040000013,0.013209749263963344,2022-07-21,2022-07-22,1 days
23,-1,794,830,1717.6923928,1697.034,20.6583928,0.012026829068227385,2022-07-22,2022-09-02,42 days
24,1,830,831,1697.3734068,1712.598,15.224593199999845,0.008969501430272864,2022-09-02,2022-09-04,2 days
25,-1,831,840,1712.2554804,1702.064,10.191480399999818,0.0059520792992988625,2022-09-04,2022-09-14,10 days
26,1,840,858,1702.4044128,1725.434,23.029587199999924,0.013527682979934452,2022-09-14,2022-10-05,21 days
27,-1,858,861,1725.0889132,1695.464,29.624913200000037,0.01717297756267333,2022-10-05,2022-10-09,4 days
28,1,861,888,1695.8030927999998,1711.348,15.544907200000125,0.00916669350704713,2022-10-09,2022-11-09,31 days
29,-1,888,989,1711.0057304,1815.195,-104.18926959999999,-0.060893583083232894,2022-11-09,2023-03-09,120 days
