,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,852,1518.908721,1672.475,153.5662789999999,0.1011030333007088,2020-01-02 01:00:00,2020-02-24 08:00:00,53 days 07:00:00
1,-1,852,864,1672.1405049999998,1653.635,18.505504999999857,0.011066955763983422,2020-02-24 08:00:00,2020-02-24 20:00:00,0 days 12:00:00
2,1,864,1048,1653.965727,1671.675,17.70927299999994,0.010707158383578719,2020-02-24 20:00:00,2020-03-05 20:00:00,10 days 00:00:00
3,-1,1048,1053,1671.340665,1670.578,0.76266499999997,0.00045631929861522647,2020-03-05 20:00:00,2020-03-06 02:00:00,0 days 06:00:00
4,1,1053,1056,1670.9121155999999,1678.315,7.4028844000001754,0.004430445102938219,2020-03-06 02:00:00,2020-03-06 05:00:00,0 days 03:00:00
5,-1,1056,1067,1677.979337,1663.898,14.081337000000076,0.008391841716701709,2020-03-06 05:00:00,2020-03-06 16:00:00,0 days 11:00:00
6,1,1067,1070,1664.2307795999998,1672.208,7.977220400000306,0.00479333785781666,2020-03-06 16:00:00,2020-03-06 19:00:00,0 days 03:00:00
7,-1,1070,1080,1671.8735584,1662.465,9.408558400000175,0.00562755380197788,2020-03-06 19:00:00,2020-03-09 05:00:00,2 days 10:00:00
8,1,1080,1083,1662.7974929999998,1681.345,18.547507000000223,0.011154399184555519,2020-03-09 05:00:00,2020-03-09 08:00:00,0 days 03:00:00
9,-1,1083,1085,1681.0087310000001,1665.142,15.866731000000073,0.009438815341881845,2020-03-09 08:00:00,2020-03-09 10:00:00,0 days 02:00:00
10,1,1085,1086,1665.4750284,1678.245,12.769971599999963,0.007667465066869106,2020-03-09 10:00:00,2020-03-09 11:00:00,0 days 01:00:00
11,-1,1086,1091,1677.909351,1665.0,12.909351000000015,0.007693711816020521,2020-03-09 11:00:00,2020-03-09 16:00:00,0 days 05:00:00
12,1,1091,1092,1665.3329999999999,1671.808,6.475000000000136,0.0038881112666355744,2020-03-09 16:00:00,2020-03-09 17:00:00,0 days 01:00:00
13,-1,1092,1097,1671.4736384,1671.318,0.15563840000004348,9.31144807937434e-05,2020-03-09 17:00:00,2020-03-09 23:00:00,0 days 06:00:00
14,1,1097,1617,1671.6522636,1673.218,1.5657364000001053,0.0009366400142505338,2020-03-09 23:00:00,2020-04-09 13:00:00,30 days 14:00:00
15,-1,1617,1777,1672.8833564000001,1666.688,6.195356400000037,0.003703400106348287,2020-04-09 13:00:00,2020-04-21 12:00:00,11 days 23:00:00
16,1,1777,1779,1667.0213376000002,1679.338,12.316662399999814,0.007388425164210677,2020-04-21 12:00:00,2020-04-21 14:00:00,0 days 02:00:00
17,-1,1779,2829,1679.0021324,1778.265,-99.26286760000016,-0.059120155766634985,2020-04-21 14:00:00,2020-06-24 10:00:00,63 days 20:00:00
18,1,2829,2830,1778.620653,1775.748,-2.8726529999999,-0.0016151015648865341,2020-06-24 10:00:00,2020-06-24 11:00:00,0 days 01:00:00
19,-1,2830,2926,1775.3928504,1780.998,-5.605149600000004,-0.0031571320109446965,2020-06-24 11:00:00,2020-06-30 15:00:00,6 days 04:00:00
20,1,2926,2948,1781.3541996,1767.245,-14.10919960000001,-0.007920490828364324,2020-06-30 15:00:00,2020-07-01 14:00:00,0 days 23:00:00
21,-1,2948,2973,1766.891551,1777.908,-11.016448999999966,-0.0062349321857162465,2020-07-01 14:00:00,2020-07-02 16:00:00,1 days 02:00:00
22,1,2973,2974,1778.2635816,1776.408,-1.8555816000000505,-0.0010434795039385714,2020-07-02 16:00:00,2020-07-02 17:00:00,0 days 01:00:00
23,-1,2974,3011,1776.0527184,1779.228,-3.175281600000062,-0.0017878307142034089,2020-07-02 17:00:00,2020-07-06 12:00:00,3 days 19:00:00
24,1,3011,3032,1779.5838456000001,1776.775,-2.8088456000000406,-0.0015783721609661239,2020-07-06 12:00:00,2020-07-07 10:00:00,0 days 22:00:00
25,-1,3032,3035,1776.4196450000002,1778.528,-2.1083549999998468,-0.0011868563860650827,2020-07-07 10:00:00,2020-07-07 13:00:00,0 days 03:00:00
26,1,3035,3305,1778.8837056,1875.458,96.5742944000001,0.05428926809323187,2020-07-07 13:00:00,2020-07-23 07:00:00,15 days 18:00:00
27,-1,3305,3311,1875.0829084000002,1871.975,3.1079084000002695,0.001657477856620293,2020-07-23 07:00:00,2020-07-23 13:00:00,0 days 06:00:00
28,1,3311,3312,1872.349395,1881.058,8.708605000000034,0.0046511644799074325,2020-07-23 13:00:00,2020-07-23 14:00:00,0 days 01:00:00
29,-1,3312,4320,1880.6817884,1865.498,15.183788399999912,0.008073555289179302,2020-07-23 14:00:00,2020-09-23 15:00:00,62 days 01:00:00
30,1,4320,4358,1865.8710996,1873.638,7.76690039999994,0.004162613591938369,2020-09-23 15:00:00,2020-09-25 07:00:00,1 days 16:00:00
31,-1,4358,4359,1873.2632724,1873.398,-0.13472759999990558,-7.192133747824236e-05,2020-09-25 07:00:00,2020-09-25 08:00:00,0 days 01:00:00
32,1,4359,4391,1873.7726796,1874.465,0.6923203999999714,0.0003694793971207311,2020-09-25 08:00:00,2020-09-28 17:00:00,3 days 09:00:00
33,-1,4391,4895,1874.090107,1871.778,2.312106999999969,0.001233722429548001,2020-09-28 17:00:00,2020-10-28 15:00:00,29 days 22:00:00
34,1,4895,4896,1872.1523556,1882.235,10.082644399999936,0.005385589676951685,2020-10-28 15:00:00,2020-10-28 16:00:00,0 days 01:00:00
35,-1,4896,4915,1881.858553,1871.938,9.920552999999927,0.005271678354457077,2020-10-28 16:00:00,2020-10-29 12:00:00,0 days 20:00:00
36,1,4915,4918,1872.3123876,1873.678,1.3656124000001455,0.000729372090386482,2020-10-29 12:00:00,2020-10-29 15:00:00,0 days 03:00:00
37,-1,4918,4919,1873.3032644000002,1868.005,5.298264400000107,0.002828300414934204,2020-10-29 15:00:00,2020-10-29 16:00:00,0 days 01:00:00
38,1,4919,4928,1868.3786010000001,1874.438,6.059398999999985,0.0032431323056028027,2020-10-29 16:00:00,2020-10-30 02:00:00,0 days 10:00:00
39,-1,4928,4932,1874.0631124000001,1868.818,5.245112400000153,0.0027987917617582347,2020-10-30 02:00:00,2020-10-30 06:00:00,0 days 04:00:00
40,1,4932,4936,1869.1917635999998,1873.718,4.5262364000002435,0.0024214938713846834,2020-10-30 06:00:00,2020-10-30 10:00:00,0 days 04:00:00
41,-1,4936,5078,1873.3432564000002,1863.208,10.135256400000117,0.005410250558926966,2020-10-30 10:00:00,2020-11-09 15:00:00,10 days 05:00:00
42,1,5078,5087,1863.5806416,1873.455,9.874358399999892,0.005298594640649412,2020-11-09 15:00:00,2020-11-10 01:00:00,0 days 10:00:00
43,-1,5087,5097,1873.080309,1868.685,4.3953089999999975,0.0023465672981990426,2020-11-10 01:00:00,2020-11-10 11:00:00,0 days 10:00:00
44,1,5097,5098,1869.0587369999998,1878.425,9.366263000000117,0.00501121918460079,2020-11-10 11:00:00,2020-11-10 12:00:00,0 days 01:00:00
45,-1,5098,5107,1878.049315,1872.645,5.404314999999997,0.0028776214537262756,2020-11-10 12:00:00,2020-11-10 21:00:00,0 days 09:00:00
46,1,5107,5108,1873.019529,1876.858,3.838471000000027,0.002049349160843761,2020-11-10 21:00:00,2020-11-10 23:00:00,0 days 02:00:00
47,-1,5108,5122,1876.4826284,1870.635,5.847628400000076,0.003116271001659121,2020-11-10 23:00:00,2020-11-11 13:00:00,0 days 14:00:00
48,1,5122,5146,1871.009127,1876.858,5.848872999999912,0.0031260526288174884,2020-11-11 13:00:00,2020-11-12 14:00:00,1 days 01:00:00
49,-1,5146,5190,1876.4826284,1869.238,7.2446284000000105,0.003860748983419704,2020-11-12 14:00:00,2020-11-16 12:00:00,3 days 22:00:00
