,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,115,635.78,652.42,16.639999999999986,0.026172575419170174,2007-01-01 08:00:00,2007-01-25 16:00:00,24 days 08:00:00
1,-1,115,116,652.42,645.149,7.270999999999958,0.011144661414426271,2007-01-25 16:00:00,2007-01-25 20:00:00,0 days 04:00:00
2,1,116,140,645.149,653.697,8.548000000000002,0.013249652405878276,2007-01-25 20:00:00,2007-01-31 16:00:00,5 days 20:00:00
3,-1,140,152,653.697,645.246,8.451000000000022,0.012928007930279706,2007-01-31 16:00:00,2007-02-02 16:00:00,2 days 00:00:00
4,1,152,164,645.246,653.115,7.869000000000028,0.012195348750709156,2007-02-02 16:00:00,2007-02-06 12:00:00,3 days 20:00:00
5,-1,164,165,653.115,650.405,2.7100000000000364,0.00414934582730464,2007-02-06 12:00:00,2007-02-06 16:00:00,0 days 04:00:00
6,1,165,166,650.405,653.048,2.643000000000029,0.004063621897125724,2007-02-06 16:00:00,2007-02-06 20:00:00,0 days 04:00:00
7,-1,166,176,653.048,648.74,4.307999999999993,0.006596758584361373,2007-02-06 20:00:00,2007-02-08 12:00:00,1 days 16:00:00
8,1,176,177,648.74,655.372,6.631999999999948,0.010222893609149963,2007-02-08 12:00:00,2007-02-08 16:00:00,0 days 04:00:00
9,-1,177,277,655.372,643.118,12.253999999999905,0.0186977777506514,2007-02-08 16:00:00,2007-03-02 20:00:00,22 days 04:00:00
10,1,277,296,643.118,650.139,7.020999999999958,0.010917125628578273,2007-03-02 20:00:00,2007-03-07 20:00:00,5 days 00:00:00
11,-1,296,297,650.139,647.373,2.7659999999999627,0.004254474812309339,2007-03-07 20:00:00,2007-03-08 00:00:00,0 days 04:00:00
12,1,297,298,647.373,651.448,4.074999999999932,0.006294670923872259,2007-03-08 00:00:00,2007-03-08 04:00:00,0 days 04:00:00
13,-1,298,307,651.448,650.157,1.29099999999994,0.0019817391411132146,2007-03-08 04:00:00,2007-03-09 16:00:00,1 days 12:00:00
14,1,307,312,650.157,652.913,2.755999999999972,0.004238976124228522,2007-03-09 16:00:00,2007-03-12 08:00:00,2 days 16:00:00
15,-1,312,315,652.913,649.1,3.812999999999988,0.005839981743356315,2007-03-12 08:00:00,2007-03-12 20:00:00,0 days 12:00:00
16,1,315,337,649.1,650.798,1.697999999999979,0.002615929748883028,2007-03-12 20:00:00,2007-03-16 12:00:00,3 days 16:00:00
17,-1,337,467,650.798,687.59,-36.79200000000003,-0.056533670970101424,2007-03-16 12:00:00,2007-04-16 08:00:00,30 days 20:00:00
18,1,467,469,687.59,683.908,-3.6820000000000164,-0.0053549353539172895,2007-04-16 08:00:00,2007-04-16 16:00:00,0 days 08:00:00
19,-1,469,470,683.908,690.512,-6.603999999999928,-0.00965626955672394,2007-04-16 16:00:00,2007-04-16 20:00:00,0 days 04:00:00
20,1,470,473,690.512,687.095,-3.4169999999999163,-0.004948501981138498,2007-04-16 20:00:00,2007-04-17 08:00:00,0 days 12:00:00
21,-1,473,474,687.095,687.897,-0.8020000000000209,-0.0011672330609304726,2007-04-17 08:00:00,2007-04-17 12:00:00,0 days 04:00:00
22,1,474,476,687.897,686.023,-1.8740000000000236,-0.0027242450541288266,2007-04-17 12:00:00,2007-04-17 20:00:00,0 days 08:00:00
23,-1,476,478,686.023,688.197,-2.173999999999978,-0.0031689899609779193,2007-04-17 20:00:00,2007-04-18 04:00:00,0 days 08:00:00
24,1,478,485,688.197,684.345,-3.8519999999999754,-0.0055972345127920375,2007-04-18 04:00:00,2007-04-19 08:00:00,1 days 04:00:00
25,-1,485,492,684.345,691.913,-7.567999999999984,-0.011058749607288698,2007-04-19 08:00:00,2007-04-20 12:00:00,1 days 04:00:00
26,1,492,503,691.913,685.977,-5.9360000000000355,-0.008579113270021033,2007-04-20 12:00:00,2007-04-24 04:00:00,3 days 16:00:00
27,-1,503,504,685.977,688.707,-2.730000000000018,-0.003979725267756917,2007-04-24 04:00:00,2007-04-24 08:00:00,0 days 04:00:00
28,1,504,506,688.707,684.447,-4.259999999999991,-0.006185504140367337,2007-04-24 08:00:00,2007-04-24 16:00:00,0 days 08:00:00
29,-1,506,555,684.447,688.661,-4.213999999999942,-0.006156795193784204,2007-04-24 16:00:00,2007-05-04 16:00:00,10 days 00:00:00
30,1,555,566,688.661,686.772,-1.8889999999998963,-0.002743004177672148,2007-05-04 16:00:00,2007-05-08 08:00:00,3 days 16:00:00
31,-1,566,710,686.772,647.697,39.075000000000045,0.05689661197602702,2007-05-08 08:00:00,2007-06-08 16:00:00,31 days 08:00:00
32,1,710,714,647.697,650.85,3.15300000000002,0.004868016989425739,2007-06-08 16:00:00,2007-06-11 04:00:00,2 days 12:00:00
33,-1,714,723,650.85,649.447,1.40300000000002,0.0021556426211877255,2007-06-11 04:00:00,2007-06-12 16:00:00,1 days 12:00:00
34,1,723,729,649.447,651.17,1.7229999999999563,0.002653026343951037,2007-06-12 16:00:00,2007-06-13 16:00:00,1 days 00:00:00
35,-1,729,732,651.17,649.772,1.3979999999999109,0.0021469048021253156,2007-06-13 16:00:00,2007-06-14 04:00:00,0 days 12:00:00
36,1,732,735,649.772,650.047,0.27499999999997726,0.0004232253775169337,2007-06-14 04:00:00,2007-06-14 16:00:00,0 days 12:00:00
37,-1,735,740,650.047,650.763,-0.7160000000000082,-0.0011014588175932705,2007-06-14 16:00:00,2007-06-15 12:00:00,0 days 20:00:00
38,1,740,741,650.763,653.647,2.8840000000000146,0.004431720918368187,2007-06-15 12:00:00,2007-06-15 16:00:00,0 days 04:00:00
39,-1,741,766,653.647,647.734,5.913000000000011,0.009046167120785431,2007-06-15 16:00:00,2007-06-21 16:00:00,6 days 00:00:00
40,1,766,767,647.734,651.198,3.463999999999942,0.005347874281726561,2007-06-21 16:00:00,2007-06-21 20:00:00,0 days 04:00:00
41,-1,767,780,651.198,650.347,0.8509999999999991,0.0013068221953999037,2007-06-21 20:00:00,2007-06-25 20:00:00,4 days 00:00:00
42,1,780,781,650.347,650.998,0.6510000000000673,0.0010010040793608788,2007-06-25 20:00:00,2007-06-26 00:00:00,0 days 04:00:00
43,-1,781,783,650.998,648.644,2.354000000000042,0.0036159865314486783,2007-06-26 00:00:00,2007-06-26 08:00:00,0 days 08:00:00
44,1,783,803,648.644,652.047,3.40300000000002,0.005246329265359728,2007-06-26 08:00:00,2007-06-29 16:00:00,3 days 08:00:00
