,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,2,51,635.9111568,636.887,0.9758431999999857,0.0015345590175057655,2007-01-01 01:00:00,2007-01-02 01:30:00,1 days 00:30:00
1,-1,51,52,636.7596226,636.376,0.38362259999996695,0.0006024606246758379,2007-01-02 01:30:00,2007-01-02 02:00:00,0 days 00:30:00
2,1,52,54,636.5032752,636.868,0.36472480000009,0.0005730132337269378,2007-01-02 02:00:00,2007-01-02 03:00:00,0 days 01:00:00
3,-1,54,55,636.7406264000001,636.604,0.13662640000006832,0.0002145715136357973,2007-01-02 03:00:00,2007-01-02 03:30:00,0 days 00:30:00
4,1,55,56,636.7313208,637.287,0.5556791999999859,0.0008727059308184515,2007-01-02 03:30:00,2007-01-02 04:00:00,0 days 00:30:00
5,-1,56,59,637.1595426,636.596,0.5635426000000052,0.0008844607391429449,2007-01-02 04:00:00,2007-01-02 05:30:00,0 days 01:30:00
6,1,59,60,636.7233192,636.761,0.037680799999975534,5.9179236669537616e-05,2007-01-02 05:30:00,2007-01-02 06:00:00,0 days 00:30:00
7,-1,60,116,636.6336478,636.44,0.19364779999989423,0.00030417462330034617,2007-01-02 06:00:00,2007-01-03 10:00:00,1 days 04:00:00
8,1,116,125,636.5672880000001,641.108,4.540711999999871,0.007133121801257136,2007-01-03 10:00:00,2007-01-03 14:30:00,0 days 04:30:00
9,-1,125,129,640.9797784,634.974,6.00577839999994,0.009369684664610523,2007-01-03 14:30:00,2007-01-03 16:30:00,0 days 02:00:00
10,1,129,750,635.1009948000001,639.177,4.0760051999999405,0.006417885081857699,2007-01-03 16:30:00,2007-01-22 15:00:00,18 days 22:30:00
11,-1,750,755,639.0491646,636.718,2.331164600000079,0.003647864247595445,2007-01-22 15:00:00,2007-01-22 17:30:00,0 days 02:30:00
12,1,755,789,636.8453436,637.298,0.4526564000000235,0.0007107791625533544,2007-01-22 17:30:00,2007-01-23 10:30:00,0 days 17:00:00
13,-1,789,790,637.1705404,636.585,0.5855404000000135,0.0009189696680459436,2007-01-23 10:30:00,2007-01-23 11:00:00,0 days 00:30:00
14,1,790,791,636.712317,636.957,0.2446830000000091,0.0003842912936768972,2007-01-23 11:00:00,2007-01-23 11:30:00,0 days 00:30:00
15,-1,791,1684,636.8296086,670.675,-33.845391399999926,-0.05314669880755907,2007-01-23 11:30:00,2007-02-19 02:00:00,26 days 14:30:00
16,1,1684,1686,670.809135,670.949,0.13986499999998614,0.00020850193102983638,2007-02-19 02:00:00,2007-02-19 03:00:00,0 days 01:00:00
17,-1,1686,1688,670.8148102,672.288,-1.4731898,-0.002196119968729926,2007-02-19 03:00:00,2007-02-19 04:00:00,0 days 01:00:00
18,1,1688,1696,672.4224576,670.659,-1.763457600000038,-0.002622544176014152,2007-02-19 04:00:00,2007-02-19 08:00:00,0 days 04:00:00
19,-1,1696,1699,670.5248682,670.847,-0.32213179999996555,-0.0004804173793953037,2007-02-19 08:00:00,2007-02-19 09:30:00,0 days 01:30:00
20,1,1699,1700,670.9811694,670.377,-0.6041694000000462,-0.0009004267594280302,2007-02-19 09:30:00,2007-02-19 10:00:00,0 days 00:30:00
21,-1,1700,1717,670.2429245999999,670.832,-0.5890754000000697,-0.0008788983492091784,2007-02-19 10:00:00,2007-02-19 18:30:00,0 days 08:30:00
22,1,1717,1718,670.9661664,670.006,-0.9601664000000483,-0.0014310205910258444,2007-02-19 18:30:00,2007-02-19 19:00:00,0 days 00:30:00
23,-1,1718,1720,669.8719988,670.528,-0.6560011999999915,-0.0009792933592911446,2007-02-19 19:00:00,2007-02-19 20:00:00,0 days 01:00:00
24,1,1720,1724,670.6621056,669.851,-0.811105600000019,-0.001209410213022788,2007-02-19 20:00:00,2007-02-19 22:00:00,0 days 02:00:00
25,-1,1724,1733,669.7170298,670.225,-0.5079702000000452,-0.000758484818807359,2007-02-19 22:00:00,2007-02-20 02:30:00,0 days 04:30:00
26,1,1733,1734,670.359045,670.898,0.5389549999999872,0.0008039796046908076,2007-02-20 02:30:00,2007-02-20 03:00:00,0 days 00:30:00
27,-1,1734,1736,670.7638204,671.523,-0.7591796000000386,-0.0011318135786562156,2007-02-20 03:00:00,2007-02-20 04:00:00,0 days 01:00:00
28,1,1736,1739,671.6573046,670.405,-1.2523046000000022,-0.0018644993383133412,2007-02-20 04:00:00,2007-02-20 05:30:00,0 days 01:30:00
29,-1,1739,1740,670.2709189999999,670.896,-0.6250810000000229,-0.0009325796215844395,2007-02-20 05:30:00,2007-02-20 06:00:00,0 days 00:30:00
30,1,1740,1743,671.0301791999999,669.708,-1.3221791999999368,-0.0019703721844168687,2007-02-20 06:00:00,2007-02-20 07:30:00,0 days 01:30:00
31,-1,1743,1812,669.5740584,674.293,-4.718941599999994,-0.007047676863820351,2007-02-20 07:30:00,2007-02-21 18:00:00,1 days 10:30:00
32,1,1812,2008,674.4278586,669.399,-5.028858600000035,-0.0074564811282249455,2007-02-21 18:00:00,2007-02-27 20:00:00,6 days 02:00:00
33,-1,2008,2025,669.2651202000001,670.222,-0.9568797999999106,-0.0014297470032711423,2007-02-27 20:00:00,2007-02-28 04:30:00,0 days 08:30:00
34,1,2025,2028,670.3560444,670.184,-0.17204440000000432,-0.00025664630227062446,2007-02-28 04:30:00,2007-02-28 06:00:00,0 days 01:30:00
35,-1,2028,2029,670.0499632,670.844,-0.7940368000000717,-0.0011850411814187112,2007-02-28 06:00:00,2007-02-28 06:30:00,0 days 00:30:00
36,1,2029,2044,670.9781688,668.93,-2.0481688000000986,-0.003052511833079641,2007-02-28 06:30:00,2007-02-28 14:00:00,0 days 07:30:00
37,-1,2044,2064,668.796214,673.451,-4.654786000000058,-0.006959946696109887,2007-02-28 14:00:00,2007-03-01 00:00:00,0 days 10:00:00
