,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,1261,1295,1375.331,1388.481,13.150000000000091,0.009561334689613066,2011-01-11,2011-02-20,40 days
1,-1,1295,1296,1388.481,1390.874,-2.393000000000029,-0.0017234661475382662,2011-02-20,2011-02-21,1 days
2,1,1296,1297,1390.874,1408.136,17.261999999999944,0.012410901346922909,2011-02-21,2011-02-22,1 days
3,-1,1297,1316,1408.136,1394.611,13.524999999999864,0.009604896117988537,2011-02-22,2011-03-16,22 days
4,1,1316,1318,1394.611,1407.43,12.81899999999996,0.009191810476183004,2011-03-16,2011-03-18,2 days
5,-1,1318,1360,1407.43,1473.075,-65.64499999999998,-0.046641751277150645,2011-03-18,2011-05-06,49 days
6,1,1360,1363,1473.075,1511.721,38.64599999999996,0.026234916755766058,2011-05-06,2011-05-10,4 days
7,-1,1363,1365,1511.721,1503.882,7.838999999999942,0.00518548065416824,2011-05-10,2011-05-12,2 days
8,1,1365,1373,1503.882,1511.601,7.719000000000051,0.005132716529621328,2011-05-12,2011-05-22,10 days
9,-1,1373,1402,1511.601,1524.673,-13.071999999999889,-0.008647784699798322,2011-05-22,2011-06-24,33 days
10,1,1402,1414,1524.673,1530.163,5.490000000000009,0.0036007720999846615,2011-06-24,2011-07-08,14 days
11,-1,1414,1443,1530.163,1808.241,-278.078,-0.181730965916703,2011-07-08,2011-08-11,34 days
12,1,1443,1444,1808.241,1751.786,-56.45499999999993,-0.03122094897748695,2011-08-11,2011-08-12,1 days
13,-1,1444,1449,1751.786,1787.016,-35.23000000000002,-0.02011090395744697,2011-08-12,2011-08-18,6 days
14,1,1449,1450,1787.016,1825.488,38.47199999999998,0.021528626492432146,2011-08-18,2011-08-19,1 days
15,-1,1450,1452,1825.488,1870.752,-45.263999999999896,-0.02479556151560569,2011-08-19,2011-08-22,3 days
16,1,1452,1453,1870.752,1909.113,38.361000000000104,0.020505657617899242,2011-08-22,2011-08-23,1 days
17,-1,1453,1454,1909.113,1838.073,71.03999999999996,0.03721099798702332,2011-08-23,2011-08-24,1 days
18,1,1454,1462,1838.073,1826.491,-11.582000000000107,-0.006301164317195296,2011-08-24,2011-09-02,9 days
19,-1,1462,1467,1826.491,1813.763,12.728000000000065,0.006968553362704855,2011-09-02,2011-09-08,6 days
20,1,1467,1469,1813.763,1856.772,43.009000000000015,0.023712579868483408,2011-09-08,2011-09-11,3 days
21,-1,1469,1470,1856.772,1858.036,-1.2640000000001237,-0.0006807513254185604,2011-09-11,2011-09-12,1 days
22,1,1470,1844,1858.036,1750.724,-107.31200000000013,-0.0577556086103822,2011-09-12,2012-11-25,440 days
23,-1,1844,1848,1750.724,1722.452,28.271999999999935,0.016148747603848435,2012-11-25,2012-11-29,4 days
24,1,1848,2385,1722.452,1290.186,-432.2660000000001,-0.25095967841193834,2012-11-29,2014-08-21,630 days
25,-1,2385,2395,1290.186,1266.787,23.398999999999887,0.018136144710917512,2014-08-21,2014-09-03,13 days
26,1,2395,2398,1266.787,1268.452,1.6649999999999636,0.0013143488210725085,2014-09-03,2014-09-07,4 days
27,-1,2398,2399,1268.452,1266.852,1.599999999999909,0.0012613800128029595,2014-09-07,2014-09-08,1 days
28,1,2399,2479,1266.852,1229.1,-37.75200000000018,-0.029799850337687617,2014-09-08,2014-12-10,93 days
29,-1,2479,2484,1229.1,1198.542,30.557999999999993,0.024862094215279518,2014-12-10,2014-12-16,6 days
30,1,2484,2503,1198.542,1216.372,17.830000000000155,0.01487640816925917,2014-12-16,2015-01-07,22 days
31,-1,2503,2542,1216.372,1203.37,13.00200000000018,0.010689164170171739,2015-01-07,2015-02-22,46 days
32,1,2542,2547,1203.37,1210.073,6.703000000000202,0.005570190382010676,2015-02-22,2015-02-27,5 days
33,-1,2547,2550,1210.073,1206.899,3.1740000000002055,0.0026229822498313737,2015-02-27,2015-03-03,4 days
34,1,2550,2576,1206.899,1203.821,-3.0779999999999745,-0.0025503376836006897,2015-03-03,2015-04-02,30 days
35,-1,2576,2582,1203.821,1194.444,9.376999999999953,0.00778936403335706,2015-04-02,2015-04-10,8 days
36,1,2582,2583,1194.444,1206.831,12.386999999999944,0.010370515486703313,2015-04-10,2015-04-12,2 days
37,-1,2583,2585,1206.831,1199.219,7.611999999999853,0.00630742829774833,2015-04-12,2015-04-14,2 days
38,1,2585,2587,1199.219,1204.759,5.539999999999964,0.004619673304042005,2015-04-14,2015-04-16,2 days
39,-1,2587,2588,1204.759,1199.044,5.714999999999918,0.004743687326676849,2015-04-16,2015-04-17,1 days
40,1,2588,2589,1199.044,1204.572,5.527999999999793,0.004610339570524369,2015-04-17,2015-04-19,2 days
