Time,Equity,Returns,stock1_signal,stock2_signal
2007-03-05,10000.0,0.0,-1,1
2007-03-06,9985.23321,-0.0014766789999999252,-1,1
2007-03-07,9985.022340000001,-2.111818477990024e-05,-1,1
2007-03-08,9980.62319,-0.00044057487807291906,-1,1
2007-03-09,9983.29578,0.0002677778680872933,-1,1
2007-03-11,9983.131420000002,-1.6463500994157165e-05,-1,1
2007-03-12,9983.725310000002,5.9489350086039394e-05,-1,1
2007-03-13,9989.503120000001,0.0005787228535036881,-1,1
2007-03-14,9988.27737,-0.00012270380070733555,-1,1
2007-03-15,9984.34019,-0.000394180082726181,-1,1
2007-03-16,9979.823670000002,-0.00045236038777229926,-1,1
2007-03-18,9978.458620000001,-0.00013678097380653842,-1,1
2007-03-19,9977.87025,-5.896401662897066e-05,-1,1
2007-03-20,9974.24565,-0.00036326389391561076,-1,1
2007-03-21,9969.06895,-0.0005190066679378047,-1,1
2007-03-22,9969.48312,4.154550460810924e-05,-1,1
2007-03-23,9975.83409,0.0006370410505294188,-1,1
2007-03-25,9974.69124,-0.00011456184913360978,-1,1
2007-03-26,9968.80954,-0.0005896623623209418,-1,1
2007-03-27,9967.90154,-9.108409548364005e-05,-1,1
2007-03-28,9967.05745,-8.468081236689962e-05,-1,1
2007-03-29,9971.0748,0.00040306279161650416,-1,1
2007-03-30,9968.89242,-0.0002188710890024259,-1,1
2007-04-01,9967.26052,-0.00016369922868531006,-1,1
2007-04-02,9969.07322,0.00018186541792131194,-1,1
2007-04-03,9969.05707,-1.6200101697894098e-06,-1,1
2007-04-04,9958.608320000001,-0.0010481181847622478,-1,1
2007-04-05,9957.979650000001,-6.312829863364122e-05,-1,1
2007-04-06,9958.62772,6.50804704145358e-05,-1,1
2007-04-08,9959.80242,0.00011795801921987703,-1,1
2007-04-09,9960.10562,3.044237096427871e-05,-1,1
2007-04-10,9955.04535,-0.0005080538493326126,-1,1
2007-04-11,9954.942720000001,-1.030934530088512e-05,-1,1
2007-04-12,9955.684070000001,7.447054401543696e-05,-1,1
