,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-1,37,37,660.3788978,664.9006,-4.52170220000005,-0.006847133085360113,2007-02-13,2007-02-13,0 days
1,-1,38,38,663.3353063999999,667.601175,-4.26586860000009,-0.0064309385597933755,2007-02-14,2007-02-14,0 days
2,-1,77,78,662.7244286,659.2749,3.449528600000008,0.005205072351545992,2007-04-01,2007-04-02,1 days
3,-1,85,85,671.6596412,675.5653500000001,-3.9057088000000704,-0.0058150118905790915,2007-04-10,2007-04-10,0 days
4,-1,110,110,685.0679590000001,681.443925,3.6240340000000515,0.005290035758335643,2007-05-09,2007-05-09,0 days
5,-1,135,135,669.5610610000001,672.760125,-3.1990639999999075,-0.004777852516127501,2007-06-07,2007-06-07,0 days
6,-1,176,176,680.8358056,677.4791,3.356705599999941,0.004930271839980294,2007-07-25,2007-07-25,0 days
7,-1,222,222,708.0453626,711.7941999999999,-3.7488373999999567,-0.0052946288444484235,2007-09-17,2007-09-17,0 days
8,-1,242,242,737.2555194,742.8785250000001,-5.623005600000056,-0.007626942697663619,2007-10-10,2007-10-10,0 days
9,-1,270,270,828.3822904,822.032225,6.350065399999949,0.007665621867572359,2007-11-12,2007-11-12,0 days
10,-1,284,284,814.7110252,805.979825,8.73120019999999,0.01071692898455201,2007-11-28,2007-11-28,0 days
11,-1,308,308,809.5570562,813.6102999999999,-4.053243799999905,-0.005006742599497072,2007-12-26,2007-12-26,0 days
12,-1,314,314,832.873392,838.9539,-6.080508000000009,-0.007300639038784418,2008-01-02,2008-01-02,0 days
13,-1,319,319,856.8315994000001,862.44225,-5.610650599999872,-0.006548136884690914,2008-01-08,2008-01-08,0 days
14,-1,423,423,865.671831,874.5789500000001,-8.90711900000008,-0.010289255906260397,2008-05-08,2008-05-08,0 days
15,-1,518,518,823.8122046,834.6476749999999,-10.835470399999963,-0.01315284034334141,2008-08-27,2008-08-27,0 days
16,-1,543,543,882.3554936,866.455275,15.900218600000017,0.018020195618805857,2008-09-25,2008-09-25,0 days
17,1,570,570,739.2518208,719.9483499999999,-19.303470800000127,-0.02611217214062511,2008-10-27,2008-10-27,0 days
18,1,571,571,733.7897286,753.1945,19.40477139999996,0.026444593926140625,2008-10-28,2008-10-28,0 days
19,-1,697,697,941.3276968,930.366725,10.960971800000038,0.011644161578652557,2009-03-24,2009-03-24,0 days
20,-1,727,727,905.1229392,898.7905999999999,6.332339200000092,0.006996109507065418,2009-04-28,2009-04-28,0 days
21,-1,739,739,912.7844066,919.6094,-6.824993400000039,-0.007477114366383875,2009-05-12,2009-05-12,0 days
22,-1,752,752,951.9205778,958.178225,-6.257647199999951,-0.00657370724610451,2009-05-27,2009-05-27,0 days
23,-1,774,774,934.0691488,926.76955,7.2995988000000125,0.00781483770166036,2009-06-22,2009-06-22,0 days
24,-1,835,835,951.4506718,946.376525,5.074146799999994,0.005333063447630404,2009-09-01,2009-09-01,0 days
25,-1,836,836,953.3822854,958.9473,-5.5650146000000404,-0.005837128175362638,2009-09-02,2009-09-02,0 days
26,-1,898,898,1104.369082,1111.746125,-7.377042999999958,-0.006679870996243675,2009-11-13,2009-11-13,0 days
27,-1,913,913,1178.574238,1187.8126750000001,-9.238437000000204,-0.007838655132728523,2009-12-01,2009-12-01,0 days
28,-1,955,956,1135.1909163999999,1128.074075,7.116841399999885,0.006269290299264707,2010-01-19,2010-01-20,1 days
29,-1,996,996,1134.2740998,1126.5508499999999,7.723249800000076,0.006808980123377495,2010-03-08,2010-03-08,0 days
30,-1,1016,1016,1102.4684622000002,1109.7898249999998,-7.321362799999633,-0.0066408818492547095,2010-03-31,2010-03-31,0 days
31,-1,1027,1027,1154.9069723999999,1148.656725,6.250247399999807,0.005411905503532655,2010-04-13,2010-04-13,0 days
32,-1,1029,1029,1156.5366464,1150.21515,6.321496400000115,0.005465885079973254,2010-04-15,2010-04-15,0 days
33,-1,1036,1036,1139.4130718000001,1145.9684750000001,-6.555403200000001,-0.005753315774799761,2010-04-23,2010-04-23,0 days
34,-1,1147,1147,1236.1907124000002,1241.4090999999999,-5.218387599999687,-0.004221345094777895,2010-08-31,2010-08-31,0 days
35,-1,1152,1153,1247.0025496,1252.2164,-5.213850399999956,-0.004181106447354477,2010-09-06,2010-09-07,1 days
36,-1,1188,1188,1365.7687916,1373.55395,-7.7851584,-0.00570020229476742,2010-10-18,2010-10-18,0 days
37,-1,1189,1189,1367.4004652,1359.6728,7.727665200000047,0.0056513548127758995,2010-10-19,2010-10-19,0 days
38,-1,1247,1247,1383.563232,1375.6382,7.925031999999874,0.005727986850694089,2010-12-26,2010-12-26,0 days
39,-1,1281,1281,1334.4400586000002,1343.8319999999999,-9.391941399999723,-0.007038114105966775,2011-02-03,2011-02-03,0 days
40,-1,1300,1300,1402.4754488,1409.6816250000002,-7.206176200000073,-0.005138183492741977,2011-02-25,2011-02-25,0 days
41,-1,1311,1311,1429.0761276,1421.903825,7.172302599999966,0.0050188387178821126,2011-03-10,2011-03-10,0 days
42,-1,1357,1357,1541.0587266,1550.1784750000002,-9.119748400000162,-0.005917846116170411,2011-05-03,2011-05-03,0 days
43,-1,1365,1365,1503.5812236000002,1492.6121500000002,10.969073600000002,0.007295298336951084,2011-05-12,2011-05-12,0 days
44,-1,1366,1366,1504.3290740000002,1516.20255,-11.873475999999755,-0.007892871450279282,2011-05-13,2011-05-13,0 days
45,-1,1432,1432,1613.4282498,1622.9167,-9.488450199999988,-0.005880924795494513,2011-07-29,2011-07-29,0 days
46,-1,1490,1490,1629.639007,1602.007175,27.63183200000003,0.016955799340411803,2011-10-05,2011-10-05,0 days
47,-1,1491,1492,1636.4236498,1664.472675,-28.04902519999996,-0.017140442331927908,2011-10-06,2011-10-07,1 days
48,-1,1521,1521,1771.2046882,1755.7319750000001,15.472713199999816,0.008735700228822307,2011-11-10,2011-11-10,0 days
49,1,1554,1554,1603.1465652,1587.65625,-15.49031519999994,-0.009662444804644177,2011-12-19,2011-12-19,0 days
50,1,1555,1555,1593.7516865999999,1608.6149500000001,14.863263400000278,0.009325959322878274,2011-12-20,2011-12-20,0 days
51,-1,1570,1571,1612.207494,1625.5818250000002,-13.374331000000211,-0.008295663585347501,2012-01-09,2012-01-10,1 days
52,-1,1625,1625,1699.7329854000002,1688.241025,11.491960400000153,0.006761038644723216,2012-03-13,2012-03-13,0 days
53,-1,1652,1653,1653.6911956,1646.704,6.98719559999995,0.00422521182829716,2012-04-15,2012-04-16,1 days
54,-1,1667,1667,1661.9685398,1653.7030499999998,8.265489800000068,0.004973313033347027,2012-05-02,2012-05-02,0 days
