,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,248,248,683.1075942,685.1178,2.0102057999999943,0.0029427367182972564,2007-02-26 00:00:00,2007-02-26 00:00:00,0 days 00:00:00
1,1,298,300,651.5782896,654.169675,2.5913854000000356,0.0039770898468560745,2007-03-08 04:00:00,2007-03-08 12:00:00,0 days 08:00:00
2,-1,335,336,645.6938354,647.8082,-2.1143646000000444,-0.0032745621594640895,2007-03-16 04:00:00,2007-03-16 08:00:00,0 days 04:00:00
3,1,403,404,665.6371008,662.908375,-2.7287258000000065,-0.004099419633792123,2007-04-02 00:00:00,2007-04-02 04:00:00,0 days 04:00:00
4,1,416,416,664.7029140000001,665.7706499999999,1.0677359999998544,0.0016063356689299813,2007-04-04 04:00:00,2007-04-04 04:00:00,0 days 00:00:00
5,1,459,460,677.0293788,678.9254,1.8960211999999501,0.0028005006272557864,2007-04-13 04:00:00,2007-04-13 08:00:00,0 days 04:00:00
6,1,496,497,692.583489,689.574875,-3.008613999999966,-0.0043440452274483565,2007-04-23 00:00:00,2007-04-23 04:00:00,0 days 04:00:00
7,1,546,546,672.6284988,673.8222,1.193701199999964,0.001774681272247003,2007-05-03 04:00:00,2007-05-03 04:00:00,0 days 00:00:00
8,1,571,572,685.5750876,684.1718500000001,-1.4032375999998976,-0.00204680366218124,2007-05-09 04:00:00,2007-05-09 08:00:00,0 days 04:00:00
9,1,589,590,671.6663064,673.008075,1.3417685999999094,0.0019976714437137666,2007-05-14 00:00:00,2007-05-14 04:00:00,0 days 04:00:00
10,-1,683,683,668.5932546,670.2798,-1.6865454,-0.002522528291149184,2007-06-04 04:00:00,2007-06-04 04:00:00,0 days 00:00:00
11,-1,689,689,670.9627806,672.255225,-1.2924444000000221,-0.0019262534932924513,2007-06-05 04:00:00,2007-06-05 04:00:00,0 days 00:00:00
12,-1,713,713,649.1221496,649.622875,-0.5007254000000785,-0.0007713885596241088,2007-06-11 00:00:00,2007-06-11 00:00:00,0 days 00:00:00
13,-1,844,845,658.6902356,660.647,-1.9567643999999973,-0.002970689854264519,2007-07-10 04:00:00,2007-07-10 08:00:00,0 days 04:00:00
14,1,856,856,661.6543044,662.82465,1.1703456000000187,0.0017688173298613385,2007-07-12 04:00:00,2007-07-12 04:00:00,0 days 00:00:00
15,1,868,870,666.7703273999999,668.01565,1.2453226000001223,0.0018676934902848163,2007-07-16 00:00:00,2007-07-16 08:00:00,0 days 08:00:00
16,1,881,881,666.6783089999999,667.486525,0.8082160000001295,0.001212302828949685,2007-07-18 04:00:00,2007-07-18 04:00:00,0 days 00:00:00
17,1,986,986,663.6306996000001,661.911475,-1.719224600000075,-0.0025906345216343274,2007-08-10 04:00:00,2007-08-10 04:00:00,0 days 00:00:00
18,-1,1023,1024,653.664241,656.292975,-2.6287340000000086,-0.004021535576091084,2007-08-20 00:00:00,2007-08-20 04:00:00,0 days 04:00:00
19,-1,1048,1048,658.4452846,657.218775,1.2265095999999858,0.0018627357939773326,2007-08-24 04:00:00,2007-08-24 04:00:00,0 days 00:00:00
20,-1,1073,1073,665.4428848,664.4377,1.0051848000000518,0.0015105500756870116,2007-08-30 04:00:00,2007-08-30 04:00:00,0 days 00:00:00
21,-1,1085,1086,672.0165698,671.0007999999999,1.0157698000000437,0.001511524932044983,2007-09-03 00:00:00,2007-09-03 04:00:00,0 days 04:00:00
22,1,1116,1116,700.4400599999999,702.1818,1.7417400000000498,0.0024866367580405058,2007-09-10 00:00:00,2007-09-10 00:00:00,0 days 00:00:00
23,1,1123,1125,703.1786076,705.179975,2.001367400000049,0.002846172193478491,2007-09-11 04:00:00,2007-09-11 12:00:00,0 days 08:00:00
24,1,1147,1147,708.3286374,709.980425,1.6517875999999205,0.002331950895085866,2007-09-17 00:00:00,2007-09-17 00:00:00,0 days 00:00:00
25,1,1166,1166,722.0483808,724.0948,2.0464191999999457,0.002834185706133141,2007-09-20 04:00:00,2007-09-20 04:00:00,0 days 00:00:00
26,1,1172,1172,735.4140534000001,737.508375,2.094321599999944,0.0028478128617712706,2007-09-21 04:00:00,2007-09-21 04:00:00,0 days 00:00:00
27,1,1178,1178,730.8691445999999,732.616525,1.747380400000111,0.002390825242672534,2007-09-24 00:00:00,2007-09-24 00:00:00,0 days 00:00:00
28,1,1179,1180,734.4688644,732.484575,-1.9842894000000797,-0.0027016657835061686,2007-09-24 04:00:00,2007-09-24 08:00:00,0 days 04:00:00
29,1,1197,1197,728.255622,730.252775,1.9971530000000257,0.0027423791038032608,2007-09-27 04:00:00,2007-09-27 04:00:00,0 days 00:00:00
30,1,1198,1198,729.3888486000001,731.5131,2.1242513999999346,0.0029123716438457237,2007-09-27 08:00:00,2007-09-27 08:00:00,0 days 00:00:00
31,1,1253,1254,739.1237952,741.047,1.9232048000000077,0.0026020063384371017,2007-10-10 04:00:00,2007-10-10 08:00:00,0 days 04:00:00
32,1,1278,1278,758.1636024,759.947275,1.7836726000000453,0.002352622302566054,2007-10-16 04:00:00,2007-10-16 04:00:00,0 days 00:00:00
33,1,1302,1302,767.6504994,764.8602500000001,-2.7902493999998796,-0.003634791356458167,2007-10-22 00:00:00,2007-10-22 00:00:00,0 days 00:00:00
34,1,1315,1315,758.9787653999999,756.3798999999999,-2.5988654000000224,-0.0034241608836451665,2007-10-24 04:00:00,2007-10-24 04:00:00,0 days 00:00:00
35,1,1414,1414,815.7521178000001,811.67665,-4.0754678000000695,-0.004995963493164113,2007-11-15 04:00:00,2007-11-15 04:00:00,0 days 00:00:00
36,1,1423,1423,789.1978079999999,785.3628500000001,-3.8349579999998014,-0.004859311520033827,2007-11-16 16:00:00,2007-11-16 16:00:00,0 days 00:00:00
37,1,1488,1489,785.8131311999999,789.167375,3.354243800000063,0.004268500571984468,2007-12-03 00:00:00,2007-12-03 04:00:00,0 days 04:00:00
38,-1,1526,1526,806.6276422,809.497575,-2.869932800000015,-0.0035579400579088816,2007-12-11 04:00:00,2007-12-11 04:00:00,0 days 00:00:00
39,-1,1569,1570,800.9967686000001,798.505975,2.4907936000000745,0.0031096175385995073,2007-12-20 04:00:00,2007-12-20 08:00:00,0 days 04:00:00
40,-1,1581,1581,809.5280620000001,808.2797499999999,1.248312000000169,0.0015420243702437553,2007-12-24 00:00:00,2007-12-24 00:00:00,0 days 00:00:00
41,-1,1588,1588,808.5852506,806.9461,1.6391505999999936,0.0020271834030903824,2007-12-25 04:00:00,2007-12-25 04:00:00,0 days 00:00:00
