,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,32,32,638.8167377999999,637.979525,-0.8372127999999748,-0.0013105680400348207,2007-01-02 08:00:00,2007-01-02 08:00:00,0 days 00:00:00
1,-1,128,133,606.7856186,608.69685,-1.9112314000000197,-0.0031497638398381156,2007-01-08 08:00:00,2007-01-08 13:00:00,0 days 05:00:00
2,1,176,176,612.657507,611.109825,-1.5476820000000089,-0.002526178137567503,2007-01-10 08:00:00,2007-01-10 08:00:00,0 days 00:00:00
3,1,200,200,612.1364028,610.21195,-1.92445280000004,-0.0031438300208863623,2007-01-11 08:00:00,2007-01-11 08:00:00,0 days 00:00:00
4,1,224,224,613.6497054,611.9204,-1.7293054000000438,-0.0028180660477508113,2007-01-12 08:00:00,2007-01-12 08:00:00,0 days 00:00:00
5,1,272,272,625.9131576,625.2347,-0.6784576000000015,-0.0010839484547687794,2007-01-16 08:00:00,2007-01-16 08:00:00,0 days 00:00:00
6,-1,320,320,631.9705806,633.3494000000001,-1.3788194000001113,-0.002181777826890441,2007-01-18 08:00:00,2007-01-18 08:00:00,0 days 00:00:00
7,-1,368,374,634.0641618000001,635.206825,-1.1426631999999017,-0.0018021255084912369,2007-01-22 08:00:00,2007-01-22 14:00:00,0 days 06:00:00
8,1,392,397,635.9241594,641.231125,5.306965600000012,0.008345280677820366,2007-01-23 08:00:00,2007-01-23 13:00:00,0 days 05:00:00
9,-1,416,416,641.8206101999999,642.9671999999999,-1.1465898000000152,-0.0017864646005099072,2007-01-24 08:00:00,2007-01-24 08:00:00,0 days 00:00:00
10,-1,488,494,643.8362070000001,645.376075,-1.5398679999999558,-0.0023917076785338054,2007-01-29 08:00:00,2007-01-29 14:00:00,0 days 06:00:00
11,1,584,585,656.0881914,654.5767249999999,-1.5114664000001312,-0.002303754921689549,2007-02-02 08:00:00,2007-02-02 09:00:00,0 days 01:00:00
12,-1,608,608,646.1637414,647.40495,-1.2412085999999363,-0.001920888654802333,2007-02-05 08:00:00,2007-02-05 08:00:00,0 days 00:00:00
13,1,632,637,650.7491238,655.360125,4.611001200000032,0.007085681764847251,2007-02-06 08:00:00,2007-02-06 13:00:00,0 days 05:00:00
14,-1,680,686,651.2387262000001,652.174525,-0.9357987999999295,-0.0014369520152162085,2007-02-08 08:00:00,2007-02-08 14:00:00,0 days 06:00:00
15,1,704,706,658.651704,657.705125,-0.9465790000000425,-0.0014371465134781491,2007-02-09 08:00:00,2007-02-09 10:00:00,0 days 02:00:00
16,1,752,759,663.7587252,662.53485,-1.2238751999999522,-0.0018438555359572284,2007-02-13 08:00:00,2007-02-13 15:00:00,0 days 07:00:00
17,1,776,778,668.303634,666.96685,-1.336783999999966,-0.0020002644486591947,2007-02-14 08:00:00,2007-02-14 10:00:00,0 days 02:00:00
18,-1,824,832,665.6098514,667.1769499999999,-1.5670985999998948,-0.002354380117276955,2007-02-16 08:00:00,2007-02-16 16:00:00,0 days 08:00:00
19,-1,872,875,669.1421448,665.032,4.110144799999944,0.006142409100877155,2007-02-20 08:00:00,2007-02-20 11:00:00,0 days 03:00:00
20,1,944,950,675.8071344,682.173125,6.365990600000032,0.009419833375467368,2007-02-23 08:00:00,2007-02-23 14:00:00,0 days 06:00:00
21,-1,992,992,682.3964934,683.608375,-1.2118815999999697,-0.001775920028489253,2007-02-27 08:00:00,2007-02-27 08:00:00,0 days 00:00:00
22,1,1016,1021,672.2564243999999,669.604475,-2.6519493999999213,-0.003944847983218369,2007-02-28 08:00:00,2007-02-28 13:00:00,0 days 05:00:00
23,-1,1040,1040,670.4688794,672.3771750000001,-1.9082956000000877,-0.0028462105529907245,2007-03-01 08:00:00,2007-03-01 08:00:00,0 days 00:00:00
24,1,1064,1065,661.6032941999999,659.6963499999999,-1.906944199999998,-0.0028823075953783306,2007-03-02 08:00:00,2007-03-02 09:00:00,0 days 01:00:00
25,1,1112,1117,644.2978337999999,642.231225,-2.0666087999999263,-0.0032075364708450405,2007-03-06 08:00:00,2007-03-06 13:00:00,0 days 05:00:00
26,-1,1136,1136,642.7844174,644.280825,-1.4964075999999977,-0.0023280085196415445,2007-03-07 08:00:00,2007-03-07 08:00:00,0 days 00:00:00
27,1,1184,1186,652.5704880000001,651.4357,-1.1347880000000714,-0.001738950842656073,2007-03-09 08:00:00,2007-03-09 10:00:00,0 days 02:00:00
28,1,1209,1210,653.0435826,651.770775,-1.2728076000000783,-0.0019490392891275965,2007-03-12 08:00:00,2007-03-12 09:00:00,0 days 01:00:00
29,1,1257,1259,641.8503443999999,640.7842,-1.066144399999871,-0.0016610482635115442,2007-03-14 08:00:00,2007-03-14 10:00:00,0 days 02:00:00
30,1,1329,1329,655.3350407999999,654.23625,-1.098790799999847,-0.0016766855601960673,2007-03-19 08:00:00,2007-03-19 08:00:00,0 days 00:00:00
31,-1,1353,1353,653.2833172,654.5622000000001,-1.2788828000000194,-0.00195762353993878,2007-03-20 08:00:00,2007-03-20 08:00:00,0 days 00:00:00
32,1,1377,1378,660.6801096,658.7289000000001,-1.9512095999999701,-0.0029533348615282673,2007-03-21 08:00:00,2007-03-21 09:00:00,0 days 01:00:00
33,1,1401,1402,664.5838902,663.152625,-1.431265200000098,-0.0021536260825844034,2007-03-22 08:00:00,2007-03-22 09:00:00,0 days 01:00:00
34,-1,1449,1450,658.1073522,659.403,-1.2956477999999834,-0.001968748405057008,2007-03-26 08:00:00,2007-03-26 09:00:00,0 days 01:00:00
35,-1,1521,1521,664.0651604,665.116925,-1.0517646000000695,-0.0015838274053807666,2007-03-29 08:00:00,2007-03-29 08:00:00,0 days 00:00:00
36,1,1617,1617,665.6811096,664.4849750000001,-1.1961345999999367,-0.0017968582595331295,2007-04-04 08:00:00,2007-04-04 08:00:00,0 days 00:00:00
37,1,1665,1679,673.8047339999999,672.893775,-0.9109589999999343,-0.0013519628967164632,2007-04-06 08:00:00,2007-04-08 22:00:00,2 days 14:00:00
38,1,1689,1689,672.0753882,671.617825,-0.4575631999999814,-0.0006808212412382497,2007-04-09 08:00:00,2007-04-09 08:00:00,0 days 00:00:00
39,1,1713,1713,676.430259,675.4529249999999,-0.9773340000000417,-0.0014448407459549673,2007-04-10 08:00:00,2007-04-10 08:00:00,0 days 00:00:00
