,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,64,64,638.8167377999999,637.924075,-0.8926627999999255,-0.0013973691470172689,2007-01-02 08:00:00,2007-01-02 08:00:00,0 days 00:00:00
1,-1,256,256,606.7856186,607.6395,-0.8538813999999775,-0.0014072208928914698,2007-01-08 08:00:00,2007-01-08 08:00:00,0 days 00:00:00
2,1,304,305,613.3446444,612.1368,-1.207844399999999,-0.0019692752044514483,2007-01-09 08:00:00,2007-01-09 08:30:00,0 days 00:30:00
3,1,352,352,612.657507,611.673425,-0.9840820000000576,-0.0016062514353554214,2007-01-10 08:00:00,2007-01-10 08:00:00,0 days 00:00:00
4,1,400,400,612.1364028,610.7521,-1.3843028000000004,-0.0022614286516338122,2007-01-11 08:00:00,2007-01-11 08:00:00,0 days 00:00:00
5,1,448,448,613.6497054,612.383375,-1.2663304000000153,-0.0020636046735728053,2007-01-12 08:00:00,2007-01-12 08:00:00,0 days 00:00:00
6,1,496,496,624.6969144,624.3978999999999,-0.29901440000003277,-0.000478655157577057,2007-01-15 08:00:00,2007-01-15 08:00:00,0 days 00:00:00
7,1,543,543,625.700115,624.75565,-0.9444650000000365,-0.0015094531347498163,2007-01-16 07:30:00,2007-01-16 07:30:00,0 days 00:00:00
8,1,544,544,625.9131576,625.31245,-0.6007075999999643,-0.0009597299444915608,2007-01-16 08:00:00,2007-01-16 08:00:00,0 days 00:00:00
9,1,639,639,632.7395226,632.2875750000001,-0.45194759999992584,-0.0007142711714021033,2007-01-18 07:30:00,2007-01-18 07:30:00,0 days 00:00:00
10,-1,687,687,627.1175514,627.939675,-0.8221235999999408,-0.0013109561328088493,2007-01-19 07:30:00,2007-01-19 07:30:00,0 days 00:00:00
11,-1,735,749,634.6950356,635.31665,-0.6216143999999986,-0.0009793906760471316,2007-01-22 07:30:00,2007-01-22 14:30:00,0 days 07:00:00
12,1,784,784,635.9241594,634.65475,-1.2694093999999723,-0.0019961647646752345,2007-01-23 08:00:00,2007-01-23 08:00:00,0 days 00:00:00
13,-1,832,832,641.8206101999999,642.470925,-0.6503148000000465,-0.0010132345232687356,2007-01-24 08:00:00,2007-01-24 08:00:00,0 days 00:00:00
14,-1,928,929,644.1131515999999,645.1976500000001,-1.0844984000001432,-0.0016837078971392305,2007-01-26 08:00:00,2007-01-26 08:30:00,0 days 00:30:00
15,-1,975,979,644.3820978,641.771875,2.610222799999974,0.004050737611910105,2007-01-29 07:30:00,2007-01-29 09:30:00,0 days 02:00:00
16,-1,1071,1071,644.036167,645.3096,-1.2734330000000682,-0.001977269391456593,2007-01-31 07:30:00,2007-01-31 07:30:00,0 days 00:00:00
17,-1,1216,1216,646.1637414,646.80605,-0.6423085999999785,-0.0009940338011049654,2007-02-05 08:00:00,2007-02-05 08:00:00,0 days 00:00:00
18,1,1264,1269,650.7491238,653.61275,2.863626199999999,0.00440050719281504,2007-02-06 08:00:00,2007-02-06 10:30:00,0 days 02:30:00
19,-1,1360,1361,651.2387262000001,647.74175,3.496976200000063,0.005369730114799909,2007-02-08 08:00:00,2007-02-08 08:30:00,0 days 00:30:00
20,1,1408,1408,658.651704,658.2489499999999,-0.40275400000007266,-0.000611482514285111,2007-02-09 08:00:00,2007-02-09 08:00:00,0 days 00:00:00
21,-1,1455,1455,663.3183098000001,664.367525,-1.049215199999935,-0.0015817672820102047,2007-02-12 07:30:00,2007-02-12 07:30:00,0 days 00:00:00
22,1,1456,1456,666.0781890000001,665.2331250000001,-0.8450639999999794,-0.001268715916473262,2007-02-12 08:00:00,2007-02-12 08:00:00,0 days 00:00:00
23,1,1503,1506,662.1674069999999,665.55725,3.3898430000000417,0.005119314185755508,2007-02-13 07:30:00,2007-02-13 09:00:00,0 days 01:30:00
24,1,1551,1560,667.1694071999999,666.4403,-0.7291071999999303,-0.0010928366800567746,2007-02-14 07:30:00,2007-02-14 12:00:00,0 days 04:30:00
25,-1,1647,1647,666.4246884,667.138925,-0.7142365999999356,-0.0010717439080996094,2007-02-16 07:30:00,2007-02-16 07:30:00,0 days 00:00:00
26,-1,1648,1659,665.6098514,662.29325,3.3166014000000814,0.00498280095017245,2007-02-16 08:00:00,2007-02-16 13:30:00,0 days 05:30:00
27,-1,1696,1696,670.5248682,671.17945,-0.6545817999999599,-0.0009762230023731,2007-02-19 08:00:00,2007-02-19 08:00:00,0 days 00:00:00
28,-1,1743,1750,669.5740584,666.595,2.9790583999999853,0.004449184317443011,2007-02-20 07:30:00,2007-02-20 11:00:00,0 days 03:30:00
29,1,1840,1840,677.4564642,676.4354500000001,-1.0210141999999678,-0.0015071288768432334,2007-02-22 08:00:00,2007-02-22 08:00:00,0 days 00:00:00
30,1,1887,1898,675.795132,679.9817499999999,4.186617999999953,0.0061950993751755945,2007-02-23 07:30:00,2007-02-23 13:00:00,0 days 05:30:00
31,-1,1935,1936,684.0791568000001,685.2535499999999,-1.1743931999998267,-0.001716750449602067,2007-02-26 07:30:00,2007-02-26 08:00:00,0 days 00:30:00
32,-1,1983,1983,683.7262274000001,684.9791,-1.2528725999999324,-0.0018324185175171426,2007-02-27 07:30:00,2007-02-27 07:30:00,0 days 00:00:00
