,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,34,37,636.2092164,636.052,-0.15721639999992476,-0.0002471143076008264,2007-01-01 17:00:00,2007-01-01 18:30:00,0 days 01:30:00
1,-1,37,40,635.9247896,635.891,0.033789600000091013,5.313458533573456e-05,2007-01-01 18:30:00,2007-01-01 20:00:00,0 days 01:30:00
2,1,40,41,636.0181782,635.846,-0.1721781999999621,-0.0002707127027206102,2007-01-01 20:00:00,2007-01-01 20:30:00,0 days 00:30:00
3,-1,41,44,635.7188308,635.784,-0.06516920000001392,-0.00010251261539329093,2007-01-01 20:30:00,2007-01-01 22:00:00,0 days 01:30:00
4,1,44,46,635.9111568,636.153,0.2418432000000621,0.0003803097294550195,2007-01-01 22:00:00,2007-01-01 23:00:00,0 days 01:00:00
5,-1,46,47,636.0257694000001,635.715,0.3107694000000265,0.0004886113345583531,2007-01-01 23:00:00,2007-01-01 23:30:00,0 days 00:30:00
6,1,47,74,635.842143,639.273,3.43085700000006,0.00539576849029344,2007-01-01 23:30:00,2007-01-02 13:00:00,0 days 13:30:00
7,-1,74,83,639.1451454,639.986,-0.8408545999999433,-0.0013155925630534693,2007-01-02 13:00:00,2007-01-02 17:30:00,0 days 04:30:00
8,1,83,85,640.1139972,639.5,-0.6139971999999716,-0.0009591997717370848,2007-01-02 17:30:00,2007-01-02 18:30:00,0 days 01:00:00
9,-1,85,110,639.3721,640.421,-1.0489000000000033,-0.0016405157497487721,2007-01-02 18:30:00,2007-01-03 07:00:00,0 days 12:30:00
10,1,110,111,640.5490842,639.273,-1.2760842000000139,-0.00199217239002647,2007-01-03 07:00:00,2007-01-03 07:30:00,0 days 00:30:00
11,-1,111,112,639.1451454,639.569,-0.42385459999991326,-0.0006631586002809886,2007-01-03 07:30:00,2007-01-03 08:00:00,0 days 00:30:00
12,1,112,113,639.6969138,638.987,-0.7099137999999812,-0.0011097658667490462,2007-01-03 08:00:00,2007-01-03 08:30:00,0 days 00:30:00
13,-1,113,125,638.8592026,641.108,-2.248797399999944,-0.0035200203594907276,2007-01-03 08:30:00,2007-01-03 14:30:00,0 days 06:00:00
14,1,125,130,641.2362215999999,628.602,-12.634221599999933,-0.019702913176793513,2007-01-03 14:30:00,2007-01-03 17:00:00,0 days 02:30:00
15,-1,130,144,628.4762796,626.699,1.7772796000000426,0.002827918344239233,2007-01-03 17:00:00,2007-01-04 00:00:00,0 days 07:00:00
16,1,144,163,626.8243398,625.236,-1.5883397999999715,-0.0025339472307452926,2007-01-04 00:00:00,2007-01-04 09:30:00,0 days 09:30:00
17,-1,163,168,625.1109528,626.772,-1.6610472000000982,-0.002657203801277097,2007-01-04 09:30:00,2007-01-04 12:00:00,0 days 02:30:00
18,1,168,181,626.8973544,623.565,-3.3323543999999856,-0.0053156300255715605,2007-01-04 12:00:00,2007-01-04 18:30:00,0 days 06:30:00
