,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,21,21,646.87,645.8240000000001,-1.0459999999999354,-0.0016170173296023993,2007-01-25,2007-01-25,0 days
1,1,24,24,647.068,645.261,-1.8070000000000164,-0.002792596759536914,2007-01-29,2007-01-29,0 days
2,1,27,28,652.144,646.008,-6.135999999999967,-0.009408964891189586,2007-02-01,2007-02-02,1 days
3,1,35,36,666.027,659.849,-6.177999999999997,-0.00927590022626712,2007-02-11,2007-02-12,1 days
4,1,39,39,668.441,663.467,-4.974000000000046,-0.0074411952588187,2007-02-15,2007-02-15,0 days
5,1,48,48,682.971,681.744,-1.2269999999999754,-0.0017965623723408264,2007-02-26,2007-02-26,0 days
6,1,49,49,685.991,682.97,-3.020999999999958,-0.004403847863893251,2007-02-27,2007-02-27,0 days
7,-1,53,58,641.983,657.249,-15.266000000000076,-0.023779445873177485,2007-03-04,2007-03-09,5 days
8,-1,62,63,642.475,648.691,-6.216000000000008,-0.009675084633643305,2007-03-14,2007-03-15,1 days
9,1,64,136,648.348,644.059,-4.288999999999987,-0.006615274513070091,2007-03-16,2007-06-08,84 days
10,-1,137,144,647.588,658.571,-10.983000000000061,-0.016959857193153738,2007-06-10,2007-06-18,8 days
11,1,145,145,656.72,655.969,-0.7509999999999764,-0.0011435619442075051,2007-06-19,2007-06-19,0 days
12,1,146,146,660.47,656.719,-3.7509999999999764,-0.0056792889911728706,2007-06-20,2007-06-20,0 days
13,-1,148,148,651.145,654.021,-2.8759999999999764,-0.0044168349599551515,2007-06-22,2007-06-22,0 days
14,-1,151,154,650.998,651.97,-0.97199999999998,-0.0014930921446763001,2007-06-26,2007-06-29,3 days
15,1,155,159,648.668,648.047,-0.6209999999999809,-0.0009573464391645636,2007-07-01,2007-07-05,4 days
16,1,164,164,663.097,659.6460000000001,-3.450999999999908,-0.0052043667819337,2007-07-11,2007-07-11,0 days
17,1,167,168,666.637,666.047,-0.5899999999999181,-0.0008850393842524396,2007-07-15,2007-07-16,1 days
18,-1,170,170,664.37,665.299,-0.9289999999999736,-0.0013983172027633994,2007-07-18,2007-07-18,0 days
19,1,172,176,676.448,672.9440000000001,-3.5039999999999054,-0.0051799990538813345,2007-07-20,2007-07-25,5 days
20,-1,177,211,675.398,680.973,-5.574999999999932,-0.008254392225028662,2007-07-26,2007-09-04,40 days
21,1,213,213,681.594,680.652,-0.9420000000000073,-0.0013820544194931283,2007-09-06,2007-09-06,0 days
22,1,214,232,694.329,743.2865,48.957500000000095,0.07051052166912242,2007-09-07,2007-09-28,21 days
23,1,233,235,744.248,734.2620000000001,-9.98599999999999,-0.013417570487256891,2007-09-30,2007-10-02,2 days
24,-1,237,237,727.548,732.4979999999999,-4.949999999999932,-0.0068036748090847254,2007-10-04,2007-10-04,0 days
25,1,239,240,742.07,735.447,-6.623000000000047,-0.008925034026439627,2007-10-07,2007-10-08,1 days
26,-1,241,242,731.926,741.432,-9.505999999999972,-0.01298765175714478,2007-10-09,2007-10-10,1 days
27,1,243,262,741.109,805.5328999999999,64.42389999999989,0.08692904822367553,2007-10-11,2007-11-02,22 days
28,1,266,270,824.156,806.732,-17.423999999999978,-0.021141628526638145,2007-11-07,2007-11-12,5 days
29,-1,271,282,790.663,828.549,-37.88599999999997,-0.04791674834917026,2007-11-13,2007-11-26,13 days
30,-1,284,308,814.874,823.27,-8.395999999999958,-0.010303433414245555,2007-11-28,2007-12-26,28 days
31,1,310,324,824.993,898.8983,73.9052999999999,0.08958294191587068,2007-12-28,2008-01-14,17 days
