,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-1,25,25,635.862802,636.054,-0.19119799999998577,-0.0003006906511886509,2007-01-01 12:30:00,2007-01-01 12:30:00,0 days 00:00:00
1,-1,26,26,635.9817782,636.109,-0.12722180000002936,-0.0002000400080015563,2007-01-01 13:00:00,2007-01-01 13:00:00,0 days 00:00:00
2,-1,27,27,635.4848776,636.11,-0.6251224000000093,-0.0009836935889975251,2007-01-01 13:30:00,2007-01-01 13:30:00,0 days 00:00:00
3,-1,36,36,635.8358074,636.012,-0.1761925999999221,-0.0002771039283244736,2007-01-01 18:00:00,2007-01-01 18:00:00,0 days 00:00:00
4,-1,37,37,635.9247896,636.052,-0.1272103999999672,-0.0002000400080015563,2007-01-01 18:30:00,2007-01-01 18:30:00,0 days 00:00:00
5,-1,38,38,635.192936,636.053,-0.8600639999999657,-0.0013540200957145032,2007-01-01 19:00:00,2007-01-01 19:00:00,0 days 00:00:00
6,-1,41,41,635.7188308,635.8919999999999,-0.17316919999996117,-0.0002723990412272226,2007-01-01 20:30:00,2007-01-01 20:30:00,0 days 00:00:00
7,-1,42,42,635.302914,635.847,-0.544085999999993,-0.0008564198085827535,2007-01-01 21:00:00,2007-01-01 21:00:00,0 days 00:00:00
8,1,44,44,635.9111568,635.7470000000001,-0.16415679999988697,-0.00025814423641490336,2007-01-01 22:00:00,2007-01-01 22:00:00,0 days 00:00:00
9,1,49,49,636.2642274,635.7900000000001,-0.47422739999990426,-0.0007453309169018763,2007-01-02 00:30:00,2007-01-02 00:30:00,0 days 00:00:00
10,1,50,50,636.2202186,636.093,-0.12721859999999197,-0.00019996000799837876,2007-01-02 01:00:00,2007-01-02 01:00:00,0 days 00:00:00
11,1,51,51,637.0143774,636.092,-0.9223773999999594,-0.0014479695164254514,2007-01-02 01:30:00,2007-01-02 01:30:00,0 days 00:00:00
