,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,410,410,613.1356026,614.158825,1.0232224000000087,0.0016688354022520446,2007-01-11 13:00:00,2007-01-11 13:00:00,0 days 00:00:00
1,-1,982,982,642.6154512,643.0255999999999,-0.41014879999988807,-0.0006382492036784981,2007-01-29 11:00:00,2007-01-29 11:00:00,0 days 00:00:00
2,1,1080,1081,645.1279998,643.8840250000001,-1.2439747999999327,-0.0019282604388363156,2007-01-31 12:00:00,2007-01-31 12:30:00,0 days 00:30:00
3,-1,1216,1216,646.1637414,647.10605,-0.942308599999933,-0.001458312405394846,2007-02-05 08:00:00,2007-02-05 08:00:00,0 days 00:00:00
4,1,1298,1303,654.0657869999999,654.9253,0.8595130000001063,0.0013141078727607614,2007-02-07 01:00:00,2007-02-07 03:30:00,0 days 02:30:00
5,-1,1764,1764,655.4308876,657.79895,-2.3680623999999852,-0.003612985663021151,2007-02-20 18:00:00,2007-02-20 18:00:00,0 days 00:00:00
6,1,1832,1832,677.6485026,676.3133750000001,-1.3351275999999643,-0.001970236184212548,2007-02-22 04:00:00,2007-02-22 04:00:00,0 days 00:00:00
7,-1,2014,2015,663.1993336,665.7964249999999,-2.59709139999984,-0.003916004236467208,2007-02-27 23:00:00,2007-02-27 23:30:00,0 days 00:30:00
8,1,2301,2302,648.9817704,647.12215,-1.8596203999999261,-0.002865443198587503,2007-03-07 22:30:00,2007-03-07 23:00:00,0 days 00:30:00
9,-1,2467,2468,649.2111318,649.9226249999999,-0.7114931999999499,-0.0010959349973362897,2007-03-13 08:30:00,2007-03-13 09:00:00,0 days 00:30:00
10,1,2612,2612,648.8507442,650.164,1.313255799999979,0.0020239720948753703,2007-03-16 09:00:00,2007-03-16 09:00:00,0 days 00:00:00
11,-1,2883,2905,658.3173102,659.705525,-1.3882148000000143,-0.002108732033156313,2007-03-26 00:30:00,2007-03-26 11:30:00,0 days 11:00:00
12,1,2933,2933,664.0297794,663.14205,-0.887729400000012,-0.001336881910329546,2007-03-27 01:30:00,2007-03-27 01:30:00,0 days 00:00:00
13,-1,3074,3074,660.7648206,659.8922,0.8726206000000047,0.0013206220621848619,2007-03-30 00:00:00,2007-03-30 00:00:00,0 days 00:00:00
14,1,3201,3202,666.1311996000001,664.7104,-1.4207996000000094,-0.0021329125566452722,2007-04-03 15:30:00,2007-04-03 16:00:00,0 days 00:30:00
15,-1,3779,3780,681.6836360000001,683.359075,-1.6754389999998693,-0.0024577955396305473,2007-04-19 16:30:00,2007-04-19 17:00:00,0 days 00:30:00
16,1,3838,3842,691.3122347999999,692.445,1.132765200000108,0.0016385724756162734,2007-04-22 22:00:00,2007-04-23 00:00:00,0 days 02:00:00
17,-1,3928,3932,683.8761974,682.780525,1.0956724000000122,0.0016021502198286797,2007-04-24 19:00:00,2007-04-24 21:00:00,0 days 02:00:00
18,1,4272,4275,682.0933914,680.9736750000001,-1.119716399999902,-0.0016415881081939254,2007-05-03 23:30:00,2007-05-04 01:00:00,0 days 01:30:00
19,-1,4443,4443,683.0833560000001,682.272575,0.8107810000001336,0.001186942988551043,2007-05-09 13:00:00,2007-05-09 13:00:00,0 days 00:00:00
20,1,4672,4672,672.119397,671.293125,-0.8262720000000172,-0.0012293530043739898,2007-05-16 07:30:00,2007-05-16 07:30:00,0 days 00:00:00
21,-1,4698,4705,661.6116512000001,663.0265999999999,-1.41494879999982,-0.0021386394834999045,2007-05-16 20:30:00,2007-05-17 00:00:00,0 days 03:30:00
22,1,4867,4867,663.9057546,663.067225,-0.8385296000000153,-0.0012630250516584285,2007-05-22 09:00:00,2007-05-22 09:00:00,0 days 00:00:00
23,-1,4915,4917,657.9373862,659.14515,-1.2077637999999524,-0.001835681974200476,2007-05-23 09:00:00,2007-05-23 10:00:00,0 days 01:00:00
24,1,4949,4949,661.2302195999999,662.3770499999999,1.146830399999999,0.0017343889707486237,2007-05-24 02:00:00,2007-05-24 02:00:00,0 days 00:00:00
25,-1,4977,4977,653.239326,652.43515,0.804175999999984,0.0012310587681917395,2007-05-24 16:00:00,2007-05-24 16:00:00,0 days 00:00:00
26,1,5136,5137,656.9783694,655.5467000000001,-1.4316693999999188,-0.002179172810982233,2007-05-29 23:30:00,2007-05-30 00:00:00,0 days 00:30:00
27,-1,5180,5183,652.8634012,654.30765,-1.4442487999999685,-0.002212176080548245,2007-05-30 21:30:00,2007-05-30 23:00:00,0 days 01:30:00
28,1,5219,5219,658.3286394,659.7052749999999,1.3766355999998723,0.002091106960278255,2007-05-31 17:00:00,2007-05-31 17:00:00,0 days 00:00:00
