,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-1,18,19,626.5736602,628.99,-2.4163398000000598,-0.003856433733950393,2007-01-04 00:00:00,2007-01-04 04:00:00,0 days 04:00:00
1,-1,17,19,627.1405467999999,628.99,-1.8494532000000845,-0.0029490250780896954,2007-01-03 20:00:00,2007-01-04 04:00:00,0 days 08:00:00
2,-1,16,19,637.5554634,628.99,8.565463399999999,0.013434852168502376,2007-01-03 16:00:00,2007-01-04 04:00:00,0 days 12:00:00
3,1,20,21,629.0417832,626.772,-2.269783200000006,-0.0036083186532592793,2007-01-04 08:00:00,2007-01-04 12:00:00,0 days 04:00:00
4,1,19,21,629.115798,626.772,-2.3437979999999925,-0.003725543067669035,2007-01-04 04:00:00,2007-01-04 12:00:00,0 days 08:00:00
5,-1,21,22,626.6466456,627.9,-1.253354399999921,-0.002000097517157906,2007-01-04 12:00:00,2007-01-04 16:00:00,0 days 04:00:00
6,1,22,23,628.02558,620.852,-7.173580000000015,-0.011422432825108797,2007-01-04 16:00:00,2007-01-04 20:00:00,0 days 04:00:00
7,-1,23,24,620.7278296,622.268,-1.540170400000079,-0.0024812330405623584,2007-01-04 20:00:00,2007-01-05 00:00:00,0 days 04:00:00
8,1,27,28,625.2740298,602.892,-22.38202979999994,-0.03579555320274386,2007-01-05 12:00:00,2007-01-05 16:00:00,0 days 04:00:00
9,1,26,28,623.7727296,602.892,-20.880729599999995,-0.03347489976580087,2007-01-05 08:00:00,2007-01-05 16:00:00,0 days 08:00:00
10,1,25,28,623.3666483999999,602.892,-20.474648399999865,-0.03284527404947357,2007-01-05 04:00:00,2007-01-05 16:00:00,0 days 12:00:00
11,1,24,28,622.3924536000001,602.892,-19.500453600000014,-0.03133144286568201,2007-01-05 00:00:00,2007-01-05 16:00:00,0 days 16:00:00
12,-1,28,29,602.7714216,607.054,-4.28257839999992,-0.007104813278360433,2007-01-05 16:00:00,2007-01-05 20:00:00,0 days 04:00:00
13,1,32,33,608.4876732,606.907,-1.5806731999999784,-0.002597707841290098,2007-01-08 04:00:00,2007-01-08 08:00:00,0 days 04:00:00
14,1,31,33,607.9295615999999,606.907,-1.0225615999999036,-0.0016820396055566844,2007-01-08 00:00:00,2007-01-08 08:00:00,0 days 08:00:00
15,1,30,33,606.8323422,606.907,0.07465780000006816,0.00012302870959279844,2007-01-07 20:00:00,2007-01-08 08:00:00,0 days 12:00:00
16,1,29,33,607.1754108,606.907,-0.26841079999996964,-0.00044206467394047877,2007-01-05 20:00:00,2007-01-08 08:00:00,2 days 12:00:00
17,-1,33,34,606.7856186,607.994,-1.2083814000000075,-0.0019914470003228324,2007-01-08 08:00:00,2007-01-08 12:00:00,0 days 04:00:00
18,1,39,40,613.3446444,610.513,-2.831644399999959,-0.004616726380271885,2007-01-09 08:00:00,2007-01-09 12:00:00,0 days 04:00:00
19,1,38,40,613.2266208,610.513,-2.713620799999944,-0.00442515166164803,2007-01-09 04:00:00,2007-01-09 12:00:00,0 days 08:00:00
20,1,37,40,609.0157788,610.513,1.4972212000000127,0.0024584276009238515,2007-01-09 00:00:00,2007-01-09 12:00:00,0 days 12:00:00
21,1,36,40,608.331642,610.513,2.1813580000000456,0.003585803942120158,2007-01-08 20:00:00,2007-01-09 12:00:00,0 days 16:00:00
22,1,35,40,608.7827321999999,610.513,1.7302678000000924,0.002842176212435099,2007-01-08 16:00:00,2007-01-09 12:00:00,0 days 20:00:00
23,1,34,40,608.1155988,610.513,2.3974011999999902,0.003942344522539498,2007-01-08 12:00:00,2007-01-09 12:00:00,1 days 00:00:00
24,-1,41,42,607.6834389999999,611.681,-3.9975610000001325,-0.006578360941641659,2007-01-09 16:00:00,2007-01-09 20:00:00,0 days 04:00:00
25,-1,40,42,610.3908974000001,611.681,-1.2901025999999547,-0.002113567888209378,2007-01-09 12:00:00,2007-01-09 20:00:00,0 days 08:00:00
26,1,43,44,612.5734902,612.057,-0.5164902000000211,-0.0008431481418358366,2007-01-10 00:00:00,2007-01-10 04:00:00,0 days 04:00:00
